dataset,wave,layer,phase,physical_dense_m,fresh_m,fresh_fraction,shape_class,token_expert_pairs,remote_assignments,remote_bytes_one_way_bf16,active_experts,rows_per_active_expert_mean,rows_per_active_expert_p50,rows_per_active_expert_p90,max_rows_per_expert,tiny_expert_fraction_le4,destination_fanout_mean,destination_fanout_max,rank0_load,rank1_load,rank2_load,rank3_load,rank_load_cv,critical_rank,source_trace_kind,epoch_status,normal_fresh_ms,normal_cached_ms,low_latency_ms,best_existing_ms,best_existing_path,payload_lower_bound_ms,o1_control_free_ms,o2_physical_lower_ms,o3_refineep_target_ms,normal_to_o0_saved_ms,o0_to_o3_saved_ms
gsm8k,1,16,middle,992,441,0.444556452,medium,3528,2582,21151744,114,30.947368421,12.000000000,92.500000000,221,0.307017544,3.124716553,4,1041,848,1076,563,0.230854427,2,measured_route_plus_oracle_live_row_filter,sensitivity_only_not_measured_epoch,0.274734524,0.233115987,0.178355309,0.178355309,low_latency,0.049495130,0.049495130,0.069495130,0.099495130,0.096379215,0.078860179
gsm8k,1,17,middle,992,441,0.444556452,medium,3528,2589,21209088,124,28.451612903,14.500000000,72.500000000,194,0.274193548,3.197278912,4,532,1218,547,1231,0.388403504,3,measured_route_plus_oracle_live_row_filter,sensitivity_only_not_measured_epoch,0.274734524,0.233115987,0.178355309,0.178355309,low_latency,0.049629316,0.049629316,0.069629316,0.099629316,0.096379215,0.078725994
gsm8k,1,18,middle,992,441,0.444556452,medium,3528,2606,21348352,125,28.224000000,12.000000000,73.200000000,222,0.288000000,3.061224490,4,972,1234,350,972,0.368754477,1,measured_route_plus_oracle_live_row_filter,sensitivity_only_not_measured_epoch,0.274734524,0.233115987,0.178355309,0.178355309,low_latency,0.049955194,0.049955194,0.069955194,0.099955194,0.096379215,0.078400116
gsm8k,1,19,middle,992,441,0.444556452,medium,3528,2627,21520384,130,27.138461538,13.500000000,73.700000000,215,0.284615385,3.108843537,4,718,1425,958,427,0.414470821,1,measured_route_plus_oracle_live_row_filter,sensitivity_only_not_measured_epoch,0.274734524,0.233115987,0.178355309,0.178355309,low_latency,0.050357749,0.050357749,0.070357749,0.100357749,0.096379215,0.077997560
gsm8k,1,20,middle,992,441,0.444556452,medium,3528,2559,20963328,127,27.779527559,10.000000000,81.000000000,200,0.322834646,3.142857143,4,557,1334,839,798,0.320098569,1,measured_route_plus_oracle_live_row_filter,sensitivity_only_not_measured_epoch,0.274734524,0.233115987,0.178355309,0.178355309,low_latency,0.049054237,0.049054237,0.069054237,0.099054237,0.096379215,0.079301073
gsm8k,1,21,middle,992,441,0.444556452,medium,3528,2685,21995520,125,28.224000000,11.000000000,81.600000000,207,0.272000000,3.197278912,4,993,517,1091,927,0.247915918,2,measured_route_plus_oracle_live_row_filter,sensitivity_only_not_measured_epoch,0.274734524,0.233115987,0.178355309,0.178355309,low_latency,0.051469568,0.051469568,0.071469568,0.101469568,0.096379215,0.076885741
gsm8k,1,22,middle,992,441,0.444556452,medium,3528,2572,21069824,127,27.779527559,16.000000000,70.000000000,193,0.283464567,3.158730159,4,1154,926,992,456,0.294291407,0,measured_route_plus_oracle_live_row_filter,sensitivity_only_not_measured_epoch,0.274734524,0.233115987,0.178355309,0.178355309,low_latency,0.049303437,0.049303437,0.069303437,0.099303437,0.096379215,0.079051872
gsm8k,1,23,middle,992,441,0.444556452,medium,3528,2795,22896640,137,25.751824818,11.000000000,66.200000000,373,0.306569343,3.133786848,4,1173,780,481,1094,0.310929545,0,measured_route_plus_oracle_live_row_filter,sensitivity_only_not_measured_epoch,0.274734524,0.233115987,0.178355309,0.178355309,low_latency,0.053578191,0.053578191,0.073578191,0.103578191,0.096379215,0.074777118
gsm8k,1,24,middle,992,441,0.444556452,medium,3528,2498,20463616,132,26.727272727,12.000000000,70.000000000,268,0.318181818,3.124716553,4,784,1130,934,680,0.191921683,1,measured_route_plus_oracle_live_row_filter,sensitivity_only_not_measured_epoch,0.274734524,0.233115987,0.178355309,0.178355309,low_latency,0.047884909,0.047884909,0.067884909,0.097884909,0.096379215,0.080470400
gsm8k,1,25,middle,992,441,0.444556452,medium,3528,2746,22495232,133,26.526315789,10.000000000,79.000000000,144,0.390977444,3.049886621,4,776,1037,672,1043,0.183940974,3,measured_route_plus_oracle_live_row_filter,sensitivity_only_not_measured_epoch,0.274734524,0.233115987,0.178355309,0.178355309,low_latency,0.052638896,0.052638896,0.072638896,0.102638896,0.096379215,0.075716414
