case_id,dataset,wave,layer,phase,shape_class,global_fresh_m,max_tokens_contract,policy,layout_ms,dispatch_ms,weight_prep_ms,combine_ms,comm_semantics_ms,p90_comm_semantics_ms,max_relative_l2,max_relative_l2_vs_identity,source_assignments_global,received_assignments_global,assignment_count_match,repeats,timing_unit,restart
real_17_humaneval_w50_l1,humaneval,50,1,middle,medium,302,256,normal_fresh,0.031840000,0.074784003,0.102768000,0.062511999,0.257536009,0.285696000,0.000000000,0.000141062,2416,2416,True,30,critical-rank wall via same-GPU CUDA events,1
real_18_gsm8k_w6_l1,gsm8k,6,1,middle,medium,406,256,low_latency,0.009168000,0.088863999,0.003200000,0.078336000,0.166287996,0.195583999,0.000455067,0.000000000,3248,3248,True,30,critical-rank wall via same-GPU CUDA events,1
real_18_gsm8k_w6_l1,gsm8k,6,1,middle,medium,406,256,normal_cached,0.009216000,0.060624000,0.095872000,0.062992003,0.218048006,0.235328004,0.000000000,0.000455065,3248,3248,True,30,critical-rank wall via same-GPU CUDA events,1
real_18_gsm8k_w6_l1,gsm8k,6,1,middle,medium,406,256,normal_fresh,0.032000002,0.080368001,0.095279999,0.061071999,0.259503990,0.300384015,0.000000000,0.000455065,3248,3248,True,30,critical-rank wall via same-GPU CUDA events,1
real_19_gsm8k_w0_l1,gsm8k,0,1,middle,medium,493,256,low_latency,0.009232000,0.097104002,0.003136000,0.084559999,0.181295998,0.195296004,0.000552340,0.000000000,3944,3944,True,30,critical-rank wall via same-GPU CUDA events,1
real_19_gsm8k_w0_l1,gsm8k,0,1,middle,medium,493,256,normal_cached,0.009072000,0.061216000,0.094559997,0.065376002,0.215951994,0.241119996,0.000000000,0.000552337,3944,3944,True,30,critical-rank wall via same-GPU CUDA events,1
real_19_gsm8k_w0_l1,gsm8k,0,1,middle,medium,493,256,normal_fresh,0.031600000,0.080400001,0.092928000,0.063679997,0.255824000,0.280672014,0.000000000,0.000552337,3944,3944,True,30,critical-rank wall via same-GPU CUDA events,1
real_20_humaneval_w31_l1,humaneval,31,1,middle,large,533,256,low_latency,0.009264000,0.115936000,0.003136000,0.116319999,0.211695999,0.214368001,0.000078193,0.000000000,4264,4264,True,30,critical-rank wall via same-GPU CUDA events,1
real_20_humaneval_w31_l1,humaneval,31,1,middle,large,533,256,normal_cached,0.009184000,0.071263999,0.084336001,0.069680002,0.222959995,0.240640000,0.000000000,0.000078193,4264,4264,True,30,critical-rank wall via same-GPU CUDA events,1
real_20_humaneval_w31_l1,humaneval,31,1,middle,large,533,256,normal_fresh,0.032079998,0.088783998,0.082144000,0.064991999,0.261727989,0.274592012,0.000000000,0.000078193,4264,4264,True,30,critical-rank wall via same-GPU CUDA events,1
real_21_gsm8k_w40_l1,gsm8k,40,1,middle,large,537,256,low_latency,0.009200000,0.103792001,0.003184000,0.099968001,0.192528002,0.202592000,0.000312546,0.000000000,4296,4296,True,30,critical-rank wall via same-GPU CUDA events,1
real_21_gsm8k_w40_l1,gsm8k,40,1,middle,large,537,256,normal_cached,0.009376000,0.067760002,0.087007999,0.073616002,0.225904003,0.260511994,0.000000000,0.000312545,4296,4296,True,30,critical-rank wall via same-GPU CUDA events,1
real_21_gsm8k_w40_l1,gsm8k,40,1,middle,large,537,256,normal_fresh,0.032143999,0.086112000,0.090367999,0.069807999,0.267888010,0.291424006,0.000000000,0.000312545,4296,4296,True,30,critical-rank wall via same-GPU CUDA events,1
real_22_gsm8k_w39_l1,gsm8k,39,1,middle,large,620,256,low_latency,0.009248000,0.111231998,0.003104000,0.109935999,0.204448000,0.206560001,0.000439896,0.000000000,4960,4960,True,30,critical-rank wall via same-GPU CUDA events,1
real_22_gsm8k_w39_l1,gsm8k,39,1,middle,large,620,256,normal_cached,0.009120000,0.067391999,0.085088000,0.072800003,0.222751997,0.247743994,0.000000000,0.000439894,4960,4960,True,30,critical-rank wall via same-GPU CUDA events,1
real_22_gsm8k_w39_l1,gsm8k,39,1,middle,large,620,256,normal_fresh,0.032736000,0.087391999,0.087392002,0.069391999,0.267999992,0.301728010,0.000000000,0.000439894,4960,4960,True,30,critical-rank wall via same-GPU CUDA events,1
real_23_humaneval_w29_l1,humaneval,29,1,early,large,802,256,low_latency,0.009104000,0.129007995,0.003120000,0.136703998,0.235472001,0.239935994,0.000000000,0.000000000,6416,6416,True,30,critical-rank wall via same-GPU CUDA events,1
real_23_humaneval_w29_l1,humaneval,29,1,early,large,802,256,normal_cached,0.009120000,0.075104002,0.078992002,0.076304000,0.229295999,0.240160003,0.000000000,0.000000000,6416,6416,True,30,critical-rank wall via same-GPU CUDA events,1
real_23_humaneval_w29_l1,humaneval,29,1,early,large,802,256,normal_fresh,0.032032000,0.094335999,0.079776000,0.077184003,0.272784010,0.310880005,0.000000000,0.000000000,6416,6416,True,30,critical-rank wall via same-GPU CUDA events,1
real_24_gsm8k_w36_l1,gsm8k,36,1,early,large,1024,256,low_latency,0.009056000,0.138239995,0.003136000,0.146720000,0.265663996,0.272671998,0.000175980,0.000000000,8192,8192,True,30,critical-rank wall via same-GPU CUDA events,1
real_24_gsm8k_w36_l1,gsm8k,36,1,early,large,1024,256,normal_cached,0.009152000,0.081824001,0.082704000,0.078175999,0.233199999,0.268256009,0.000000000,0.000175979,8192,8192,True,30,critical-rank wall via same-GPU CUDA events,1
real_24_gsm8k_w36_l1,gsm8k,36,1,early,large,1024,256,normal_fresh,0.031984000,0.101375997,0.079456002,0.077199999,0.273248002,0.296128005,0.000000000,0.000175979,8192,8192,True,30,critical-rank wall via same-GPU CUDA events,1
real_00_gsm8k_w63_l1,gsm8k,63,1,late,very-small,1,256,low_latency,0.016640000,0.088847999,0.013856000,0.065744001,0.166143999,0.178816006,0.000000000,0.000000000,8,8,True,30,critical-rank wall via same-GPU CUDA events,2
