case_id,dataset,wave,layer,phase,shape_class,global_fresh_m,max_tokens_contract,policy,layout_ms,dispatch_ms,weight_prep_ms,combine_ms,comm_semantics_ms,p90_comm_semantics_ms,max_relative_l2,max_relative_l2_vs_identity,source_assignments_global,received_assignments_global,assignment_count_match,restarts,repeats_per_restart,timing_unit
real_21_gsm8k_w40_l1,gsm8k,40,1,middle,large,537,256,low_latency,0.009472000,0.102208000,0.003200000,0.100752000,0.192640007,0.202592000,0.000312546,0.000000000,4296.000000000,4296.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
real_21_gsm8k_w40_l1,gsm8k,40,1,middle,large,537,256,normal_cached,0.009376000,0.068287998,0.089935999,0.074719999,0.230528004,0.267839998,0.000000000,0.000312545,4296.000000000,4296.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
real_21_gsm8k_w40_l1,gsm8k,40,1,middle,large,537,256,normal_fresh,0.032943999,0.086112000,0.090367999,0.069807999,0.270240009,0.337632000,0.000000000,0.000312545,4296.000000000,4296.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
real_22_gsm8k_w39_l1,gsm8k,39,1,middle,large,620,256,low_latency,0.009296000,0.110624000,0.003200000,0.110048000,0.205151998,0.215967998,0.000439896,0.000000000,4960.000000000,4960.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
real_22_gsm8k_w39_l1,gsm8k,39,1,middle,large,620,256,normal_cached,0.009216000,0.069311999,0.088528000,0.072800003,0.227903999,0.266687989,0.000000000,0.000439894,4960.000000000,4960.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
real_22_gsm8k_w39_l1,gsm8k,39,1,middle,large,620,256,normal_fresh,0.033232000,0.088032000,0.089887999,0.069391999,0.270720005,0.329311997,0.000000000,0.000439894,4960.000000000,4960.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
real_23_humaneval_w29_l1,humaneval,29,1,early,large,802,256,low_latency,0.009232000,0.127471998,0.003168000,0.136703998,0.236720003,0.240735993,0.000000000,0.000000000,6416.000000000,6416.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
real_23_humaneval_w29_l1,humaneval,29,1,early,large,802,256,normal_cached,0.009168000,0.075968001,0.079968002,0.077344000,0.231055997,0.272000015,0.000000000,0.000000000,6416.000000000,6416.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
real_23_humaneval_w29_l1,humaneval,29,1,early,large,802,256,normal_fresh,0.033039998,0.094928000,0.081488002,0.077184003,0.276783988,0.310880005,0.000000000,0.000000000,6416.000000000,6416.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
real_24_gsm8k_w36_l1,gsm8k,36,1,early,large,1024,256,low_latency,0.009248000,0.139007993,0.003168000,0.147248000,0.267119989,0.272671998,0.000175980,0.000000000,8192.000000000,8192.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
real_24_gsm8k_w36_l1,gsm8k,36,1,early,large,1024,256,normal_cached,0.009184000,0.081824001,0.082704000,0.079935998,0.237648003,0.268256009,0.000000000,0.000175979,8192.000000000,8192.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
real_24_gsm8k_w36_l1,gsm8k,36,1,early,large,1024,256,normal_fresh,0.032608001,0.101391997,0.080736000,0.077199999,0.279328004,0.304416001,0.000000000,0.000175979,8192.000000000,8192.000000000,True,5,30,restart-median of critical-rank same-GPU CUDA-event medians
