case_id,family,N,perm_index,perm,S,I,total_assignments,total_incidence,traffic_entropy,max_peer_fraction
destination_hotspot_N1024_p12,destination_hotspot,1024,12,"[2,0,1,3]",0.5,1.5,32768,8192,3.0,0.375
destination_hotspot_N1024_p13,destination_hotspot,1024,13,"[2,0,3,1]",0.5,1.5,32768,8192,3.0,0.375
destination_hotspot_N1024_p14,destination_hotspot,1024,14,"[2,1,0,3]",0.5,1.5,32768,8192,3.0,0.375
destination_hotspot_N1024_p15,destination_hotspot,1024,15,"[2,1,3,0]",0.5,1.5,32768,8192,3.0,0.375
destination_hotspot_N1024_p16,destination_hotspot,1024,16,"[2,3,0,1]",0.5,1.5,32768,8192,3.0,0.375
destination_hotspot_N1024_p17,destination_hotspot,1024,17,"[2,3,1,0]",0.5,1.5,32768,8192,3.0,0.375
destination_hotspot_N1024_p18,destination_hotspot,1024,18,"[3,0,1,2]",0.5,1.5,32768,8192,3.0,0.375
destination_hotspot_N1024_p19,destination_hotspot,1024,19,"[3,0,2,1]",0.5,1.5,32768,8192,3.0,0.375
destination_hotspot_N1024_p20,destination_hotspot,1024,20,"[3,1,0,2]",0.5,1.5,32768,8192,3.0,0.375
destination_hotspot_N1024_p21,destination_hotspot,1024,21,"[3,1,2,0]",0.5,1.5,32768,8192,3.0,0.375
destination_hotspot_N1024_p22,destination_hotspot,1024,22,"[3,2,0,1]",0.5,1.5,32768,8192,3.0,0.375
destination_hotspot_N1024_p23,destination_hotspot,1024,23,"[3,2,1,0]",0.5,1.5,32768,8192,3.0,0.375
