case_id,family,N,perm_index,metric,median_ms,p5_ms,p95_ms,cv,n_iterations,S,I,traffic_entropy,max_peer_fraction
balanced_spread_N256_p17,balanced_spread,256,17,dispatch_only_ms,0.08297599852085114,0.07870399989187718,0.14206079952418782,0.3516485396366135,50,0.5,1.0,3.5849569936828383,0.25
balanced_spread_N256_p17,balanced_spread,256,17,combine_ms,0.04230400174856186,0.040430398657917976,0.050625600293278686,0.36405736051127996,50,0.5,1.0,3.5849569936828383,0.25
balanced_spread_N256_p17,balanced_spread,256,17,full_path_ms,0.16033600270748138,0.15543200299143792,0.2337247937917707,0.21333667679250098,50,0.5,1.0,3.5849569936828383,0.25
balanced_spread_N256_p17,balanced_spread,256,17,host_ms,0.1759965,0.1709293,0.24930999999999973,0.19886206633972933,50,0.5,1.0,3.5849569936828383,0.25
balanced_spread_N256_p18,balanced_spread,256,18,layout_ms,0.02548799943178892,0.024011200293898582,0.027467200346291062,0.06154304889023103,50,0.5,1.0,3.5849569936828383,0.25
balanced_spread_N256_p18,balanced_spread,256,18,dispatch_only_ms,0.08198399841785431,0.07854080200195312,0.09076800160109996,0.04527163137133571,50,0.5,1.0,3.5849569936828383,0.25
balanced_spread_N256_p18,balanced_spread,256,18,combine_ms,0.04158399999141693,0.04033440165221691,0.049617600068449966,0.08288448852867866,50,0.5,1.0,3.5849569936828383,0.25
balanced_spread_N256_p18,balanced_spread,256,18,full_path_ms,0.15944000333547592,0.15471680089831352,0.17286080494523048,0.03564850449834044,50,0.5,1.0,3.5849569936828383,0.25
balanced_spread_N256_p18,balanced_spread,256,18,host_ms,0.175392,0.17028155,0.18857005,0.03221592442064185,50,0.5,1.0,3.5849569936828383,0.25
balanced_spread_N256_p19,balanced_spread,256,19,layout_ms,0.025344000197947025,0.023950399830937386,0.028676800057291982,0.08209775692473902,50,0.5,1.0,3.5849569936828383,0.25
balanced_spread_N256_p19,balanced_spread,256,19,dispatch_only_ms,0.08249600231647491,0.07995519787073135,0.08921759724617004,0.20088435152865228,50,0.5,1.0,3.5849569936828383,0.25
balanced_spread_N256_p19,balanced_spread,256,19,combine_ms,0.042447999119758606,0.040511999279260635,0.04883200153708457,0.1044396397940036,50,0.5,1.0,3.5849569936828383,0.25
balanced_spread_N256_p19,balanced_spread,256,19,full_path_ms,0.16052799671888351,0.15569919347763062,0.17252160161733626,0.12006654921746687,50,0.5,1.0,3.5849569936828383,0.25
balanced_spread_N256_p19,balanced_spread,256,19,host_ms,0.176727,0.17168935,0.1885106,0.11107534490813661,50,0.5,1.0,3.5849569936828383,0.25
balanced_spread_N256_p20,balanced_spread,256,20,layout_ms,0.025071999989449978,0.023976000025868416,0.029328000638633965,0.08148050695068318,50,0.5,1.0,3.5849569936828383,0.25
balanced_spread_N256_p20,balanced_spread,256,20,dispatch_only_ms,0.08321600034832954,0.07895679771900177,0.08876480050384998,0.0392473374719625,50,0.5,1.0,3.5849569936828383,0.25
balanced_spread_N256_p20,balanced_spread,256,20,combine_ms,0.042047999799251556,0.040086399763822556,0.05056639891117811,0.07874507296891244,50,0.5,1.0,3.5849569936828383,0.25
balanced_spread_N256_p20,balanced_spread,256,20,full_path_ms,0.1598079949617386,0.1554064027965069,0.17261119559407234,0.03456870160367829,50,0.5,1.0,3.5849569936828383,0.25
balanced_spread_N256_p20,balanced_spread,256,20,host_ms,0.175185,0.1708597,0.18809605,0.03119290299334069,50,0.5,1.0,3.5849569936828383,0.25
balanced_spread_N256_p21,balanced_spread,256,21,layout_ms,0.025584000162780285,0.023905600514262916,0.032385600078850975,0.15067355978185407,50,0.5,1.0,3.5849569936828383,0.25
balanced_spread_N256_p21,balanced_spread,256,21,dispatch_only_ms,0.08270399644970894,0.0791791994124651,0.10047039985656735,0.10168819661655479,50,0.5,1.0,3.5849569936828383,0.25
balanced_spread_N256_p21,balanced_spread,256,21,combine_ms,0.04177600145339966,0.039897600375115874,0.04984639920294284,0.068658704540414,50,0.5,1.0,3.5849569936828383,0.25
balanced_spread_N256_p21,balanced_spread,256,21,full_path_ms,0.15956799685955048,0.1555039994418621,0.1794128023087978,0.06320595649898349,50,0.5,1.0,3.5849569936828383,0.25
balanced_spread_N256_p21,balanced_spread,256,21,host_ms,0.17685,0.17065375000000002,0.19674309999999998,0.05953600192485151,50,0.5,1.0,3.5849569936828383,0.25
balanced_spread_N256_p22,balanced_spread,256,22,layout_ms,0.02532800007611513,0.024033599626272918,0.028142399899661538,0.07278820908825125,50,0.5,1.0,3.5849569936828383,0.25
balanced_spread_N256_p22,balanced_spread,256,22,dispatch_only_ms,0.08176000043749809,0.07899039797484875,0.08865759894251822,0.06424828970286067,50,0.5,1.0,3.5849569936828383,0.25
balanced_spread_N256_p22,balanced_spread,256,22,combine_ms,0.041120000183582306,0.03942079842090607,0.05091679953038692,0.08125027292959017,50,0.5,1.0,3.5849569936828383,0.25
balanced_spread_N256_p22,balanced_spread,256,22,full_path_ms,0.1592160016298294,0.15462720021605492,0.17086079642176627,0.039899329997420976,50,0.5,1.0,3.5849569936828383,0.25
balanced_spread_N256_p22,balanced_spread,256,22,host_ms,0.174682,0.17036969999999999,0.18752735,0.037750429106595346,50,0.5,1.0,3.5849569936828383,0.25
balanced_spread_N256_p23,balanced_spread,256,23,layout_ms,0.02584000024944544,0.024110399186611176,0.03941439930349588,0.4294913091287182,50,0.5,1.0,3.5849569936828383,0.25
balanced_spread_N256_p23,balanced_spread,256,23,dispatch_only_ms,0.08276800066232681,0.078891197219491,0.1312927983701229,0.2093441623651239,50,0.5,1.0,3.5849569936828383,0.25
balanced_spread_N256_p23,balanced_spread,256,23,combine_ms,0.04124800115823746,0.039612799882888794,0.06353279948234558,0.17862362887757574,50,0.5,1.0,3.5849569936828383,0.25
balanced_spread_N256_p23,balanced_spread,256,23,full_path_ms,0.15881600230932236,0.15541119873523712,0.2305552043020725,0.1554724172192089,50,0.5,1.0,3.5849569936828383,0.25
balanced_spread_N256_p23,balanced_spread,256,23,host_ms,0.1746725,0.17139095,0.24936629999999999,0.14359353186486412,50,0.5,1.0,3.5849569936828383,0.25
pair_concentrated_N256_p00,pair_concentrated,256,0,layout_ms,0.02580800000578165,0.02376319942995906,0.03174879970028996,0.09195566124809136,50,0.5,1.0,3.0,0.25
pair_concentrated_N256_p00,pair_concentrated,256,0,dispatch_only_ms,0.0896959975361824,0.08603839948773384,0.09524959847331047,0.03674312863140205,50,0.5,1.0,3.0,0.25
pair_concentrated_N256_p00,pair_concentrated,256,0,combine_ms,0.04086400009691715,0.039583999663591385,0.04305599965155124,0.06615935330341438,50,0.5,1.0,3.0,0.25
pair_concentrated_N256_p00,pair_concentrated,256,0,full_path_ms,0.1650560051202774,0.16022560223937035,0.17481279745697975,0.03095237305105297,50,0.5,1.0,3.0,0.25
pair_concentrated_N256_p00,pair_concentrated,256,0,host_ms,0.1803635,0.17601885,0.19309169999999998,0.03205702777190428,50,0.5,1.0,3.0,0.25
pair_concentrated_N256_p01,pair_concentrated,256,1,layout_ms,0.025776000693440437,0.023854400124400855,0.03308479953557252,0.10845944726274069,50,0.5,1.0,3.0,0.25
pair_concentrated_N256_p01,pair_concentrated,256,1,dispatch_only_ms,0.0891680009663105,0.0861055999994278,0.10475840233266352,0.0643607720298716,50,0.5,1.0,3.0,0.25
pair_concentrated_N256_p01,pair_concentrated,256,1,combine_ms,0.04126400128006935,0.03988640028983355,0.04640479907393455,0.08112432444918773,50,0.5,1.0,3.0,0.25
pair_concentrated_N256_p01,pair_concentrated,256,1,full_path_ms,0.1658399999141693,0.16046399995684624,0.18423680141568183,0.04920619454996945,50,0.5,1.0,3.0,0.25
