N,perm_index,metric,balanced_ms,concentrated_ms,hotspot_ms,family_a_relative,hotspot_relative
256,20,combine_ms,0.042047999799251556,0.04089599847793579,0.0490880012512207,-0.02739729182876068,0.1674277370048517
256,20,full_path_ms,0.1598079949617386,0.16392000019550323,0.16763199865818024,0.025730910614009953,0.048958775174639306
256,21,layout_ms,0.025584000162780285,0.02587199956178665,0.025535999797284603,0.011257012084660222,-0.0018761868820464168
256,21,dispatch_only_ms,0.08270399644970894,0.08857600018382072,0.08752000331878662,0.07100024165921007,0.05823185185502159
256,21,combine_ms,0.04177600145339966,0.04068800061941147,0.04979199916124344,-0.026043680489666637,0.19188044401007298
256,21,full_path_ms,0.15956799685955048,0.16385599970817566,0.16795200109481812,0.026872574281918343,0.05254189060634209
256,22,layout_ms,0.02532800007611513,0.025312000885605812,0.025696000084280968,-0.0006316799771493564,0.014529374883920209
256,22,dispatch_only_ms,0.08176000043749809,0.08900799974799156,0.08936000242829323,0.08864969755026168,0.0929550140671171
256,22,combine_ms,0.041120000183582306,0.04092799872159958,0.049327999353408813,-0.004669296233597443,0.19961087386141738
256,22,full_path_ms,0.1592160016298294,0.16462399810552597,0.16883200407028198,0.03396641305105708,0.06039595481620862
256,23,layout_ms,0.02584000024944544,0.02556800004094839,0.02587199956178665,-0.01052632375662941,0.0012383634687426126
256,23,dispatch_only_ms,0.08276800066232681,0.0878559984266758,0.08847999945282936,0.06147300555327861,0.06901216345440196
256,23,combine_ms,0.04124800115823746,0.040752001106739044,0.04955200105905533,-0.012024826356933882,0.2013188437655849
256,23,full_path_ms,0.15881600230932236,0.1639840006828308,0.1687999963760376,0.032540791219784385,0.06286516422488485
1024,0,layout_ms,0.026736000552773476,0.026704000309109688,0.026528000831604004,-0.0011968971799137802,-0.007779762001384862
1024,0,dispatch_only_ms,0.13859200477600098,0.16422399878501892,0.16155199706554413,0.18494569041299025,0.16566606657182129
1024,0,combine_ms,0.07419199869036674,0.08820800110697746,0.10043199732899666,0.1889152828340044,0.35367693419529045
1024,0,full_path_ms,0.24855999648571014,0.28387199342250824,0.29022400081157684,0.14206629158376338,0.16762151961271848
1024,1,layout_ms,0.026976000517606735,0.026736000552773476,0.0266720000654459,-0.008896795678685432,-0.011269292939196818
1024,1,dispatch_only_ms,0.13920000195503235,0.166703999042511,0.16262399405241013,0.19758618319821306,0.16827580293385874
1024,1,combine_ms,0.07478400319814682,0.09060800075531006,0.1029600016772747,0.21159602161489216,0.37676504699104013
1024,1,full_path_ms,0.2497119978070259,0.28649599850177765,0.29185599088668823,0.14730570023783127,0.1687703972967716
1024,2,layout_ms,0.02659199945628643,0.02675200067460537,0.02651200070977211,0.00601689311034919,-0.00300837650985317
1024,2,dispatch_only_ms,0.13857600092887878,0.16515199840068817,0.16193599998950958,0.19177922074291173,0.16857175054878243
1024,2,combine_ms,0.07415999844670296,0.09123200178146362,0.09419200196862221,0.2302050120325975,0.2701187155001868
1024,2,full_path_ms,0.24835199862718582,0.2856000065803528,0.29017600417137146,0.1499807054465541,0.16840615648505347
1024,3,layout_ms,0.026544000022113323,0.026863999664783478,0.026704000309109688,0.012055441621593154,0.006027738353792619
