dataset,evidence_class,output_budget,ignore_eos,restart,run,label,source_request_id,family,prompt_tokens,ttft_s,e2e_s,processor_s
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b32:P2_lm_length_bucket:w3,longtext_022,long_text_plus_image,658,0.6954847723245621,0.6954847723245621,0.012728613335639238
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b32:P2_lm_length_bucket:w3,longtext_007,long_text_plus_image,662,0.6827218732796609,0.6827218732796609,0.017801574897021055
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b32:P2_lm_length_bucket:w3,longtext_003,long_text_plus_image,664,0.6648883712477982,0.6648883712477982,0.01766443718224764
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b32:P2_lm_length_bucket:w3,longtext_024,long_text_plus_image,665,0.6471915221773088,0.6471915221773088,0.016063354909420013
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b32:P2_lm_length_bucket:w3,longtext_021,long_text_plus_image,666,0.6310960212722421,0.6310960212722421,0.015013765078037977
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b32:P2_lm_length_bucket:w3,longtext_018,long_text_plus_image,667,0.6160478573292494,0.6160478573292494,0.01406122837215662
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b32:P2_lm_length_bucket:w3,longtext_028,long_text_plus_image,670,0.6019543651491404,0.6019543651491404,0.013575377874076366
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b32:P2_lm_length_bucket:w3,longtext_009,long_text_plus_image,671,0.7711846642196178,0.7711846642196178,0.020527837332338095
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b32:P2_lm_length_bucket:w3,longtext_019,long_text_plus_image,673,0.7506233700551093,0.7506233700551093,0.01272510178387165
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b32:P2_lm_length_bucket:w3,longtext_029,long_text_plus_image,674,0.7378640552051365,0.7378640552051365,0.014156482182443142
max1_balanced_grid,screen,1,True,0,pool128_balanced_clean_r0,r0:b32:P2_lm_length_bucket:w3,longtext_025,long_text_plus_image,682,0.7236741562373936,0.7236741562373936,0.013511435128748417
