dR0,dR1,dR2,dR3,delta_l2,direction,layer,request_id
-1.0,-2.0,1.0,2.0,3.1622776601683795,VT,4,phantom
0.0,0.0,-2.0,2.0,2.8284271247461903,TV,5,phantom
-3.0,0.0,0.0,3.0,4.242640687119285,VT,5,phantom
3.0,0.0,-1.0,-2.0,3.7416573867739413,TV,6,phantom
-1.0,0.0,2.0,-1.0,2.449489742783178,VT,6,phantom
-1.0,-1.0,2.0,0.0,2.449489742783178,TV,7,phantom
0.0,1.0,0.0,-1.0,1.4142135623730951,VT,7,phantom
0.0,-1.0,0.0,1.0,1.4142135623730951,TV,8,phantom
0.0,-1.0,2.0,-1.0,2.449489742783178,VT,8,phantom
2.0,0.0,0.0,-2.0,2.8284271247461903,TV,9,phantom
1.0,-3.0,2.0,0.0,3.7416573867739413,VT,9,phantom
-1.0,1.0,-1.0,1.0,2.0,TV,10,phantom
-2.0,4.0,2.0,-4.0,6.324555320336759,VT,10,phantom
-2.0,0.0,3.0,-1.0,3.7416573867739413,TV,11,phantom
1.0,-1.0,0.0,0.0,1.4142135623730951,VT,11,phantom
-1.0,2.0,-1.0,0.0,2.449489742783178,TV,12,phantom
-1.0,-2.0,1.0,2.0,3.1622776601683795,VT,12,phantom
-2.0,2.0,1.0,-1.0,3.1622776601683795,TV,13,phantom
2.0,1.0,-3.0,0.0,3.7416573867739413,VT,13,phantom
-1.0,1.0,1.0,-1.0,2.0,TV,14,phantom
-1.0,2.0,-1.0,0.0,2.449489742783178,VT,14,phantom
0.0,-2.0,2.0,0.0,2.8284271247461903,TV,15,phantom
0.0,2.0,0.0,-2.0,2.8284271247461903,VT,15,phantom
0.0,-1.0,0.0,1.0,1.4142135623730951,TV,16,phantom
-3.0,-2.0,1.0,4.0,5.477225575051661,VT,16,phantom
1.0,-3.0,0.0,2.0,3.7416573867739413,TV,17,phantom
0.0,1.0,0.0,-1.0,1.4142135623730951,VT,17,phantom
0.0,0.0,-1.0,1.0,1.4142135623730951,TV,18,phantom
1.0,0.0,2.0,-3.0,3.7416573867739413,VT,18,phantom
0.0,0.0,-1.0,1.0,1.4142135623730951,TV,19,phantom
-1.0,-1.0,1.0,1.0,2.0,VT,19,phantom
3.0,-2.0,0.0,-1.0,3.7416573867739413,TV,20,phantom
-1.0,2.0,2.0,-3.0,4.242640687119285,VT,20,phantom
0.0,1.0,0.0,-1.0,1.4142135623730951,TV,21,phantom
0.0,-2.0,1.0,1.0,2.449489742783178,VT,21,phantom
-2.0,-1.0,1.0,2.0,3.1622776601683795,TV,22,phantom
-2.0,0.0,1.0,1.0,2.449489742783178,VT,22,phantom
-1.0,2.0,0.0,-1.0,2.449489742783178,TV,23,phantom
1.0,-1.0,0.0,0.0,1.4142135623730951,VT,23,phantom
-1.0,1.0,-1.0,1.0,2.0,TV,24,phantom
0.0,-1.0,0.0,1.0,1.4142135623730951,VT,24,phantom
0.0,0.0,1.0,-1.0,1.4142135623730951,TV,25,phantom
3.0,-1.0,-1.0,-1.0,3.4641016151377544,VT,25,phantom
-1.0,0.0,1.0,0.0,1.4142135623730951,TV,26,phantom
-3.0,2.0,0.0,1.0,3.7416573867739413,VT,26,phantom
0.0,-3.0,3.0,0.0,4.242640687119285,TV,27,phantom
-2.0,1.0,3.0,-2.0,4.242640687119285,VT,27,phantom
1.0,-2.0,2.0,-1.0,3.1622776601683795,TV,28,phantom
-4.0,1.0,1.0,2.0,4.69041575982343,VT,28,phantom
0.0,-1.0,2.0,-1.0,2.449489742783178,TV,29,phantom
0.0,1.0,1.0,-2.0,2.449489742783178,VT,29,phantom
-2.0,0.0,0.0,2.0,2.8284271247461903,TV,30,phantom
1.0,0.0,2.0,-3.0,3.7416573867739413,VT,30,phantom
-2.0,-1.0,0.0,3.0,3.7416573867739413,TV,31,phantom
-2.0,1.0,-1.0,2.0,3.1622776601683795,VT,31,phantom
1.0,-1.0,-1.0,1.0,2.0,TV,32,phantom
0.0,0.0,2.0,-2.0,2.8284271247461903,VT,32,phantom
2.0,0.0,-2.0,0.0,2.8284271247461903,TV,33,phantom
1.0,-3.0,2.0,0.0,3.7416573867739413,VT,33,phantom
-1.0,-1.0,0.0,2.0,2.449489742783178,TV,34,phantom
-1.0,-1.0,3.0,-1.0,3.4641016151377544,VT,34,phantom
-3.0,1.0,1.0,1.0,3.4641016151377544,TV,35,phantom
1.0,-1.0,-1.0,1.0,2.0,VT,35,phantom
-2.0,0.0,0.0,2.0,2.8284271247461903,TV,36,phantom
1.0,-1.0,0.0,0.0,1.4142135623730951,VT,36,phantom
-1.0,0.0,1.0,0.0,1.4142135623730951,TV,37,phantom
1.0,1.0,-1.0,-1.0,2.0,VT,37,phantom
-1.0,-1.0,1.0,1.0,2.0,TV,38,phantom
2.0,0.0,-2.0,0.0,2.8284271247461903,VT,38,phantom
1.0,-3.0,1.0,1.0,3.4641016151377544,TV,39,phantom
0.0,0.0,-1.0,1.0,1.4142135623730951,VT,39,phantom
-1.0,0.0,0.0,1.0,1.4142135623730951,TV,40,phantom
0.0,2.0,-3.0,1.0,3.7416573867739413,VT,40,phantom
0.0,1.0,-1.0,0.0,1.4142135623730951,TV,41,phantom
0.0,1.0,0.0,-1.0,1.4142135623730951,VT,41,phantom
0.0,-1.0,1.0,0.0,1.4142135623730951,TV,42,phantom
0.0,-2.0,2.0,0.0,2.8284271247461903,VT,42,phantom
-1.0,2.0,0.0,-1.0,2.449489742783178,TV,43,phantom
0.0,-1.0,0.0,1.0,1.4142135623730951,VT,43,phantom
1.0,0.0,0.0,-1.0,1.4142135623730951,TV,44,phantom
-2.0,0.0,1.0,1.0,2.449489742783178,VT,44,phantom
-1.0,1.0,-2.0,2.0,3.1622776601683795,TV,45,phantom
0.0,1.0,-2.0,1.0,2.449489742783178,VT,45,phantom
-2.0,0.0,3.0,-1.0,3.7416573867739413,TV,46,phantom
-1.0,0.0,-1.0,2.0,2.449489742783178,VT,46,phantom
-1.0,2.0,-1.0,0.0,2.449489742783178,TV,47,phantom
0.0,-2.0,1.0,1.0,2.449489742783178,VT,47,phantom
1.0,2.0,-3.0,0.0,3.7416573867739413,TV,0,color_wheel
0.0,-1.0,3.0,-2.0,3.7416573867739413,VT,0,color_wheel
0.0,2.0,1.0,-3.0,3.7416573867739413,TV,1,color_wheel
-1.0,2.0,-1.0,0.0,2.449489742783178,VT,1,color_wheel
-2.0,2.0,0.0,0.0,2.8284271247461903,TV,2,color_wheel
-1.0,2.0,-1.0,0.0,2.449489742783178,VT,2,color_wheel
0.0,2.0,-3.0,1.0,3.7416573867739413,TV,3,color_wheel
-1.0,1.0,0.0,0.0,1.4142135623730951,VT,3,color_wheel
0.0,0.0,-2.0,2.0,2.8284271247461903,TV,4,color_wheel
-1.0,-1.0,1.0,1.0,2.0,VT,4,color_wheel
0.0,0.0,-1.0,1.0,1.4142135623730951,TV,5,color_wheel
-1.0,1.0,0.0,0.0,1.4142135623730951,VT,5,color_wheel
2.0,1.0,-2.0,-1.0,3.1622776601683795,TV,6,color_wheel
-2.0,1.0,1.0,0.0,2.449489742783178,VT,6,color_wheel
-2.0,-1.0,1.0,2.0,3.1622776601683795,TV,7,color_wheel
