request_id,category,pair_id,token_bucket,prompt_tokens,vision_tokens,prefix_tokens,tail_tokens,layer,component,duration_ms,dispatch_ms,expert_ms,combine_ms,fastest_rank_ms
bit_allocate,chart_document,15,medium,671,648,653,18,47,language_tail,0.874176025390625,0.2103040013462305,0.40540799498558044,0.10582399368286133,0.8349760174751282
bit_allocate,chart_document,15,medium,671,648,653,18,47,vision_prefix,0.9993919730186462,0.2474880013614893,0.5759679973125458,0.13436800241470337,0.9689919948577881
brick,fine_grained,10,medium,277,256,261,16,0,language_tail,0.8955519795417786,0.23676800541579723,0.42816004157066345,0.12857598066329956,0.8586879968643188
brick,fine_grained,10,medium,277,256,261,16,0,vision_prefix,0.8736000061035156,0.22131200693547726,0.47446396946907043,0.08873599767684937,0.8303679823875427
brick,fine_grained,10,medium,277,256,261,16,1,language_tail,0.8603519797325134,0.18521600123494864,0.41091200709342957,0.10067194700241089,0.8231040239334106
brick,fine_grained,10,medium,277,256,261,16,1,vision_prefix,0.8872960209846497,0.21782400645315647,0.472927987575531,0.09647995233535767,0.8503999710083008
brick,fine_grained,10,medium,277,256,261,16,2,language_tail,0.8746560215950012,0.2011199975386262,0.40931200981140137,0.0979200005531311,0.8281599879264832
brick,fine_grained,10,medium,277,256,261,16,2,vision_prefix,0.9186879992485046,0.22054400574415922,0.4713279902935028,0.11667197942733765,0.8600000143051147
brick,fine_grained,10,medium,277,256,261,16,3,language_tail,0.8859519958496094,0.2062079943716526,0.4166719913482666,0.10774403810501099,0.8529279828071594
brick,fine_grained,10,medium,277,256,261,16,3,vision_prefix,0.8818879723548889,0.21321600023657084,0.4638720154762268,0.10044801235198975,0.8536319732666016
brick,fine_grained,10,medium,277,256,261,16,4,language_tail,0.8793920278549194,0.19468800630420446,0.4129279851913452,0.11340796947479248,0.8395519852638245
brick,fine_grained,10,medium,277,256,261,16,4,vision_prefix,0.9503039717674255,0.23299199435859919,0.4870400130748749,0.148095965385437,0.9025920033454895
brick,fine_grained,10,medium,277,256,261,16,5,language_tail,0.9090240001678467,0.20963199902325869,0.4394560158252716,0.11263996362686157,0.864736020565033
brick,fine_grained,10,medium,277,256,261,16,5,vision_prefix,0.882752001285553,0.2195519944652915,0.46848002076148987,0.1167680025100708,0.8463039994239807
brick,fine_grained,10,medium,277,256,261,16,6,language_tail,0.860480010509491,0.19468800257891417,0.4164159595966339,0.10607999563217163,0.8317760229110718
brick,fine_grained,10,medium,277,256,261,16,6,vision_prefix,0.8765119910240173,0.20758400671184063,0.48742401599884033,0.10345602035522461,0.842848002910614
