source,budget,strategy,observations,expert_median_ms,wall_median_ms,dispatch_median_ms,combine_median_ms,median_chunks,median_min_chunk,median_max_chunk,median_chunk_cv,correctness_all,route_identity_all,expert_reduction_median,expert_reduction_p25,expert_reduction_p75,expert_positive_fraction,wall_reduction_median,wall_reduction_p25,wall_reduction_p75,wall_positive_fraction,dispatch_reduction_median,dispatch_reduction_p25,dispatch_reduction_p75,dispatch_positive_fraction,combine_reduction_median,combine_reduction_p25,combine_reduction_p75,combine_positive_fraction
long,128,same_count,4,18.206914000213146,34.38987970352173,5.964983334066346,4.887494206428528,48.0,100.5,128.0,0.02999804817748552,True,True,0.001146306879165615,-0.0007982296395227517,0.004524175339848641,0.5,0.0027269079752105796,-0.001787702643870126,0.006823722116905323,0.5,-0.002628949676067527,-0.0075355270840675725,0.004596241073078072,0.5,-0.02547598945231866,-0.027350413663661144,-0.021568871411234203,0.0
long,128,strict,4,19.809009470045567,37.74702453613281,6.477078310446814,5.1574214696884155,52.5,2.0,128.0,0.29232155909718294,True,True,-0.06840940841652476,-0.08086947766195196,-0.06467771673790296,0.0,-0.07659408427034242,-0.08768845545691406,-0.07272584209227034,0.0,-0.07138792226133861,-0.08833703729030001,-0.06556186099983113,0.0,-0.07778344652894198,-0.08178287405853313,-0.06479438366188495,0.0
long,128,relaxed,4,15.27601507306099,27.85639190673828,4.835210250224918,3.6761272847652435,38.5,134.5,160.0,0.02433297353049907,True,True,0.16127241549266863,0.1556648913630799,0.1679218138125829,1.0,0.19107538171174415,0.18527184627281354,0.19651314518360863,1.0,0.18208187194116693,0.178222331128148,0.18614322505879785,1.0,0.2239943852779166,0.18999298562973196,0.2601139451561544,1.0
long,256,fixed,4,10.326623603701591,17.92351198196411,3.1391670883167535,2.092319071292877,24.5,109.5,256.0,0.12826006372192011,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
long,256,balanced,4,10.335719630122185,18.01697587966919,3.199408705579117,2.158007562160492,24.5,249.0,250.0,0.001841725613870603,True,True,-0.0006206365587403395,-0.005566394606723701,0.0013732900478339027,0.5,-0.005250911578739137,-0.007778396277631605,-0.0018961195551098486,0.25,-0.008304254360055552,-0.015787239957442745,-0.004492848851875564,0.0,-0.029147883522814277,-0.0763347978932431,0.018282007819878016,0.25
long,256,same_count,4,10.310824394226074,18.004143953323364,3.1536959463264793,2.1828953623771667,24.5,147.0,256.0,0.09270723718240795,True,True,0.0018446981800092077,5.19336814468474e-05,0.0036713713184025054,0.75,-0.0013404639838116572,-0.003796867674149995,0.0015734769000031734,0.5,-0.004096247499095873,-0.004418434881784172,-0.0037430450667090276,0.0,-0.02294678638090475,-0.0355435805645552,-0.003325766944124231,0.25
long,256,strict,4,11.335442215204239,19.97003984451294,3.4728737995028496,2.4243092238903046,27.5,2.0,256.0,0.4242944340187237,True,True,-0.14228297757499275,-0.17514465830099368,-0.11477290602884826,0.0,-0.16968152490596955,-0.2089526478039052,-0.1376556713664771,0.0,-0.15964657582876418,-0.19334867413471846,-0.1295483848160428,0.0,-0.21419249525845485,-0.2853596966822566,-0.1376086774002589,0.0
long,256,relaxed,4,8.471895679831505,14.292567729949951,2.4705118625424802,1.663039892911911,19.5,207.0,320.0,0.08016675203005164,True,True,0.1629212063312147,0.15362550213269321,0.17240825088934586,1.0,0.18449937399261485,0.17625643416567113,0.19251110209798758,1.0,0.19936504295965285,0.18479948502786467,0.21759460614778472,1.0,0.18403777508125685,0.163518752289455,0.21057623550967064,1.0
long,512,fixed,4,6.194631636142731,10.038671970367432,1.7359273587353528,1.4009125530719757,12.5,229.5,512.0,0.16772760969656172,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
long,512,balanced,4,6.3272479474544525,10.194631814956665,1.7290796525776386,1.5769915878772736,12.5,486.5,487.5,0.0008892986545431837,True,True,-0.000890399767108141,-0.01626282504839982,0.0025656164225555944,0.5,0.0067267441262569005,-0.007292645892718941,0.008538039489873778,0.75,0.007226345540465529,-0.002414019829803854,0.013600050576827671,0.75,0.01696050547321115,-0.09813275433142987,0.07135906972669412,0.5
long,512,same_count,4,6.176951617002487,10.012351989746094,1.7431198507547379,1.3409276604652405,12.5,287.5,512.0,0.144757986049557,True,True,-0.0015884370863621378,-0.0027937447620516864,0.0005583832472158823,0.25,-0.0030755677237125356,-0.006502745647372854,0.002673075147636317,0.5,-0.008933502986534003,-0.030681878184022182,0.012485327636019533,0.5,0.012472604453739156,-0.009095829614039097,0.03461682721943923,0.5
long,512,strict,4,6.3973051607608795,10.533047914505005,1.8049519348423928,1.4700560867786407,13.0,19.0,512.0,0.3578147877069508,True,True,-0.0717578872377701,-0.08665920273593491,-0.048397534075695414,0.0,-0.09198138172476955,-0.10062329482356913,-0.07206234908576914,0.0,-0.08850632440528028,-0.10828483709039993,-0.04876650783150463,0.25,-0.0618727403010334,-0.086097724181391,-0.046015345868283486,0.0
long,512,relaxed,4,5.229776620864868,8.400928020477295,1.5399117609485984,1.2027361989021301,10.0,513.0,640.0,0.07907108678939553,True,True,0.13396526773279333,0.12354054129138003,0.14542044381716676,1.0,0.14237906355454893,0.13658508327171381,0.15174732783711795,1.0,0.09965384572573938,0.08701867036732638,0.11654458595274184,1.0,0.14102056617886438,0.10622750050934765,0.17601991505979436,1.0
long,1024,fixed,4,4.167063914239407,6.705687999725342,1.269087839871645,1.3976397216320038,6.5,485.5,1024.0,0.2266520163978588,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
long,1024,balanced,4,4.065504245460033,6.438736081123352,1.2823281621094793,1.145816147327423,6.5,934.5,935.5,0.0004965919195913697,True,True,-0.007733568637955601,-0.021582086983371607,0.015104931462962018,0.25,-0.013130239581483516,-0.02159607034681804,0.017415871396423976,0.25,-0.006095415083749889,-0.009461076964607018,5.337548469833142e-05,0.25,-0.006708519058723439,-0.05446248637181783,0.11721025418276415,0.5
long,1024,same_count,4,4.438975729048252,7.448095917701721,1.3195919548161328,1.2397759556770325,6.5,521.0,1024.0,0.21340722321797065,True,True,0.027427642976090905,-0.046261895337660286,0.0774258318668554,0.5,0.031355145421573416,-0.0844416459183514,0.0952877583230517,0.5,-0.03581277880313105,-0.0400901170042261,-0.02394400852357556,0.25,0.0736097639192918,-0.5286815979269188,0.3676235921558492,0.5
long,1024,strict,4,4.784872129559517,7.969503879547119,1.4408322202507406,1.4911041855812073,8.0,4.0,1024.0,0.5563936498540604,True,True,-0.14682508254865234,-0.17202144777052264,-0.10131030587128642,0.0,-0.18698986578734866,-0.24629124540924285,-0.11186159021205816,0.0,-0.14096443998821184,-0.19084419932220886,-0.11788047977489907,0.0,-0.1392454884315013,-0.3867158502128904,0.070304515504585,0.25
long,1024,relaxed,4,4.365831904113293,6.893128037452698,1.200448019662872,1.3844638615846634,5.5,901.5,1258.0,0.13309232803892362,True,True,-0.04067783305138173,-0.17187862057145525,0.119859837543387,0.5,-0.022930973277862088,-0.1841037496489344,0.17237670052459805,0.5,0.057794878698441465,0.05595404256750691,0.06906023691237659,1.0,-0.10381929189699657,-0.406393914732221,0.26902270379007154,0.5
