sample_id,layer,modality,cosine,relative_l2
camera,12,visual,0.9999964833259583,0.002628290094435215
camera,12,visual,0.999996542930603,0.002615172415971756
camera,12,visual,0.9999961256980896,0.0027606021612882614
camera,12,visual,0.9999960064888,0.002796831075102091
camera,12,visual,0.9999964833259583,0.0027044962625950575
camera,12,visual,0.9999961256980896,0.002821205649524927
camera,12,visual,0.9999962449073792,0.0027292841114103794
camera,12,visual,0.9999963045120239,0.0027318315114825964
camera,12,visual,0.9999964833259583,0.002665750216692686
camera,12,visual,0.9999964237213135,0.002697861287742853
camera,12,visual,0.9999964237213135,0.0026639255229383707
camera,12,visual,0.9999961853027344,0.002799758454784751
camera,12,visual,0.999996542930603,0.0026536148507148027
camera,12,text,0.9999973773956299,0.002236860804259777
camera,12,text,0.9999961853027344,0.002758110873401165
camera,12,text,0.9999961853027344,0.0027845578733831644
camera,12,text,0.9999967813491821,0.002553910482674837
camera,24,visual,0.9999960660934448,0.002856515347957611
camera,24,visual,0.9999959468841553,0.002849823096767068
camera,24,visual,0.9999963641166687,0.0027036091778427362
camera,24,visual,0.9999964237213135,0.0026457461062818766
camera,24,visual,0.9999959468841553,0.0028921389020979404
camera,24,visual,0.9999958872795105,0.002877611666917801
camera,24,visual,0.9999956488609314,0.0029447469860315323
camera,24,visual,0.9999962449073792,0.002720325253903866
camera,24,visual,0.9999962449073792,0.0027294352184981108
camera,24,visual,0.999995768070221,0.002890152856707573
camera,24,visual,0.9999964833259583,0.002686441410332918
camera,24,visual,0.9999969601631165,0.002470028353855014
camera,24,visual,0.9999960064888,0.0028882480692118406
camera,24,visual,0.9999960064888,0.0028167415875941515
camera,24,visual,0.9999962449073792,0.002747953636571765
camera,24,visual,0.9999963045120239,0.0027269283309578896
camera,24,visual,0.9999963641166687,0.002715405775234103
camera,24,visual,0.9999967217445374,0.0026128271128982306
camera,24,visual,0.9999964237213135,0.0026924728881567717
camera,24,visual,0.9999969005584717,0.002517843618988991
camera,24,visual,0.9999963641166687,0.0026949208695441484
camera,24,visual,0.9999961853027344,0.002745651639997959
camera,24,visual,0.999995768070221,0.0028962951619178057
camera,24,visual,0.9999957084655762,0.002915061078965664
camera,24,visual,0.9999959468841553,0.0028545695822685957
camera,24,visual,0.9999962449073792,0.0027602112386375666
camera,24,visual,0.9999957084655762,0.0029241363517940044
camera,24,visual,0.9999973177909851,0.0023515322245657444
camera,24,visual,0.9999966621398926,0.0025805055629462004
camera,24,visual,0.9999963641166687,0.0026787729002535343
camera,24,visual,0.9999963045120239,0.0027325423434376717
camera,24,visual,0.999996542930603,0.0026125041767954826
camera,24,visual,0.999996542930603,0.0025937131140381098
camera,24,visual,0.9999962449073792,0.002786936005577445
camera,24,visual,0.9999970197677612,0.0024023710284382105
camera,24,visual,0.9999968409538269,0.002529393183067441
camera,24,visual,0.9999961256980896,0.002821705536916852
camera,24,visual,0.9999964237213135,0.002685633022338152
camera,24,visual,0.9999969005584717,0.00249611958861351
camera,24,visual,0.9999963045120239,0.0027440530247986317
camera,24,visual,0.999995768070221,0.002937890123575926
camera,24,visual,0.9999959468841553,0.002841965528205037
camera,24,visual,0.9999954104423523,0.0030330081935971975
camera,24,visual,0.9999959468841553,0.0028768416959792376
camera,24,text,0.9999969601631165,0.002422358375042677
camera,36,visual,0.9999962449073792,0.0027705926913768053
camera,36,visual,0.999995768070221,0.002873464021831751
camera,36,visual,0.999996542930603,0.0026167926844209433
