fold,policy,fit_source,eval_source,layer,optimizer,tokens,assignments,mean_u,median_u,p90_u,p_u4,p_u_ge3,rank_load_max,rank_load_mean,rank_load_cv,rank_load_max_mean,critical_rank,remote_volume_proxy
A_first12,P_T_load,text,all,11,modality_greedy_load+swap,13286,106288,3.680415474936023,4.0,4.0,0.6920066235134729,0.9884088514225501,29568,26572.0,0.08450165702743276,1.112750263435195,0,35612.0
A_first12,P_T_load,text,vision,11,modality_greedy_load+swap,13020,104160,3.684101382488479,4.0,4.0,0.6949308755760368,0.9891705069124423,28969,26040.0,0.08556175745372042,1.1124807987711214,0,34947.0
A_first12,P_T_load,text,text,11,modality_greedy_load+swap,266,2128,3.5,4.0,4.0,0.5488721804511278,0.9511278195488722,599,532.0,0.09696406298142053,1.1259398496240602,0,665.0
A_first12,P_T_load,text,all,12,modality_greedy_load+swap,13286,106288,3.6597922625319885,4.0,4.0,0.6759747102212855,0.983817552310703,29123,26572.0,0.06889112773832552,1.0960033117567365,0,35338.0
A_first12,P_T_load,text,vision,12,modality_greedy_load+swap,13020,104160,3.6578341013824884,4.0,4.0,0.6734254992319508,0.9844086021505376,28560,26040.0,0.06979513845806173,1.096774193548387,0,34605.0
A_first12,P_T_load,text,text,12,modality_greedy_load+swap,266,2128,3.755639097744361,4.0,4.0,0.8007518796992481,0.9548872180451128,563,532.0,0.05758448752646763,1.0582706766917294,0,733.0
A_first12,P_T_load,text,all,13,modality_greedy_load+swap,13286,106288,3.6273520999548396,4.0,4.0,0.6465452355863315,0.980882131567063,31565,26572.0,0.11198981091327305,1.1879045611922325,2,34907.0
A_first12,P_T_load,text,vision,13,modality_greedy_load+swap,13020,104160,3.624347158218126,4.0,4.0,0.6439324116743471,0.9804915514592933,31043,26040.0,0.11457797544581498,1.1921274961597543,2,34169.0
A_first12,P_T_load,text,text,13,modality_greedy_load+swap,266,2128,3.774436090225564,4.0,4.0,0.7744360902255639,1.0,563,532.0,0.035090516358260285,1.0582706766917294,0,738.0
A_first12,P_T_load,text,all,14,modality_greedy_load+swap,13286,106288,3.6308896582869186,4.0,4.0,0.6468463043805509,0.9841938883034773,33145,26572.0,0.16201132268143206,1.2473656480505795,2,34954.0
A_first12,P_T_load,text,vision,14,modality_greedy_load+swap,13020,104160,3.6252688172043013,4.0,4.0,0.6415514592933947,0.9838709677419355,32528,26040.0,0.16394802389417437,1.2491551459293395,2,34181.0
A_first12,P_T_load,text,text,14,modality_greedy_load+swap,266,2128,3.906015037593985,4.0,4.0,0.9060150375939849,1.0,617,532.0,0.10184258403371255,1.1597744360902256,2,773.0
A_first12,P_T_load,text,all,15,modality_greedy_load+swap,13286,106288,3.6056751467710373,4.0,4.0,0.6292337799187114,0.9764413668523257,30111,26572.0,0.09815120466299948,1.133185307842842,2,34619.0
A_first12,P_T_load,text,vision,15,modality_greedy_load+swap,13020,104160,3.6032258064516127,4.0,4.0,0.6270353302611367,0.9761904761904762,29490,26040.0,0.09855445929272189,1.1324884792626728,2,33894.0
A_first12,P_T_load,text,text,15,modality_greedy_load+swap,266,2128,3.725563909774436,4.0,4.0,0.7368421052631579,0.9887218045112782,621,532.0,0.13345864661654136,1.1672932330827068,2,725.0
A_first12,P_T_load,text,all,16,modality_greedy_load+swap,13286,106288,3.648125846755984,4.0,4.0,0.6655878368207135,0.9825380099352702,31911,26572.0,0.12473146239305882,1.200925786542225,1,35183.0
A_first12,P_T_load,text,vision,16,modality_greedy_load+swap,13020,104160,3.645238095238095,4.0,4.0,0.6630568356374807,0.9821812596006144,31427,26040.0,0.12819137590611926,1.206874039938556,1,34441.0
A_first12,P_T_load,text,text,16,modality_greedy_load+swap,266,2128,3.789473684210526,4.0,4.0,0.7894736842105263,1.0,561,532.0,0.057523096797366,1.0545112781954886,3,742.0
A_first12,P_T_load,text,all,17,modality_greedy_load+swap,13286,106288,3.641050730091826,4.0,4.0,0.6550504290230318,0.9860003010687942,28896,26572.0,0.07245264965111205,1.0874604847207587,1,35089.0
A_first12,P_T_load,text,vision,17,modality_greedy_load+swap,13020,104160,3.6365591397849464,4.0,4.0,0.6508448540706605,0.9857142857142858,28308,26040.0,0.07149333589174571,1.0870967741935484,1,34328.0
A_first12,P_T_load,text,text,17,modality_greedy_load+swap,266,2128,3.8609022556390977,4.0,4.0,0.8609022556390977,1.0,605,532.0,0.12507417664583192,1.137218045112782,2,761.0
A_first12,P_T_load,text,all,18,modality_greedy_load+swap,13286,106288,3.6877916603944003,4.0,4.0,0.6990817401776306,0.9887851874153244,29461,26572.0,0.0650437186043378,1.1087234683125093,2,35710.0
A_first12,P_T_load,text,vision,18,modality_greedy_load+swap,13020,104160,3.6855606758832566,4.0,4.0,0.6970814132104455,0.9885560675883257,29044,26040.0,0.0688346835572069,1.1153609831029185,2,34966.0
A_first12,P_T_load,text,text,18,modality_greedy_load+swap,266,2128,3.7969924812030076,4.0,4.0,0.7969924812030075,1.0,600,532.0,0.13280178285016114,1.1278195488721805,3,744.0
A_first12,P_T_load,text,all,19,modality_greedy_load+swap,13286,106288,3.5562245973204876,4.0,4.0,0.5906969742586181,0.9655276230618697,31125,26572.0,0.13200328687326765,1.171345777510161,0,33962.0
A_first12,P_T_load,text,vision,19,modality_greedy_load+swap,13020,104160,3.5522273425499233,4.0,4.0,0.5873271889400922,0.9649001536098311,30541,26040.0,0.13435335983481053,1.1728494623655914,0,33230.0
A_first12,P_T_load,text,text,19,modality_greedy_load+swap,266,2128,3.7518796992481205,4.0,4.0,0.7556390977443609,0.9962406015037594,591,532.0,0.11250749813267233,1.1109022556390977,2,732.0
A_first12,P_T_load,text,all,20,modality_greedy_load+swap,13286,106288,3.564579256360078,4.0,4.0,0.5879120879120879,0.9766671684479904,29168,26572.0,0.06233340309582399,1.097696823724221,2,34073.0
A_first12,P_T_load,text,vision,20,modality_greedy_load+swap,13020,104160,3.56036866359447,4.0,4.0,0.5840245775729647,0.9763440860215054,28582,26040.0,0.06230601430251099,1.0976190476190477,2,33336.0
A_first12,P_T_load,text,text,20,modality_greedy_load+swap,266,2128,3.7706766917293235,4.0,4.0,0.7781954887218046,0.9924812030075187,586,532.0,0.08194497077344856,1.1015037593984962,2,737.0
A_first12,P_T_load,text,all,21,modality_greedy_load+swap,13286,106288,3.6357067589944303,4.0,4.0,0.652039741080837,0.9836670179135932,30780,26572.0,0.12721188375998804,1.158362185759446,3,35018.0
A_first12,P_T_load,text,vision,21,modality_greedy_load+swap,13020,104160,3.6314132104454684,4.0,4.0,0.6480798771121352,0.9833333333333333,30213,26040.0,0.12874127421724374,1.1602534562211981,3,34261.0
A_first12,P_T_load,text,text,21,modality_greedy_load+swap,266,2128,3.845864661654135,4.0,4.0,0.8458646616541353,1.0,567,532.0,0.06633767306398983,1.0657894736842106,3,757.0
A_first12,P_T_load,text,all,22,modality_greedy_load+swap,13286,106288,3.6105675146771037,4.0,4.0,0.6251693511967484,0.9853981634803552,30577,26572.0,0.10829282842065095,1.1507225651061268,2,34684.0
A_first12,P_T_load,text,vision,22,modality_greedy_load+swap,13020,104160,3.605069124423963,4.0,4.0,0.6199692780337942,0.985099846390169,30040,26040.0,0.11003381106093588,1.1536098310291858,2,33918.0
A_first12,P_T_load,text,text,22,modality_greedy_load+swap,266,2128,3.8796992481203008,4.0,4.0,0.8796992481203008,1.0,552,532.0,0.0328006172304796,1.037593984962406,1,766.0
A_first12,P_T_load,text,all,23,modality_greedy_load+swap,13286,106288,3.6210296552762307,4.0,4.0,0.6431582116513623,0.9778714436248683,28785,26572.0,0.07763479516318969,1.0832831552009634,3,34823.0
A_first12,P_T_load,text,vision,23,modality_greedy_load+swap,13020,104160,3.615668202764977,4.0,4.0,0.6381720430107527,0.9774961597542243,28263,26040.0,0.08010815740856699,1.0853686635944702,3,34056.0
A_first12,P_T_load,text,text,23,modality_greedy_load+swap,266,2128,3.8834586466165413,4.0,4.0,0.8872180451127819,0.9962406015037594,573,532.0,0.04816213524555999,1.0770676691729324,0,767.0
A_first12,P_T_load,text,all,24,modality_greedy_load+swap,13286,106288,3.6921571579105827,4.0,4.0,0.7064579256360078,0.9856992322745748,29071,26572.0,0.08565517152410988,1.0940463645943097,0,35768.0
A_first12,P_T_load,text,vision,24,modality_greedy_load+swap,13020,104160,3.6904761904761907,4.0,4.0,0.7050691244239631,0.9854070660522274,28467,26040.0,0.08638062023599936,1.0932027649769585,0,35030.0
A_first12,P_T_load,text,text,24,modality_greedy_load+swap,266,2128,3.774436090225564,4.0,4.0,0.7744360902255639,1.0,604,532.0,0.08528326200771177,1.1353383458646618,0,738.0
A_first12,P_T_load,text,all,25,modality_greedy_load+swap,13286,106288,3.6506096643082944,4.0,4.0,0.6733403582718651,0.9773445732349842,33166,26572.0,0.14994818730398124,1.2481559536354057,0,35216.0
A_first12,P_T_load,text,vision,25,modality_greedy_load+swap,13020,104160,3.6509216589861753,4.0,4.0,0.67357910906298,0.9774193548387097,32681,26040.0,0.15370875990623936,1.2550307219662058,0,34515.0
A_first12,P_T_load,text,text,25,modality_greedy_load+swap,266,2128,3.6353383458646618,4.0,4.0,0.6616541353383458,0.9736842105263158,582,532.0,0.07227681928470067,1.093984962406015,2,701.0
A_first12,P_T_load,text,all,26,modality_greedy_load+swap,13286,106288,3.647749510763209,4.0,4.0,0.6625771488785187,0.9852476290832455,28788,26572.0,0.08139638592968992,1.0833960559987956,2,35178.0
A_first12,P_T_load,text,vision,26,modality_greedy_load+swap,13020,104160,3.64531490015361,4.0,4.0,0.66036866359447,0.9850230414746544,28275,26040.0,0.08444731895252097,1.0858294930875576,2,34442.0
A_first12,P_T_load,text,text,26,modality_greedy_load+swap,266,2128,3.7669172932330826,4.0,4.0,0.7706766917293233,0.9962406015037594,573,532.0,0.07586630101733295,1.0770676691729324,3,736.0
