layer,placement,fit_source,eval_source,optimizer,tokens,assignments,mean_u,median_u,p90_u,p_u4,p_u_ge3,rank_load_max,rank_load_mean,rank_load_cv,rank_load_max_mean,critical_rank,remote_volume_proxy
3,P_T_load,text,all,modality_greedy_load+swap,15929,127432,3.6394626153556406,4.0,4.0,0.6557222675623078,0.983740347793333,35338,31858.0,0.09620853989345232,1.1092347291104274,3,42044.0
3,P_T_load,text,vision,modality_greedy_load+swap,15414,123312,3.6352017646295574,4.0,4.0,0.6516802906448683,0.9835214739846893,34308,30828.0,0.0994229811835216,1.1128843908135462,3,40619.0
3,P_T_load,text,text,modality_greedy_load+swap,515,4120,3.766990291262136,4.0,4.0,0.7766990291262136,0.9902912621359223,1030,1030.0,0.0,1.0,0,1425.0
3,P_V_sat,vision,all,modality_coactivation_surrogate+swap,15929,127432,3.0933517483834514,3.0,4.0,0.29957938351434493,0.8069558666582962,63500,31858.0,0.618003099101313,1.9932199133655597,0,33345.0
3,P_V_sat,vision,vision,modality_coactivation_surrogate+swap,15414,123312,3.0770727909692486,3.0,4.0,0.2901907356948229,0.8005060334760608,62395,30828.0,0.6400861726251511,2.02397171402621,0,32016.0
3,P_V_sat,vision,text,modality_coactivation_surrogate+swap,515,4120,3.5805825242718448,4.0,4.0,0.5805825242718446,1.0,1286,1030.0,0.27407287223806637,1.2485436893203883,2,1329.0
3,P_T_sat,text,all,modality_coactivation_surrogate+swap,15929,127432,3.4695209994349927,4.0,4.0,0.5410885805763074,0.9352125054931257,36074,31858.0,0.10612036774605035,1.1323372465314834,1,39337.0
3,P_T_sat,text,vision,modality_coactivation_surrogate+swap,15414,123312,3.522706630336058,4.0,4.0,0.5591021149604256,0.963669391462307,35452,30828.0,0.12453819485636146,1.1499935123913325,1,38885.0
3,P_T_sat,text,text,modality_coactivation_surrogate+swap,515,4120,1.8776699029126214,2.0,2.0,0.001941747572815534,0.08349514563106795,3088,1030.0,1.165949287722327,2.9980582524271844,0,452.0
3,P_joint_0.5,all,all,joint_surrogate_lambda_0.5,15929,127432,3.568208927114069,4.0,4.0,0.6016699102266306,0.9666017954673866,31913,31858.0,0.0019264177800375527,1.0017264109485844,1,40909.0
3,P_joint_0.5,all,vision,joint_surrogate_lambda_0.5,15414,123312,3.5644868301544053,4.0,4.0,0.5988062800051901,0.9657454262358894,30970,30828.0,0.005838622532165279,1.0046062021538862,0,39529.0
3,P_joint_0.5,all,text,joint_surrogate_lambda_0.5,515,4120,3.679611650485437,4.0,4.0,0.6873786407766991,0.9922330097087378,1367,1030.0,0.19659894520070445,1.3271844660194174,2,1380.0
3,P_joint_0.75,all,all,joint_surrogate_lambda_0.75,15929,127432,3.568208927114069,4.0,4.0,0.6016699102266306,0.9666017954673866,31913,31858.0,0.0019264177800375527,1.0017264109485844,1,40909.0
3,P_joint_0.75,all,vision,joint_surrogate_lambda_0.75,15414,123312,3.5644868301544053,4.0,4.0,0.5988062800051901,0.9657454262358894,30970,30828.0,0.005838622532165279,1.0046062021538862,0,39529.0
3,P_joint_0.75,all,text,joint_surrogate_lambda_0.75,515,4120,3.679611650485437,4.0,4.0,0.6873786407766991,0.9922330097087378,1367,1030.0,0.19659894520070445,1.3271844660194174,2,1380.0
4,P0,all,all,fixed_linear,15929,127432,3.630359721263105,4.0,4.0,0.647686609328897,0.982673111934208,35380,31858.0,0.08858219191784973,1.1105530792893465,1,41899.0
4,P0,all,vision,fixed_linear,15414,123312,3.6326067211625794,4.0,4.0,0.6501232645646815,0.982483456597898,34379,30828.0,0.0951373497802861,1.1151874918904892,1,40579.0
4,P0,all,text,fixed_linear,515,4120,3.563106796116505,4.0,4.0,0.574757281553398,0.9883495145631068,1182,1030.0,0.15719013284579178,1.1475728155339806,2,1320.0
4,P_load,all,all,greedy_load+swap,15929,127432,3.6937660870111118,4.0,4.0,0.7048151170820516,0.9889509699290602,31862,31858.0,0.00011533161573779796,1.000125557159897,0,42909.0
4,P_load,all,vision,greedy_load+swap,15414,123312,3.68872453613598,4.0,4.0,0.7001427273906838,0.9885818087452964,30985,30828.0,0.004500537413017064,1.0050927728039445,0,41444.0
4,P_load,all,text,greedy_load+swap,515,4120,3.8446601941747574,4.0,4.0,0.8446601941747572,1.0,1186,1030.0,0.13536814902891578,1.1514563106796116,1,1465.0
4,P_V_load,vision,all,modality_greedy_load+swap,15929,127432,3.7058823529411766,4.0,4.0,0.7158013685730429,0.9900809843681336,32190,31858.0,0.00838525974607279,1.0104212442714546,0,43102.0
