case_id,kind,pair_key,side,request_id,layer,token_count,S,I,vision_fraction,metric,median_ms,p25_ms,p75_ms,p95_ms,cv,n_iterations,rank_medians_ms
pair_similar_I_different_S_03_high,similar_I_different_S,similar_I_different_S_03,high_S,moon,31,276,0.9375,1.1775362318840579,0.927536231884058,host_ms,0.192102,0.18559024999999998,0.30904175,0.3434939,0.2785207982218671,20,"{""0"": 0.1913895, ""1"": 0.192102, ""2"": 0.19012400000000002, ""3"": 0.1892205}"
pair_similar_S_different_I_04_low,similar_S_different_I,similar_S_different_I_04,low_I,histology,35,277,0.9034296028880866,1.0703971119133573,0.924187725631769,dispatch_ms,0.11011200025677681,0.10655999928712845,0.11759200133383274,0.14275359734892848,0.12850557817221583,20,"{""0"": 0.10575999692082405, ""1"": 0.11011200025677681, ""2"": 0.10817599669098854, ""3"": 0.1066720001399517}"
pair_similar_S_different_I_04_low,similar_S_different_I,similar_S_different_I_04,low_I,histology,35,277,0.9034296028880866,1.0703971119133573,0.924187725631769,combine_ms,0.048767998814582825,0.047704000025987625,0.050088001415133476,0.05296639911830426,0.05251859178046099,20,"{""0"": 0.048208000138401985, ""1"": 0.04689599946141243, ""2"": 0.04732799902558327, ""3"": 0.047488000243902206}"
pair_similar_S_different_I_04_low,similar_S_different_I,similar_S_different_I_04,low_I,histology,35,277,0.9034296028880866,1.0703971119133573,0.924187725631769,total_ms,0.169855996966362,0.16659199818968773,0.1786000058054924,0.20302079766988756,0.09318262131482168,20,"{""0"": 0.16734400391578674, ""1"": 0.16937600076198578, ""2"": 0.1693120002746582, ""3"": 0.16795200109481812}"
pair_similar_S_different_I_04_low,similar_S_different_I,similar_S_different_I_04,low_I,histology,35,277,0.9034296028880866,1.0703971119133573,0.924187725631769,host_ms,0.1871235,0.18326675,0.196019,0.21851095,0.08529062605184917,20,"{""0"": 0.1865305, ""1"": 0.18696200000000002, ""2"": 0.18685449999999998, ""3"": 0.1862085}"
pair_similar_S_different_I_04_high,similar_S_different_I,similar_S_different_I_04,high_I,brick,9,277,0.9034296028880866,1.5974729241877257,0.924187725631769,dispatch_ms,0.11401600018143654,0.10757600143551826,0.18490399792790413,0.23518719524145126,0.33769592116625796,20,"{""0"": 0.11334399878978729, ""1"": 0.11187200248241425, ""2"": 0.11368000134825706, ""3"": 0.10846399888396263}"
pair_similar_S_different_I_04_high,similar_S_different_I,similar_S_different_I_04,high_I,brick,9,277,0.9034296028880866,1.5974729241877257,0.924187725631769,combine_ms,0.05012799985706806,0.04913599882274866,0.07913599908351898,0.08571039699018002,0.2480765737550582,20,"{""0"": 0.046592000871896744, ""1"": 0.04979200102388859, ""2"": 0.04959999956190586, ""3"": 0.049776000902056694}"
pair_similar_S_different_I_04_high,similar_S_different_I,similar_S_different_I_04,high_I,brick,9,277,0.9034296028880866,1.5974729241877257,0.924187725631769,total_ms,0.17664000391960144,0.16899200528860092,0.2762640118598938,0.3282144069671631,0.29167398412117634,20,"{""0"": 0.17193599790334702, ""1"": 0.17396800220012665, ""2"": 0.17664000391960144, ""3"": 0.17217599600553513}"
pair_similar_S_different_I_04_high,similar_S_different_I,similar_S_different_I_04,high_I,brick,9,277,0.9034296028880866,1.5974729241877257,0.924187725631769,host_ms,0.19505050000000002,0.18605325,0.29435925,0.3444256,0.27035290456769207,20,"{""0"": 0.1924645, ""1"": 0.1916515, ""2"": 0.19505050000000002, ""3"": 0.192886}"
pair_similar_S_different_I_05_low,similar_S_different_I,similar_S_different_I_05,low_I,phantom,38,165,0.896969696969697,1.2,0.8727272727272727,dispatch_ms,0.12308799847960472,0.09723999723792076,0.1642719954252243,0.1870447985827923,0.26747240830302516,20,"{""0"": 0.11937600001692772, ""1"": 0.12303999811410904, ""2"": 0.11460800096392632, ""3"": 0.12000000104308128}"
pair_similar_S_different_I_05_low,similar_S_different_I,similar_S_different_I_05,low_I,phantom,38,165,0.896969696969697,1.2,0.8727272727272727,combine_ms,0.06590400263667107,0.0453759990632534,0.07255199924111366,0.08404799923300743,0.2386999926105839,20,"{""0"": 0.06534400023519993, ""1"": 0.06568000093102455, ""2"": 0.06262400187551975, ""3"": 0.06483200192451477}"
