dataset,layer,rank,slow_wave,fast_wave,pairs_slow,pairs_fast,expert_ms_slow,expert_ms_fast,latency_ratio,active_experts_slow,active_experts_fast,rows_p50_slow,rows_p50_fast,tiny_le4_slow,tiny_le4_fast
humaneval,13,1,23,18,159,159,0.5915520191192627,0.5140159726142883,1.150843652018488,28,24,3.0,6.0,0.6071428571428571,0.4166666666666667
humaneval,9,0,80,75,61,62,0.4965760111808777,0.4315199851989746,1.1507601692002878,25,20,1.0,1.5,0.84,0.75
gsm8k,15,2,59,63,44,43,0.5404160022735596,0.46963199973106384,1.1507222731479763,7,7,5.0,6.0,0.42857142857142855,0.42857142857142855
humaneval,1,3,42,0,1117,1113,0.9346879720687866,0.8123199939727783,1.1506401159690143,51,39,8.0,5.0,0.3137254901960784,0.38461538461538464
humaneval,7,0,34,29,1610,1592,1.0727360248565674,0.9323840141296387,1.1505302628530631,59,50,10.0,8.5,0.2542372881355932,0.28
gsm8k,25,3,38,37,2430,2433,0.9591040015220642,0.8336640000343323,1.1504682959592425,45,47,16.0,17.0,0.2222222222222222,0.2553191489361702
humaneval,24,3,13,11,282,278,0.7608320116996765,0.6614400148391724,1.1502660779975205,39,34,4.0,4.0,0.5897435897435898,0.5294117647058824
humaneval,13,0,69,14,364,361,0.7952640056610107,0.6914240121841431,1.1501827990451865,45,35,5.0,7.0,0.4666666666666667,0.37142857142857144
humaneval,23,1,9,8,404,412,0.6722880005836487,0.5845119953155518,1.1501697244394626,33,29,5.0,7.0,0.48484848484848486,0.41379310344827586
humaneval,25,1,67,10,197,203,0.6140159964561462,0.5338559746742249,1.150152898131069,31,23,3.0,6.0,0.6129032258064516,0.391304347826087
humaneval,2,1,25,14,131,133,0.6353279948234558,0.5524160265922546,1.150089722672727,46,36,3.0,3.0,0.8043478260869565,0.6944444444444444
humaneval,7,3,55,0,807,799,0.8455680012702942,0.7353280186653137,1.1499194642481814,49,37,14.0,7.0,0.30612244897959184,0.40540540540540543
humaneval,10,2,24,19,207,212,0.6647999882698059,0.5781760215759277,1.1498228281030545,35,29,3.0,5.0,0.5714285714285714,0.4827586206896552
humaneval,11,2,44,0,1428,1423,0.8793920278549194,0.7648959755897522,1.1496883967481828,46,35,14.0,6.0,0.21739130434782608,0.37142857142857144
humaneval,25,2,61,60,351,356,0.7237759828567505,0.6296640038490295,1.1494638067801721,36,31,5.0,6.0,0.4722222222222222,0.3870967741935484
