dataset,wave,layer,actual_expert_critical_ms,fragment_ideal_expert_critical_ms,fragment_removable_ms,actual_expert_critical_ms_p99_winsorized,fragment_ideal_expert_critical_ms_p99_trimmed,fragment_removable_ms_p99_trimmed,compact_predicted_expert_critical_ms,compact_ideal_expert_critical_ms,post_compaction_fragment_residual_ms,compaction_expert_work_removal_ms,compact_predicted_expert_critical_ms_p99_trimmed,compact_ideal_expert_critical_ms_p99_trimmed,post_compaction_fragment_residual_ms_p99_trimmed,compaction_expert_work_removal_ms_p99_trimmed
gsm8k,1,15,1.0504000186920166,1.0404671907424927,0.009932827949523881,1.0504000186920166,1.039635181427002,0.010764837265014648,0.7956206616114555,0.7755328059196472,0.020087855691808265,0.2547793570805611,0.7900794520400006,0.7755328059196472,0.01454664612035339,0.26032056665201597
gsm8k,1,16,0.9817280173301697,0.9685343921184539,0.013193625211715743,0.9817280173301697,0.9685343921184539,0.013193625211715743,0.7388091319147391,0.8097344160079956,0.0,0.2429188854154306,0.7293027715689003,0.8097344160079956,0.0,0.25242524576126935
gsm8k,1,17,1.0701119899749756,1.047391986846924,0.02272000312805167,1.0701119899749756,1.0464959859848022,0.023616003990173384,0.8135889230636307,0.7779968082904816,0.035592114773149164,0.25652306691134485,0.8051463769411139,0.7779968082904816,0.02714956865063234,0.2649656130338617
gsm8k,1,18,1.0493119955062866,0.9473664224147796,0.10194557309150698,1.0422258901596069,0.9468416213989258,0.09538426876068107,0.7461982917890375,0.7980448126792907,0.0,0.3031137037172491,0.7461581286467024,0.7980448126792907,0.0,0.2960677615129045
gsm8k,1,19,1.0448640584945679,1.0231648325920104,0.021699225902557462,1.0448640584945679,1.0231648325920104,0.021699225902557462,0.8255417351797638,0.8192863941192627,0.006255341060501074,0.21932232331480406,0.8183666628413405,0.8192863941192627,0.0,0.22649739565322735
gsm8k,1,20,1.0117119550704956,0.984607994556427,0.027103960514068604,1.0117119550704956,0.9838559925556183,0.02785596251487732,0.8058001548045735,0.7343007862567902,0.07149936854778327,0.20591180026592215,0.7947387638500193,0.7343007862567902,0.06043797759322911,0.2169731912204763
gsm8k,1,21,1.0250879526138306,0.932511979341507,0.09257597327232359,1.0068403100967407,0.9305919766426086,0.07624833345413207,0.7268112307400536,0.7939808130264282,0.0,0.29827672187377696,0.7231951573228642,0.7939808130264282,0.0,0.2836451527738765
gsm8k,1,22,0.9959999918937683,0.9714816033840179,0.02451838850975041,0.9959999918937683,0.9714816033840179,0.02451838850975041,0.7998744941754593,0.7538111984729767,0.046063295702482576,0.196125497718309,0.799747015217069,0.7538111984729767,0.045935816744092306,0.19625297667669928
gsm8k,1,23,1.0402239561080933,0.9974976062774659,0.0427263498306274,1.0402239561080933,0.9974976062774659,0.0427263498306274,0.8321186241005438,0.8727423846721649,0.0,0.20810533200754944,0.8285241388953712,0.8727423846721649,0.0,0.21169981721272202
gsm8k,1,24,0.9756799936294556,0.9528799951076508,0.02279999852180481,0.9756799936294556,0.9528799951076508,0.02279999852180481,0.7491943599853995,0.745907187461853,0.003287172523546489,0.22648563364405605,0.7484139375496588,0.745907187461853,0.0025067500878057647,0.22726605607979677
gsm8k,1,25,1.0520319938659668,0.9651712059974671,0.08686078786849971,1.0520319938659668,0.9636544048786163,0.08837758898735049,0.7647116233424769,0.7427616059780121,0.02195001736446478,0.2873203705234899,0.7623046075463586,0.7427616059780121,0.01954300156834654,0.28972738631960815
gsm8k,1,26,0.9907839894294739,1.0031648397445678,0.0,0.9907839894294739,1.0031648397445678,0.0,0.7769074463190643,0.8058303892612457,0.0,0.2138765431104096,0.7770027003540709,0.8058303892612457,0.0,0.21378128907540295
gsm8k,1,27,1.08406400680542,1.0210687637329101,0.06299524307250981,1.08406400680542,1.0210687637329101,0.06299524307250981,0.789782714433636,0.8301535904407501,0.0,0.2942812923717839,0.7890728866937173,0.8301535904407501,0.0,0.2949911201117026
gsm8k,1,28,1.0232959985733032,1.0100575804710388,0.013238418102264449,1.0232959985733032,1.0100575804710388,0.013238418102264449,0.8349554275176455,0.8900959968566895,0.0,0.1883405710556577,0.8240602538434366,0.8900959968566895,0.0,0.1992357447298666
gsm8k,1,29,0.9480640292167664,0.9155424058437347,0.03252162337303166,0.9480640292167664,0.9155424058437347,0.03252162337303166,0.7708847680431579,0.8183776080608368,0.0,0.1771792611736085,0.771074888212667,0.8183776080608368,0.0,0.17698914100409935
