dataset,wave,layer,phase,moe_output_rel_l2_lag1,moe_output_cosine_lag1,hidden_matched_rows,hidden_cosine_mean,hidden_cosine_p50,hidden_rel_l2_mean,hidden_near_equal_fraction,hidden_live_cosine_mean,hidden_live_rel_l2_mean,moe_output_matched_rows,moe_output_cosine_mean,moe_output_cosine_p50,moe_output_rel_l2_mean,moe_output_near_equal_fraction,moe_output_live_cosine_mean,moe_output_live_rel_l2_mean
gsm8k,23,16,late,,,448,0.8817431926727295,0.9650575518608093,0.38122838735580444,0.0,0.839525043964386,0.5005308985710144,448,0.8767591714859009,0.9531490802764893,0.43916118144989014,0.0,0.8234071731567383,0.5598213076591492
gsm8k,24,16,late,0.8766480684280396,0.5529012680053711,416,0.909234344959259,0.9799731373786926,0.3266896605491638,0.0,0.8234187364578247,0.5426276326179504,416,0.8979260921478271,0.9746577739715576,0.3592938184738159,0.0,0.7996274828910828,0.6038649678230286
gsm8k,25,16,late,0.9412620067596436,0.6585414409637451,448,0.8662960529327393,0.9609096646308899,0.4117673933506012,0.0,0.8277612924575806,0.5352429151535034,448,0.8745083808898926,0.9515547752380371,0.45176687836647034,0.0,0.825391948223114,0.5759919285774231
gsm8k,26,16,late,0.8994395732879639,0.5198948383331299,416,0.8863135576248169,0.9573519229888916,0.3846225142478943,0.0,0.8275927305221558,0.5486119389533997,416,0.8783745765686035,0.9501258730888367,0.4714832603931427,0.0,0.8021424412727356,0.6183264851570129
gsm8k,27,16,late,,,352,0.8458672761917114,0.9335123300552368,0.4691733121871948,0.0,0.7849805951118469,0.622859001159668,352,0.8427937626838684,0.9125188589096069,0.535260021686554,0.0,0.757827639579773,0.677181601524353
gsm8k,28,16,late,,,256,0.9033806920051575,0.9841398000717163,0.3281523287296295,0.0,0.7283458113670349,0.6949851512908936,256,0.9009133577346802,0.9781862497329712,0.34696686267852783,0.0,0.7422523498535156,0.6999348402023315
gsm8k,29,16,late,0.5591251850128174,0.8490064144134521,256,0.8419669270515442,0.9278606176376343,0.48212116956710815,0.0,0.7890477776527405,0.6088902950286865,256,0.8473911881446838,0.9266378879547119,0.5774141550064087,0.0,0.7792310118675232,0.6488798260688782
gsm8k,30,16,late,,,160,0.8715578317642212,0.9596900939941406,0.41089582443237305,0.0,0.8244733214378357,0.5095666646957397,160,0.8635730743408203,0.9533209800720215,0.4796094596385956,0.0,0.8074092268943787,0.5457903146743774
gsm8k,31,16,late,,,128,0.8826234340667725,0.9738725423812866,0.3815784454345703,0.0,0.8035865426063538,0.5676741003990173,128,0.8604069948196411,0.9657887816429138,0.5203639268875122,0.0,0.7675073742866516,0.6613653898239136
gsm8k,32,16,late,,,96,0.7697708010673523,0.9046282172203064,0.6085551977157593,0.0,0.6653256416320801,0.8127880096435547,96,0.7760014533996582,0.8585131168365479,0.6927820444107056,0.0,0.643236517906189,0.9207730293273926
gsm8k,33,16,late,,,64,0.7969223260879517,0.8320455551147461,0.5708572864532471,0.0,0.7620189785957336,0.6342384815216064,64,0.7350791692733765,0.8017688989639282,0.8379626870155334,0.0,0.7342717051506042,0.6796808838844299
gsm8k,34,16,late,,,32,0.7872914671897888,0.9112462401390076,0.5494502782821655,0.0,0.6683354377746582,0.8426731824874878,32,0.8041108846664429,0.9280077815055847,0.566520631313324,0.0,0.6782642602920532,0.7854236960411072
gsm8k,35,16,late,0.6570594310760498,0.8535436987876892,32,0.7130990028381348,0.8857167959213257,0.7363661527633667,0.0,,,32,0.7304351329803467,0.8329569101333618,0.8855071663856506,0.0,,
gsm8k,36,16,early,,,,,,,,,,,,,,,,
gsm8k,37,16,early,1.0706970691680908,0.3885064423084259,1024,0.6279680728912354,0.6385676860809326,0.8479795455932617,0.0,0.674171507358551,0.7809227705001831,1024,0.6408389806747437,0.6556289196014404,0.912760853767395,0.0,0.6717572212219238,0.8186467885971069
gsm8k,38,16,middle,1.1299924850463867,0.4145679473876953,1024,0.7177493572235107,0.7606559991836548,0.6984236240386963,0.0,0.722294270992279,0.7091230750083923,1024,0.7129920721054077,0.7484636902809143,0.7740305066108704,0.0,0.6897827386856079,0.7896060943603516
gsm8k,39,16,middle,,,960,0.7825725674629211,0.8402010202407837,0.5801243185997009,0.0,0.7296321392059326,0.6906319260597229,960,0.7601562142372131,0.820715069770813,0.6434723734855652,0.0,0.6989842057228088,0.7584163546562195
gsm8k,40,16,middle,0.9647892117500305,0.5536555051803589,960,0.7773290276527405,0.8327039480209351,0.594636082649231,0.0,0.7299033999443054,0.6959030628204346,960,0.7572799324989319,0.8062810301780701,0.6790092587471008,0.0,0.6983553767204285,0.7736673355102539
