topology,max_num_batched_tokens,condition,concurrency,n,scheduled_tokens_median,arrival_skew_ms_median,arrival_skew_ratio_median,ep_wait_proxy_ms_median,stall_fraction_median,rank_ratio_median,expert_ratio_median,dispatch_ratio_median,combine_ratio_median,layers
A,16384,long_balanced,4,192,4218.5,0.10139200091362,0.15377800897843696,0.0164639949798584,0.007149015445814162,1.1332958046930552,1.0584390995604624,1.1813597750768934,1.2065891286343766,48
A,16384,long_balanced,8,192,7421.5,0.7190079689025879,0.40126917189429184,0.023759961128234863,0.007310940404497865,1.1332273230088497,1.072200021350051,1.3076242389607877,1.2178007883377586,48
A,16384,long_heterogeneous,2,96,4218.5,0.06575998663902283,0.1007160834829794,0.016816139221191406,0.006983166904082043,1.1309255747807536,1.0655425586717544,1.1750909004014471,1.2461427020890208,48
A,16384,long_heterogeneous,4,192,3203.0,0.0753600001335144,0.09552761445003174,0.008208036422729492,0.003462684735274308,1.128821995733586,1.0520363248782088,1.1383236346029806,1.2237658668044773,48
A,16384,long_heterogeneous,8,192,7421.5,0.055216073989868164,0.03811934110042002,0.007823944091796875,0.002764652937212246,1.1365137539616534,1.0694672396228442,1.1341401177895434,1.2320972883544434,48
A,16384,text_balanced,2,96,188.0,0.04628801345825195,0.050075617976408054,0.030719995498657227,0.015516227436961273,1.2998670212765957,1.0380688768840614,1.1618772089572182,1.1558081030093805,48
A,16384,text_balanced,4,192,262.5,0.045663982629776,0.04480494077899802,0.028016209602355957,0.014185465622788222,1.2951706840829518,1.028889497997779,1.1491456858559481,1.1500627650410982,48
A,16384,text_balanced,8,192,1121.5,0.05606397986412048,0.06193807339790411,0.014799952507019043,0.0068144631374398214,1.2672872340425532,1.0499657089564856,1.1517704509166147,1.2034043364114355,48
A,16384,text_balanced,16,192,2257.5,0.136896014213562,0.1310193269528958,0.02361607551574707,0.009287774402663972,1.2672872340425532,1.0709528217674837,1.2153025767201284,1.210961353484058,48
A,16384,text_heterogeneous,2,96,1976.5,0.02675202488899231,0.028924136039221122,0.0060160160064697266,0.002853796740015467,1.238745574102175,1.0641867131904421,1.1671701281232574,1.2764843131403347,48
A,16384,text_heterogeneous,4,192,1050.5,0.026367992162704468,0.026184623441569445,0.04356789588928223,0.020510818792425597,1.2581490104772992,1.050516133646439,1.1226250530940969,1.2556608024275624,48
A,16384,text_heterogeneous,8,192,2296.0,0.07308802008628845,0.07600355796287948,0.0037119388580322266,0.0016527668552900666,1.2577199661590526,1.0695780642715258,1.1526646458615646,1.2990478385918842,48
A,16384,text_heterogeneous,16,192,4460.5,0.06948801875114441,0.08843326350069095,0.003647923469543457,0.0014654245707404947,1.252171084790374,1.0867018232370411,1.0951518295322868,1.3281420479791217,48
A,16384,vision_balanced,2,96,188.0,0.041807979345321655,0.044767538030465584,0.027823984622955322,0.014268363465910936,1.158909574468085,1.0295770371510728,1.141687692450275,1.130968159207694,48
A,16384,vision_balanced,4,192,262.5,0.03873595595359802,0.0409007236669044,0.0321120023727417,0.01664260576128989,1.1549202127659575,1.028778646941815,1.12762383157109,1.1357877094483324,48
A,16384,vision_balanced,8,192,1121.0,0.07774397730827332,0.08920014843561919,0.013407886028289795,0.0063125152958284185,1.1634577795152463,1.037576694909935,1.1679834740088268,1.1673903133652281,48
A,16384,vision_balanced,16,192,2256.5,0.2152479887008667,0.15405909185212585,0.023696184158325195,0.00929899336558878,1.1602393617021276,1.0467081658840058,1.2528946897255293,1.1788696215359395,48
A,16384,vision_heterogeneous,2,96,1976.0,0.07171201705932617,0.07094806431399703,0.009296059608459473,0.004128891907224739,1.192653009610521,1.0581778044180852,1.1446690207026076,1.2653486632934596,48
A,16384,vision_heterogeneous,4,192,1050.0,0.020719975233078003,0.020824959185258247,0.05033594369888306,0.023401976064683524,1.1877182770663564,1.039625222323167,1.1247003743956405,1.2051756921277406,48
A,16384,vision_heterogeneous,8,192,2295.5,0.08659198880195618,0.08520371289232412,0.0031681060791015625,0.0014309900267726141,1.179547649651787,1.0509214781739236,1.1278789643073939,1.25902496562376,48
A,16384,vision_heterogeneous,16,192,4459.5,0.07244798541069031,0.09289829127773874,0.003328084945678711,0.0013205768785379286,1.1955023710729105,1.0684933018180973,1.096958007268571,1.2814931887005767,48
B,2048,long_balanced,2,144,2048.0,0.14043200016021729,0.18391905156464736,0.022399961948394775,0.011966429043370964,1.1462908735968764,1.0430071390306044,1.1858916710939713,1.1478264910024811,48
B,2048,long_balanced,4,144,2048.0,0.10875201225280762,0.14927935694958838,0.008911967277526855,0.004579819213136573,1.1464910733270686,1.0473313625789253,1.1254947159111812,1.1966550034597025,48
