B_s,B_e,seed,cost,max_rank_load,mean_rank_load,cv_mean,critical_rank_mode,critical_set_3pct_mean,critical_set_5pct_mean,critical_set_10pct_mean,window_id,layer,group_count,method
8,4,-1,27538,27538,22676.0,0.15795185978952545,2,1.0,1.0,1.0,2,12,2,fifo
8,4,-1,26438,26438,22676.0,0.12930326339077486,1,1.0,1.0,1.5,2,13,2,fifo
8,4,-1,26655,26655,22676.0,0.1393796632615697,0,1.0,1.0,2.0,2,14,2,fifo
8,4,-1,30301,30301,22676.0,0.2164083066802086,1,1.0,1.0,1.0,2,15,2,fifo
8,4,-1,28285,28285,22676.0,0.1541417865336031,2,1.0,1.0,1.0,2,16,2,fifo
8,4,-1,25383,25383,22676.0,0.09879635364879405,0,1.0,1.5,2.0,2,17,2,fifo
8,4,-1,27222,27222,22676.0,0.17742732249034382,2,1.0,1.0,1.5,2,18,2,fifo
8,4,-1,26380,26380,22676.0,0.1646548584824667,3,1.0,1.0,2.5,2,19,2,fifo
8,4,-1,27486,27486,22676.0,0.18838414472438825,1,1.0,1.0,1.0,2,20,2,fifo
8,4,-1,25558,25558,22676.0,0.09873087381767474,0,1.0,1.0,1.5,2,21,2,fifo
8,4,-1,28225,28225,22676.0,0.1556854378799564,1,1.0,1.0,1.0,2,22,2,fifo
8,4,-1,27450,27450,22676.0,0.12766571195108223,0,1.0,1.0,1.0,2,23,2,fifo
8,4,-1,25340,25340,22676.0,0.1667414034716611,0,2.0,2.5,3.0,2,24,2,fifo
8,4,-1,26479,26479,22676.0,0.12365477891566967,1,1.0,1.0,1.5,2,25,2,fifo
8,4,-1,26287,26287,22676.0,0.10293433820357153,0,2.0,2.0,2.0,2,26,2,fifo
8,4,-1,29376,29376,22676.0,0.20144594403245175,1,1.0,1.0,1.0,2,27,2,fifo
8,4,-1,29105,29105,22676.0,0.18563452612321893,2,1.0,1.0,1.0,2,28,2,fifo
8,4,-1,26312,26312,22676.0,0.12221003350368909,2,1.5,1.5,1.5,2,29,2,fifo
8,4,-1,26499,26499,22676.0,0.1447213745909815,2,1.0,1.5,1.5,2,30,2,fifo
8,4,-1,26104,26104,22676.0,0.11692400706536324,0,1.5,1.5,2.0,2,31,2,fifo
8,4,-1,25798,25798,22676.0,0.1416919781886929,1,1.5,2.0,2.0,2,32,2,fifo
8,4,-1,23839,23839,22676.0,0.050402496242591625,0,2.0,2.5,2.5,2,33,2,fifo
8,4,-1,26849,26849,22676.0,0.1124222791547346,1,1.0,1.0,1.0,2,34,2,fifo
8,4,-1,26436,26436,22676.0,0.10674750021749355,0,1.0,1.0,1.0,2,35,2,fifo
8,4,-1,26206,26206,22676.0,0.11020838866655946,3,1.0,1.0,2.0,2,36,2,fifo
8,4,-1,25187,25187,22676.0,0.11842611977426586,1,1.5,2.0,2.0,2,37,2,fifo
8,4,-1,24723,24723,22676.0,0.07776501089972014,2,1.5,2.0,2.0,2,38,2,fifo
8,4,-1,28774,28774,22676.0,0.19290158762143872,1,1.0,1.0,1.0,2,39,2,fifo
8,4,-1,23653,23653,22676.0,0.02667385661242419,1,2.0,3.0,4.0,2,40,2,fifo
8,4,-1,25103,25103,22676.0,0.08799051782724414,2,1.0,1.0,2.5,2,41,2,fifo
8,4,-1,26560,26560,22676.0,0.1262921988071529,1,1.0,1.0,1.5,2,42,2,fifo
8,4,-1,26719,26719,22676.0,0.13132707765015855,2,1.0,1.0,1.5,2,43,2,fifo
8,4,-1,24493,24493,22676.0,0.06476037360320462,0,1.5,2.5,2.5,2,44,2,fifo
8,4,-1,27048,27048,22676.0,0.1061198156950065,0,1.0,1.0,1.0,2,45,2,fifo
8,4,-1,26595,26595,22676.0,0.12503307125621513,0,1.0,1.0,2.5,2,46,2,fifo
8,4,-1,26084,26084,22676.0,0.19265100626919307,0,1.5,2.0,3.0,2,47,2,fifo
8,4,-1,3233,3233,3066.0,0.058495999716464214,3,2.0,2.0,3.0,0,0,2,oracle_l
8,4,-1,3461,3461,3066.0,0.09441903997139467,3,1.0,1.0,1.5,0,1,2,oracle_l
8,4,-1,3364,3364,3066.0,0.09034819222099764,1,1.5,2.0,3.0,0,2,2,oracle_l
8,4,-1,3618,3618,3066.0,0.11889437539680434,3,1.0,1.0,1.0,0,3,2,oracle_l
8,4,-1,3496,3496,3066.0,0.08853046003869539,0,1.0,1.0,1.5,0,4,2,oracle_l
8,4,-1,3381,3381,3066.0,0.0866524304250122,1,1.0,2.0,2.5,0,5,2,oracle_l
8,4,-1,4273,4273,3066.0,0.23549278445442456,0,1.0,1.0,1.0,0,6,2,oracle_l
8,4,-1,3590,3590,3066.0,0.19249351769281248,3,2.0,2.0,2.5,0,7,2,oracle_l
8,4,-1,3452,3452,3066.0,0.10195191756466838,2,1.0,2.0,2.5,0,8,2,oracle_l
8,4,-1,3813,3813,3066.0,0.1603561996965203,0,1.0,1.0,1.5,0,9,2,oracle_l
8,4,-1,3284,3284,3066.0,0.05549131037811757,3,1.5,1.5,3.5,0,10,2,oracle_l
8,4,-1,3530,3530,3066.0,0.10382550616048092,1,1.0,1.0,1.0,0,11,2,oracle_l
8,4,-1,3454,3454,3066.0,0.10008203023597895,3,1.0,1.5,2.0,0,12,2,oracle_l
8,4,-1,3356,3356,3066.0,0.12829540412299512,0,2.5,2.5,3.0,0,13,2,oracle_l
8,4,-1,3758,3758,3066.0,0.14167554165674165,1,1.0,1.0,1.0,0,14,2,oracle_l
8,4,-1,3610,3610,3066.0,0.15184198056490206,1,1.0,1.5,1.5,0,15,2,oracle_l
8,4,-1,3229,3229,3066.0,0.04227349823330687,1,1.5,2.0,3.5,0,16,2,oracle_l
8,4,-1,3411,3411,3066.0,0.09732640742318001,1,1.0,1.5,2.5,0,17,2,oracle_l
8,4,-1,3560,3560,3066.0,0.1086649691530693,0,1.0,1.0,1.0,0,18,2,oracle_l
8,4,-1,3486,3486,3066.0,0.12154728287182931,3,1.5,1.5,2.0,0,19,2,oracle_l
8,4,-1,3667,3667,3066.0,0.16627267882851401,0,1.0,1.0,1.5,0,20,2,oracle_l
8,4,-1,3506,3506,3066.0,0.106422271777775,0,2.0,2.0,2.0,0,21,2,oracle_l
8,4,-1,3485,3485,3066.0,0.11484225560550092,3,1.0,1.5,2.0,0,22,2,oracle_l
8,4,-1,3477,3477,3066.0,0.14380060888819768,3,2.0,2.0,2.0,0,23,2,oracle_l
8,4,-1,3489,3489,3066.0,0.07445795727695727,3,1.0,1.0,2.0,0,24,2,oracle_l
8,4,-1,4101,4101,3066.0,0.21548251865402696,3,1.0,1.0,1.0,0,25,2,oracle_l
8,4,-1,3356,3356,3066.0,0.08498767180968073,1,1.0,2.0,2.5,0,26,2,oracle_l
8,4,-1,3525,3525,3066.0,0.1467009067948522,1,2.0,2.0,2.0,0,27,2,oracle_l
8,4,-1,3185,3185,3066.0,0.04292961671227544,0,2.5,3.0,3.5,0,28,2,oracle_l
8,4,-1,3731,3731,3066.0,0.1599042470644572,2,1.0,1.0,1.0,0,29,2,oracle_l
8,4,-1,3439,3439,3066.0,0.07649266695677018,0,1.5,1.5,2.0,0,30,2,oracle_l
8,4,-1,3316,3316,3066.0,0.07962116850385478,3,2.0,2.0,2.0,0,31,2,oracle_l
8,4,-1,3758,3758,3066.0,0.14141564561294234,0,1.0,1.0,1.0,0,32,2,oracle_l
8,4,-1,3415,3415,3066.0,0.08441638130163792,0,1.5,2.0,2.0,0,33,2,oracle_l
8,4,-1,3141,3141,3066.0,0.02106504263328135,3,2.5,3.5,4.0,0,34,2,oracle_l
8,4,-1,3464,3464,3066.0,0.10863701029321965,3,1.5,1.5,2.0,0,35,2,oracle_l
8,4,-1,3596,3596,3066.0,0.12791429184190994,3,1.5,1.5,1.5,0,36,2,oracle_l
8,4,-1,3544,3544,3066.0,0.13494127049834626,0,1.0,1.0,2.5,0,37,2,oracle_l
8,4,-1,3301,3301,3066.0,0.07010773375606955,3,1.5,1.5,2.5,0,38,2,oracle_l
8,4,-1,3770,3770,3066.0,0.19105069275648068,1,1.0,1.0,1.5,0,39,2,oracle_l
8,4,-1,3225,3225,3066.0,0.04133745498421526,1,1.5,2.0,3.5,0,40,2,oracle_l
8,4,-1,3482,3482,3066.0,0.11223744800770577,2,1.0,1.5,2.0,0,41,2,oracle_l
8,4,-1,3879,3879,3066.0,0.17073553116677317,1,1.0,1.0,1.0,0,42,2,oracle_l
8,4,-1,3470,3470,3066.0,0.12451011463901802,1,1.0,1.5,2.0,0,43,2,oracle_l
8,4,-1,3291,3291,3066.0,0.048496555663803724,2,1.0,1.0,3.0,0,44,2,oracle_l
8,4,-1,3422,3422,3066.0,0.10316564329481973,0,1.0,1.5,2.0,0,45,2,oracle_l
8,4,-1,3346,3346,3066.0,0.07005750606242774,2,1.0,1.0,3.0,0,46,2,oracle_l
8,4,-1,3712,3712,3066.0,0.1625535864635158,0,1.0,1.0,1.0,0,47,2,oracle_l
8,4,-1,6624,6624,6116.0,0.0769104389274679,1,1.0,1.5,3.0,1,0,2,oracle_l
8,4,-1,7082,7082,6116.0,0.15212737485108654,1,1.5,1.5,2.0,1,1,2,oracle_l
8,4,-1,6813,6813,6116.0,0.08430091893034955,1,1.0,1.0,1.5,1,2,2,oracle_l
8,4,-1,6543,6543,6116.0,0.07571067601027703,2,1.5,2.5,3.0,1,3,2,oracle_l
8,4,-1,6572,6572,6116.0,0.06408159616897774,0,1.5,2.0,3.0,1,4,2,oracle_l
8,4,-1,6498,6498,6116.0,0.08672297629182013,0,2.5,2.5,3.0,1,5,2,oracle_l
8,4,-1,7439,7439,6116.0,0.1649513073888209,0,1.0,1.0,1.0,1,6,2,oracle_l
