experiment,start_utc,end_utc,physical_devices,resident_experiment_seconds,unadjusted_process_gpu_hours,clock_source,kind,status
online/libra_native_vl48_gqa0_lifetimefix,2026-09-08T03:23:32.487047+00:00,2026-09-08T03:24:56.597464+00:00,5,84.110417,0.02336400472222222,recorded_UTC,native_supplement_prefill,COMPLETE
online/libra_native_vl48_gqa0_lifetimefix,2026-09-08T03:23:35.218731+00:00,2026-09-08T03:24:56.597460+00:00,6,81.378729,0.0226052025,recorded_UTC,native_supplement_prefill,COMPLETE
online/libra_native_vl48_gqa0_lifetimefix,2026-09-08T03:23:33.666806+00:00,2026-09-08T03:24:56.597552+00:00,7,82.930746,0.023036318333333333,recorded_UTC,native_supplement_prefill,COMPLETE
online/libra_native_vl48_gqa_0_frozen_control_20260908,2026-09-08T05:27:07.846400+00:00,2026-09-08T05:28:47.977058+00:00,4,100.130658,0.027814071666666666,recorded_UTC,native_supplement_prefill,COMPLETE
online/libra_native_vl48_gqa_0_frozen_control_20260908,2026-09-08T05:27:08.694990+00:00,2026-09-08T05:28:47.977133+00:00,5,99.282143,0.027578373055555556,recorded_UTC,native_supplement_prefill,COMPLETE
online/libra_native_vl48_gqa_0_frozen_control_20260908,2026-09-08T05:27:09.882270+00:00,2026-09-08T05:28:47.977053+00:00,6,98.094783,0.027248550833333336,recorded_UTC,native_supplement_prefill,COMPLETE
online/libra_native_vl48_gqa_0_frozen_control_20260908,2026-09-08T05:27:10.509933+00:00,2026-09-08T05:28:47.977188+00:00,7,97.467255,0.027074237499999997,recorded_UTC,native_supplement_prefill,COMPLETE
online/libra_native_vl48_gqa_1_frozen_control_20260908,2026-09-08T05:38:48.453151+00:00,2026-09-08T05:40:30.706311+00:00,4,102.25316,0.028403655555555553,recorded_UTC,native_supplement_prefill,COMPLETE
online/libra_native_vl48_gqa_1_frozen_control_20260908,2026-09-08T05:38:45.575034+00:00,2026-09-08T05:40:30.706313+00:00,5,105.131279,0.029203133055555556,recorded_UTC,native_supplement_prefill,COMPLETE
online/libra_native_vl48_gqa_1_frozen_control_20260908,2026-09-08T05:38:48.975780+00:00,2026-09-08T05:40:30.706008+00:00,6,101.730228,0.028258396666666664,recorded_UTC,native_supplement_prefill,COMPLETE
online/libra_native_vl48_gqa_1_frozen_control_20260908,2026-09-08T05:38:47.239159+00:00,2026-09-08T05:40:30.706316+00:00,7,103.467157,0.028740876944444445,recorded_UTC,native_supplement_prefill,COMPLETE
online/libra_native_vl48_gqa_2_frozen_control_20260908,2026-09-08T05:30:58.242445+00:00,2026-09-08T05:32:37.680561+00:00,4,99.438116,0.027621698888888886,recorded_UTC,native_supplement_prefill,COMPLETE
online/libra_native_vl48_gqa_2_frozen_control_20260908,2026-09-08T05:30:58.325508+00:00,2026-09-08T05:32:37.680498+00:00,5,99.35499,0.027598608333333333,recorded_UTC,native_supplement_prefill,COMPLETE
online/libra_native_vl48_gqa_2_frozen_control_20260908,2026-09-08T05:30:56.811840+00:00,2026-09-08T05:32:37.681112+00:00,6,100.869272,0.02801924222222222,recorded_UTC,native_supplement_prefill,COMPLETE
online/libra_native_vl48_gqa_2_frozen_control_20260908,2026-09-08T05:30:59.099583+00:00,2026-09-08T05:32:37.680568+00:00,7,98.580985,0.027383606944444444,recorded_UTC,native_supplement_prefill,COMPLETE
online/libra_native_vl48_gqa_3_frozen_control_20260908,2026-09-08T05:29:08.272639+00:00,2026-09-08T05:30:37.354911+00:00,4,89.082272,0.024745075555555555,recorded_UTC,native_supplement_prefill,COMPLETE
online/libra_native_vl48_gqa_3_frozen_control_20260908,2026-09-08T05:29:11.136336+00:00,2026-09-08T05:30:37.354983+00:00,5,86.218647,0.02394962416666667,recorded_UTC,native_supplement_prefill,COMPLETE
online/libra_native_vl48_gqa_3_frozen_control_20260908,2026-09-08T05:29:11.156192+00:00,2026-09-08T05:30:37.354852+00:00,6,86.19866,0.023944072222222224,recorded_UTC,native_supplement_prefill,COMPLETE
online/libra_native_vl48_gqa_3_frozen_control_20260908,2026-09-08T05:29:06.980355+00:00,2026-09-08T05:30:37.354951+00:00,7,90.374596,0.025104054444444444,recorded_UTC,native_supplement_prefill,COMPLETE
