M,active_experts,cuda_ms,dp_rank,ep_rank,ep_size,expert_cv,expert_entropy,expert_hhi,expert_max_load,expert_max_mean,expert_p90_load,fanout_f1,fanout_f2,fanout_f3,fanout_f4,fanout_max,fanout_mean,fanout_median,fanout_p10,fanout_p90,layer,padded_work_proxy,phase,rank_cv,rank_max_mean,request_context,route_file,timestamp_ns,top_k,total_assignments,traffic_concentration,traffic_entropy,wall_ms
8.0,8.0,0.7953919768333435,0,1,4,0.0,2.079441541671836,0.125,8.0,1.0,8.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,10,64.0,prefill,1.7320508075688772,4.0,mixed_online,routes/route_00000059_dp0_l10.npz,3282486949921406,8,64.0,1.0,-1.000088900581841e-12,0.802157
8.0,8.0,0.8444479703903198,0,0,4,0.0,2.079441541671836,0.125,8.0,1.0,8.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,10,64.0,prefill,1.7320508075688772,4.0,mixed_online,routes/route_00000059_dp0_l10.npz,3282486949913645,8,64.0,1.0,-1.000088900581841e-12,0.850369
8.0,8.0,0.8338559865951538,1,3,4,0.0,2.079441541671836,0.125,8.0,1.0,8.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,11,64.0,prefill,1.7320508075688772,4.0,mixed_online,routes/route_00000060_dp1_l11.npz,3282486952771945,8,64.0,1.0,-1.000088900581841e-12,0.839703
8.0,8.0,0.7507519721984863,1,2,4,0.0,2.079441541671836,0.125,8.0,1.0,8.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,11,64.0,prefill,1.7320508075688772,4.0,mixed_online,routes/route_00000060_dp1_l11.npz,3282486952854706,8,64.0,1.0,-1.000088900581841e-12,0.756069
8.0,8.0,0.8017920255661011,0,0,4,0.0,2.079441541671836,0.125,8.0,1.0,8.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,11,64.0,prefill,1.7320508075688772,4.0,mixed_online,routes/route_00000060_dp0_l11.npz,3282486952842914,8,64.0,1.0,-1.000088900581841e-12,0.807532
8.0,8.0,0.7765439748764038,0,1,4,0.0,2.079441541671836,0.125,8.0,1.0,8.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,11,64.0,prefill,1.7320508075688772,4.0,mixed_online,routes/route_00000060_dp0_l11.npz,3282486952830133,8,64.0,1.0,-1.000088900581841e-12,0.782269
8.0,8.0,0.8023679852485657,0,0,4,0.0,2.079441541671836,0.125,8.0,1.0,8.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,12,64.0,prefill,1.7320508075688772,4.0,mixed_online,routes/route_00000061_dp0_l12.npz,3282486955690689,8,64.0,1.0,-1.000088900581841e-12,0.808308
8.0,8.0,0.7724480032920837,0,1,4,0.0,2.079441541671836,0.125,8.0,1.0,8.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,12,64.0,prefill,1.7320508075688772,4.0,mixed_online,routes/route_00000061_dp0_l12.npz,3282486955678147,8,64.0,1.0,-1.000088900581841e-12,0.778147
8.0,8.0,0.7731519937515259,1,2,4,0.0,2.079441541671836,0.125,8.0,1.0,8.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,12,64.0,prefill,1.7320508075688772,4.0,mixed_online,routes/route_00000061_dp1_l12.npz,3282486955677099,8,64.0,1.0,-1.000088900581841e-12,0.778542
8.0,8.0,0.7684159874916077,1,3,4,0.0,2.079441541671836,0.125,8.0,1.0,8.0,1.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,12,64.0,prefill,1.7320508075688772,4.0,mixed_online,routes/route_00000061_dp1_l12.npz,3282486955682272,8,64.0,1.0,-1.000088900581841e-12,0.7741
