backend,e2e_ms,iteration,output_tokens,prompt_tokens,request_id,restart,ttft_ms,workload_id
agrs,118.35646629333496,3,1,1077,dp0-r0,4,118.35646629333496,image1024_c2
agrs,118.02482604980469,3,1,1077,dp1-r0,4,118.02482604980469,image1024_c2
deepep_ht,103.09195518493652,1,1,512,dp0-r0,4,103.09195518493652,text512_c2
deepep_ht,102.813720703125,1,1,512,dp1-r0,4,102.813720703125,text512_c2
deepep_ht,99.37667846679688,2,1,512,dp0-r0,4,99.37667846679688,text512_c2
deepep_ht,99.23815727233887,2,1,512,dp1-r0,4,99.23815727233887,text512_c2
deepep_ht,100.62527656555176,3,1,512,dp0-r0,4,100.62527656555176,text512_c2
deepep_ht,100.28648376464844,3,1,512,dp1-r0,4,100.28648376464844,text512_c2
deepep_ht,106.0640811920166,1,1,2048,dp0-r0,4,106.0640811920166,text2048_c2
deepep_ht,105.72600364685059,1,1,2048,dp1-r0,4,105.72600364685059,text2048_c2
deepep_ht,105.75604438781738,2,1,2048,dp0-r0,4,105.75604438781738,text2048_c2
deepep_ht,105.37385940551758,2,1,2048,dp1-r0,4,105.37385940551758,text2048_c2
deepep_ht,118.12043190002441,3,1,2048,dp0-r0,4,118.12043190002441,text2048_c2
deepep_ht,117.8901195526123,3,1,2048,dp1-r0,4,117.8901195526123,text2048_c2
deepep_ht,184.1270923614502,1,1,8192,dp0-r0,4,184.1270923614502,text8192_c2
deepep_ht,184.16786193847656,1,1,8192,dp1-r0,4,184.16786193847656,text8192_c2
deepep_ht,183.41803550720215,2,1,8192,dp0-r0,4,183.41803550720215,text8192_c2
deepep_ht,183.3798885345459,2,1,8192,dp1-r0,4,183.3798885345459,text8192_c2
deepep_ht,183.76827239990234,3,1,8192,dp0-r0,4,183.76827239990234,text8192_c2
deepep_ht,183.6545467376709,3,1,8192,dp1-r0,4,183.6545467376709,text8192_c2
deepep_ht,144.03772354125977,1,1,216,dp0-r0,4,144.03772354125977,image448_c2
deepep_ht,143.98980140686035,1,1,216,dp1-r0,4,143.98980140686035,image448_c2
deepep_ht,109.41958427429199,2,1,216,dp0-r0,4,109.41958427429199,image448_c2
deepep_ht,109.19952392578125,2,1,216,dp1-r0,4,109.19952392578125,image448_c2
deepep_ht,110.36038398742676,3,1,216,dp0-r0,4,110.36038398742676,image448_c2
deepep_ht,110.19468307495117,3,1,216,dp1-r0,4,110.19468307495117,image448_c2
deepep_ht,149.84488487243652,1,1,1077,dp0-r0,4,149.84488487243652,image1024_c2
deepep_ht,149.1551399230957,1,1,1077,dp1-r0,4,149.1551399230957,image1024_c2
deepep_ht,130.6900978088379,2,1,1077,dp0-r0,4,130.6900978088379,image1024_c2
deepep_ht,130.39350509643555,2,1,1077,dp1-r0,4,130.39350509643555,image1024_c2
deepep_ht,133.36467742919922,3,1,1077,dp0-r0,4,133.36467742919922,image1024_c2
deepep_ht,133.15892219543457,3,1,1077,dp1-r0,4,133.15892219543457,image1024_c2
agrs,185.85443496704102,1,1,512,dp0-r0,5,185.85443496704102,text512_c2
agrs,185.10079383850098,1,1,512,dp1-r0,5,185.10079383850098,text512_c2
agrs,186.05589866638184,2,1,512,dp0-r0,5,186.05589866638184,text512_c2
agrs,185.53543090820312,2,1,512,dp1-r0,5,185.53543090820312,text512_c2
agrs,184.71169471740723,3,1,512,dp0-r0,5,184.71169471740723,text512_c2
agrs,184.13043022155762,3,1,512,dp1-r0,5,184.13043022155762,text512_c2
agrs,188.07125091552734,1,1,2048,dp0-r0,5,188.07125091552734,text2048_c2
agrs,187.6678466796875,1,1,2048,dp1-r0,5,187.6678466796875,text2048_c2
agrs,187.63971328735352,2,1,2048,dp0-r0,5,187.63971328735352,text2048_c2
agrs,187.34335899353027,2,1,2048,dp1-r0,5,187.34335899353027,text2048_c2
agrs,188.1880760192871,3,1,2048,dp0-r0,5,188.1880760192871,text2048_c2
agrs,187.87336349487305,3,1,2048,dp1-r0,5,187.87336349487305,text2048_c2
agrs,229.80952262878418,1,1,8192,dp0-r0,5,229.80952262878418,text8192_c2
agrs,229.44974899291992,1,1,8192,dp1-r0,5,229.44974899291992,text8192_c2
agrs,227.97250747680664,2,1,8192,dp0-r0,5,227.97250747680664,text8192_c2
agrs,227.7984619140625,2,1,8192,dp1-r0,5,227.7984619140625,text8192_c2
agrs,228.0728816986084,3,1,8192,dp0-r0,5,228.0728816986084,text8192_c2
agrs,228.00159454345703,3,1,8192,dp1-r0,5,228.00159454345703,text8192_c2
agrs,185.21642684936523,1,1,216,dp0-r0,5,185.21642684936523,image448_c2
agrs,184.13043022155762,1,1,216,dp1-r0,5,184.13043022155762,image448_c2
agrs,187.01839447021484,2,1,216,dp0-r0,5,187.01839447021484,image448_c2
agrs,186.10835075378418,2,1,216,dp1-r0,5,186.10835075378418,image448_c2
agrs,185.77051162719727,3,1,216,dp0-r0,5,185.77051162719727,image448_c2
agrs,184.91101264953613,3,1,216,dp1-r0,5,184.91101264953613,image448_c2
