policy,risk_kind,target_fraction,n,vision_assignment_reduction_median,vision_assignment_reduction_p10,vision_assignment_reduction_p90,max_rank_reduction_median,max_rank_reduction_p10,max_rank_reduction_p90,rank_cv_after_median,rank_cv_after_p10,rank_cv_after_p90,combined_rel_l2_median,combined_rel_l2_p10,combined_rel_l2_p90,vision_rel_l2_median,vision_rel_l2_p10,vision_rel_l2_p90,combined_cosine_median,combined_cosine_p10,combined_cosine_p90,renorm_combined_rel_l2_median,renorm_combined_rel_l2_p10,renorm_combined_rel_l2_p90,renorm_vision_rel_l2_median,renorm_vision_rel_l2_p10,renorm_vision_rel_l2_p90,swaps_median,swaps_p10,swaps_p90
ep_refined_s0.05,router,0.15,9,0.14987244897959184,0.14987244897959184,0.14987244897959184,0.21552878179384205,0.17735386370116912,0.25708158159010064,0.05160720288667576,0.029538107961814317,0.24606606689887797,0.22084151208400726,0.14704720079898834,0.26711633801460266,0.2456827312707901,0.15244016647338868,0.2971443057060242,0.9753208756446838,0.9635948061943054,0.988876223564148,0.41199198365211487,0.24320734143257142,0.4483630418777466,0.4343828856945038,0.25210016369819643,0.4848341226577759,58.0,35.8,84.2
ep_refined_s0.05,router,0.2,9,0.2002551020408163,0.2002551020408163,0.2002551020408163,0.2571428571428571,0.23012837558030552,0.2990389950809348,0.04686856956643967,0.02252957184721506,0.2153436888642998,0.2491839975118637,0.1866801381111145,0.3139470100402832,0.28950026631355286,0.19368143379688263,0.32899857163429264,0.9684739112854004,0.9493772864341736,0.9822773933410645,0.5099761486053467,0.3092412233352661,0.5717904090881347,0.5315340757369995,0.3204548954963684,0.630362582206726,62.0,52.6,94.0
ep_refined_s0.05,router,0.3,9,0.2997448979591837,0.2997448979591837,0.2997448979591837,0.35609103078982596,0.3125851659728428,0.377819006390435,0.032939227005288056,0.0015408320493066256,0.18411767612940758,0.3077222406864166,0.2531167834997177,0.3897177577018738,0.357509583234787,0.2623092204332352,0.4065339028835297,0.9515195488929749,0.9208520174026489,0.9673730373382569,0.6344287991523743,0.4941694736480713,0.7015060544013977,0.6612476110458374,0.5092972159385681,0.7405093789100647,89.0,48.6,99.0
ep_refined_s0.05,router,0.4,9,0.39987244897959184,0.39987244897959184,0.39987244897959184,0.44126984126984126,0.39577079836969553,0.4623179179928852,0.03254591521056467,0.0015180112248631703,0.18135783852432874,0.3618968427181244,0.3067805230617523,0.4593900144100189,0.42044925689697266,0.31823345422744753,0.47920677661895755,0.9322789311408997,0.8882261514663696,0.9517766118049622,0.6875424981117249,0.6102946996688843,0.8489500641822815,0.773583710193634,0.629089081287384,0.8857957482337951,77.0,36.2,101.8
semantic_coarse,contribution,0.05,9,0.049107142857142856,0.049107142857142856,0.04923469387755102,0.04123711340206182,0.03118346854610594,0.04636668122906651,0.13187728223527273,0.08183536917934152,0.291317802687172,0.12317238748073578,0.012688345648348332,0.14160812497138978,0.1271989941596985,0.013159376103430986,0.15922291576862335,0.9923855662345886,0.9898852944374085,0.9999132037162781,0.38650721311569214,0.04999305289238692,0.6255579948425294,0.43019458651542664,0.05186253618448973,0.7094654798507691,0.0,0.0,0.0
semantic_coarse,contribution,0.1,9,0.10012755102040816,0.09948979591836735,0.10012755102040816,0.08247422680412375,0.06468696139025809,0.09492305030530908,0.1319926666454416,0.0853874777429019,0.3000461443755076,0.1863802820444107,0.09736020043492317,0.20901885032653808,0.19969621300697327,0.10096938833594322,0.22265141308307648,0.9824870228767395,0.9778766393661499,0.9949177145957947,0.5272683501243591,0.2649345934391022,0.829595184326172,0.5903028249740601,0.2747535139322281,0.9417115688323976,0.0,0.0,0.0
semantic_coarse,contribution,0.15,9,0.14923469387755103,0.14923469387755103,0.14987244897959184,0.12449799196787148,0.1068221156133244,0.13170432724945202,0.13677277532419974,0.09200922738852835,0.30343967621786566,0.2286788374185562,0.14583144336938858,0.2651479244232178,0.2522343695163727,0.15116749256849288,0.276581734418869,0.9735172986984253,0.9642093420028687,0.9891389369964599,0.6104848384857178,0.4133201062679291,0.8762375831604005,0.6994290947914124,0.4287465989589691,0.9950310945510865,0.0,0.0,0.0
semantic_coarse,contribution,0.2,9,0.2002551020408163,0.1996173469387755,0.2002551020408163,0.16907216494845356,0.1498084333249168,0.1800174564074713,0.1361640215242889,0.09423819044734841,0.31086285474950065,0.25882190465927124,0.18674532771110536,0.309169602394104,0.2967880964279175,0.19356569945812224,0.3225027799606323,0.9659501910209656,0.9510125160217285,0.9822051763534546,0.711566686630249,0.5067365825176239,0.934153437614441,0.7483698725700378,0.5256533086299896,1.0611242771148683,0.0,0.0,0.0
semantic_coarse,contribution,0.3,9,0.2997448979591837,0.29910714285714285,0.2997448979591837,0.2556701030927835,0.23632196862966098,0.2772231091167968,0.12859256630943805,0.09977731146925553,0.3143665300247064,0.3235434591770172,0.2525685429573059,0.39005640149116516,0.3739236295223236,0.26203360557556155,0.4068735182285309,0.9462538957595825,0.9208624124526977,0.9674075841903687,0.8690222501754761,0.671399199962616,1.0956622838974,0.9057579040527344,0.6957369208335876,1.2448766469955446,0.0,0.0,0.0
semantic_coarse,contribution,0.4,9,0.39987244897959184,0.399234693877551,0.39987244897959184,0.33732534930139724,0.3273297642528412,0.36512059369202227,0.1318612293105504,0.10657560921190977,0.3179675773814048,0.3778533637523651,0.3057189047336578,0.46236867904663087,0.4335011839866638,0.31715954542160035,0.48230727910995486,0.9260227084159851,0.8867741823196411,0.951990258693695,1.0125176906585693,0.8474923372268677,1.20253701210022,1.0456175804138184,0.879131305217743,1.366589117050171,0.0,0.0,0.0
