sample_id,category,edge,layer,policy,risk_kind,target_fraction,vision_tokens,dropped,vision_assignment_reduction,risk_value,swaps,max_rank_before,max_rank_after,max_rank_reduction,rank_cv_after,k1,k2,k3,k4,k5,k6,k7,k8,combined_rel_l2,vision_rel_l2,combined_cosine,renorm_combined_rel_l2,renorm_vision_rel_l2,ep_advantage_over_semantic
cell_e448,fine_grained,448,44,ep_refined_s0.05,router,0.1,196,157,0.10012755102040816,14.565211046487093,30,473,403,0.14799154334038056,0.0010751401660886884,0,4,3,7,13,17,17,135,0.2173309475183487,0.2493380457162857,0.9761344790458679,0.45103245973587036,0.5174576044082642,1.5909090909090902
cell_e448,fine_grained,448,44,semantic_full,router,0.15,196,235,0.14987244897959184,22.80687816813588,0,473,404,0.14587737843551796,0.03192350764055357,0,4,6,14,22,23,13,114,0.25793543457984924,0.29592251777648926,0.9662129878997803,0.5048365592956543,0.5791856050491333,
cell_e448,fine_grained,448,44,semantic_coarse,router,0.15,196,234,0.14923469387755103,22.871980343014002,0,473,409,0.13530655391120505,0.03999442412041191,0,6,0,30,0,39,0,121,0.26914435625076294,0.3087821900844574,0.9631590843200684,0.5479889512062073,0.6286932229995728,
cell_e448,fine_grained,448,44,ep_refined_s0.02,router,0.15,196,235,0.14987244897959184,22.88190471753478,23,473,384,0.18816067653276958,0.0011298439710168801,0,4,6,11,25,22,18,110,0.25623857975006104,0.29397574067115784,0.9666635990142822,0.5034158229827881,0.5775556564331055,1.2898550724637683
cell_e448,fine_grained,448,44,ep_refined_s0.05,router,0.15,196,235,0.14987244897959184,22.88190471753478,23,473,384,0.18816067653276958,0.0011298439710168801,0,4,6,11,25,22,18,110,0.25623857975006104,0.29397574067115784,0.9666635990142822,0.5034158229827881,0.5775556564331055,1.2898550724637683
cell_e448,fine_grained,448,44,semantic_full,router,0.2,196,314,0.2002551020408163,31.612551283091307,0,473,388,0.17970401691331928,0.04160793249588494,0,6,10,18,25,31,19,87,0.28472837805747986,0.3266613483428955,0.9586732387542725,0.5684244632720947,0.652138352394104,
cell_e448,fine_grained,448,44,semantic_coarse,router,0.2,196,314,0.2002551020408163,31.793034348636866,0,473,390,0.17547568710359407,0.042373925174001,0,8,0,42,0,49,0,97,0.3006020188331604,0.34487274289131165,0.9538269639015198,0.5897091031074524,0.6765576601028442,
cell_e448,fine_grained,448,44,ep_refined_s0.02,router,0.2,196,314,0.2002551020408163,31.669781390577555,31,473,364,0.2304439746300211,0.001375515818431912,0,5,8,19,25,35,23,81,0.2796689569950104,0.3208567798137665,0.9601603746414185,0.546129584312439,0.6265600323677063,1.28235294117647
cell_e448,fine_grained,448,44,ep_refined_s0.05,router,0.2,196,314,0.2002551020408163,31.669781390577555,31,473,364,0.2304439746300211,0.001375515818431912,0,5,8,19,25,35,23,81,0.2796689569950104,0.3208567798137665,0.9601603746414185,0.546129584312439,0.6265600323677063,1.28235294117647
cell_e448,fine_grained,448,44,semantic_full,router,0.3,196,470,0.2997448979591837,49.51167741045356,0,473,340,0.281183932346723,0.049041080008750536,0,8,17,31,38,34,31,37,0.3311678171157837,0.37994006276130676,0.9436740279197693,0.6408509016036987,0.7352312207221985,
cell_e448,fine_grained,448,44,semantic_coarse,router,0.3,196,470,0.2997448979591837,49.715865675359964,0,473,348,0.2642706131078224,0.04701431834327383,0,12,0,65,0,69,0,50,0.3459928333759308,0.3969484269618988,0.9383533596992493,0.6853081583976746,0.7862359285354614,
cell_e448,fine_grained,448,44,ep_refined_s0.02,router,0.3,196,470,0.2997448979591837,49.55251284316182,31,473,325,0.3128964059196617,0.0015408320493066256,0,8,16,31,34,42,32,33,0.33202752470970154,0.3809264004230499,0.9433721303939819,0.6419676542282104,0.7365124821662903,1.1127819548872182
cell_e448,fine_grained,448,44,ep_refined_s0.05,router,0.3,196,470,0.2997448979591837,49.55251284316182,31,473,325,0.3128964059196617,0.0015408320493066256,0,8,16,31,34,42,32,33,0.33202752470970154,0.3809264004230499,0.9433721303939819,0.6419676542282104,0.7365124821662903,1.1127819548872182
cell_e448,fine_grained,448,44,semantic_full,router,0.4,196,627,0.39987244897959184,68.00119699165225,0,473,302,0.36152219873150104,0.05450061984589571,2,6,29,50,49,34,17,9,0.375537246465683,0.43084394931793213,0.9269528985023499,0.7843591570854187,0.8998745083808899,
cell_e448,fine_grained,448,44,semantic_coarse,router,0.4,196,626,0.399234693877551,68.10272465273738,0,473,301,0.36363636363636365,0.03382348146379679,2,13,0,97,0,73,0,11,0.3815874755382538,0.43778520822525024,0.9244920015335083,0.8124220371246338,0.9320703148841858,
cell_e448,fine_grained,448,44,ep_refined_s0.02,router,0.4,196,627,0.39987244897959184,68.03124693408608,33,473,286,0.39534883720930236,0.0015180112248631703,0,8,26,51,49,41,16,5,0.37253162264823914,0.42739567160606384,0.9281577467918396,0.6875424981117249,0.7887992858886719,1.0935672514619885
cell_e448,fine_grained,448,44,ep_refined_s0.05,router,0.4,196,627,0.39987244897959184,68.03124693408608,33,473,286,0.39534883720930236,0.0015180112248631703,0,8,26,51,49,41,16,5,0.37253162264823914,0.42739567160606384,0.9281577467918396,0.6875424981117249,0.7887992858886719,1.0935672514619885
cell_e448,fine_grained,448,44,semantic_full,contribution,0.05,196,78,0.04974489795918367,9.554396474438478,0,473,456,0.03594080338266381,0.04584939793564619,0,2,3,4,2,7,15,163,0.12998013198375702,0.14912277460098267,0.9915221929550171,0.35322532057762146,0.4052460789680481,
cell_e448,fine_grained,448,44,semantic_coarse,contribution,0.05,196,77,0.049107142857142856,9.465131667541996,0,473,454,0.04016913319238902,0.04281996630959208,1,5,0,3,0,14,0,173,0.1369161605834961,0.15708027780056,0.9905921220779419,0.5239142179489136,0.6010729074478149,
cell_e448,fine_grained,448,44,ep_refined_s0.02,contribution,0.05,196,78,0.04974489795918367,9.716140754761335,8,473,448,0.052854122621564525,0.035006389249110155,0,2,2,4,2,9,16,161,0.12170618772506714,0.1396302878856659,0.9925698041915894,0.34160736203193665,0.39191707968711853,1.4705882352941204
cell_e448,fine_grained,448,44,ep_refined_s0.05,contribution,0.05,196,78,0.04974489795918367,9.990992516044171,12,473,444,0.06131078224101483,0.029680322376294564,0,2,3,4,1,7,18,161,0.12432895600795746,0.14263932406902313,0.9922447800636292,0.3489488363265991,0.4003397524356842,1.705882352941179
cell_e448,fine_grained,448,44,semantic_full,contribution,0.1,196,157,0.10012755102040816,24.468867170345057,0,473,428,0.09513742071881603,0.03725946293844548,1,4,7,3,9,11,30,131,0.1812090128660202,0.20789629220962524,0.9834653735160828,0.5341867208480835,0.6128582954406738,
cell_e448,fine_grained,448,44,semantic_coarse,contribution,0.1,196,156,0.09948979591836735,24.567273092023385,0,473,426,0.09936575052854124,0.03522349768381734,4,4,0,15,0,22,0,151,0.19023698568344116,0.21825385093688965,0.9817703366279602,0.7211937308311462,0.8274064660072327,
cell_e448,fine_grained,448,44,ep_refined_s0.02,contribution,0.1,196,157,0.10012755102040816,24.895287575196544,15,473,413,0.12684989429175475,0.017850780688452396,1,4,6,4,9,11,31,130,0.1808156967163086,0.20744507014751434,0.9835394620895386,0.5286343097686768,0.6064881682395935,1.3333333333333337
cell_e448,fine_grained,448,44,ep_refined_s0.05,contribution,0.1,196,157,0.10012755102040816,25.68972108668817,29,473,404,0.14587737843551796,0.002058736679301924,0,4,6,5,9,12,32,128,0.17570045590400696,0.20157648622989655,0.9844570159912109,0.45119190216064453,0.5176405310630798,1.5333333333333337
