policy,risk_kind,target_fraction,n,vision_assignment_reduction_median,vision_assignment_reduction_p10,vision_assignment_reduction_p90,max_rank_reduction_median,max_rank_reduction_p10,max_rank_reduction_p90,rank_cv_after_median,rank_cv_after_p10,rank_cv_after_p90,combined_rel_l2_median,combined_rel_l2_p10,combined_rel_l2_p90,vision_rel_l2_median,vision_rel_l2_p10,vision_rel_l2_p90,combined_cosine_median,combined_cosine_p10,combined_cosine_p90,renorm_combined_rel_l2_median,renorm_combined_rel_l2_p10,renorm_combined_rel_l2_p90,renorm_vision_rel_l2_median,renorm_vision_rel_l2_p10,renorm_vision_rel_l2_p90,swaps_median,swaps_p10,swaps_p90
semantic_full,contribution,0.1,54,0.10005668934240362,0.1,0.10012755102040816,0.08340467273051544,0.0631163708086785,0.09946465339739188,0.16238285322128454,0.08096074317293152,0.2560779489456878,0.14122449606657028,0.09992704465985298,0.21177604645490647,0.1591041460633278,0.1103463463485241,0.2248383030295372,0.9899858832359314,0.9773201107978821,0.9950851500034332,0.3676177114248276,0.1642725482583046,0.602570426464081,0.38815364241600037,0.1750071495771408,0.6661867082118991,0.0,0.0,0.0
semantic_full,contribution,0.15,54,0.14994331065759636,0.14987244897959184,0.15,0.1258428023177064,0.09552883132901635,0.14768791359092462,0.16536339319752658,0.08149013144452459,0.25775687850926865,0.1836819425225258,0.13695402145385743,0.2653322368860245,0.20713355392217636,0.1508513554930687,0.2810903310775757,0.9832774996757507,0.9641916632652283,0.99088534116745,0.5011085569858551,0.2328754186630249,0.7085922420024872,0.5397229194641113,0.2863916724920273,0.8120110988616943,0.0,0.0,0.0
semantic_full,contribution,0.2,54,0.20011337868480725,0.2,0.2002551020408163,0.16746222856777548,0.1336613144137416,0.19930907143651946,0.16095902824257718,0.07510913064530683,0.25642924329464695,0.22608394920825958,0.1812450557947159,0.31143076419830323,0.2613064795732498,0.18922581523656845,0.3323741972446442,0.9745746552944183,0.9503324270248413,0.9834593594074249,0.6268934309482574,0.3152868956327438,0.8354874670505525,0.6686203181743622,0.3416174709796906,0.9232232749462128,0.0,0.0,0.0
semantic_full,contribution,0.3,54,0.2998866213151927,0.2997448979591837,0.3,0.2540564849793128,0.2111491281427413,0.2847427186491599,0.16139334590062376,0.09417709115267676,0.27205789598520347,0.31239376962184906,0.24135966300964357,0.38982624411582945,0.34978392720222473,0.2558747947216034,0.4177089273929596,0.9519616067409515,0.9209425806999206,0.9704686343669892,0.8142838180065155,0.43843802809715277,1.0475902915000916,0.8443253636360168,0.4834090620279312,1.1474617242813112,0.0,0.0,0.0
semantic_full,router,0.02,54,0.02,0.019770408163265307,0.020124716553287982,0.014913075909741669,0.009655637382014314,0.02291291032221886,0.15728460208464945,0.0764551082279891,0.24940913948212792,0.06445404142141342,0.026424945890903478,0.09348917379975319,0.06987975537776947,0.02875366806983948,0.10202430337667466,0.9979205429553986,0.995621383190155,0.9996449530124665,0.11290531978011131,0.0411408230662346,0.1921643063426018,0.11992044001817703,0.051236382871866236,0.21351839751005175,0.0,0.0,0.0
semantic_full,router,0.05,54,0.049886621315192746,0.04974489795918367,0.05,0.041141059064278285,0.026119774386197735,0.05309872522277961,0.1587365572868255,0.07521219057112394,0.2548932370768732,0.11115804314613342,0.07420972138643266,0.15381343960762026,0.12204314395785332,0.08065560907125473,0.1634010672569275,0.9940022826194763,0.9881031095981598,0.9972413361072541,0.19430261850357056,0.08326706290245056,0.27711418867111204,0.19852666556835175,0.10339846014976502,0.3100759208202362,0.0,0.0,0.0
semantic_full,router,0.1,54,0.10005668934240362,0.1,0.10012755102040816,0.08116430099998678,0.062474205741138024,0.09885173128144419,0.16495237875898242,0.08450969518518454,0.258339104571448,0.16544336825609207,0.11906146407127381,0.22168287187814714,0.1819218099117279,0.12725180089473725,0.237228062748909,0.9869891405105591,0.9751501441001892,0.9930405795574189,0.2902849167585373,0.1325957253575325,0.3912602543830872,0.30942191183567047,0.16545217484235764,0.42392742037773135,0.0,0.0,0.0
semantic_full,router,0.15,54,0.14994331065759636,0.14987244897959184,0.15,0.12228128288178136,0.09334843825861791,0.15143417326265338,0.1639245267797756,0.08851322457108093,0.26237122453734774,0.20447584986686707,0.15669810473918916,0.27632166147232057,0.2245512530207634,0.16298712641000748,0.29539212882518767,0.9796586632728577,0.9610900580883026,0.9878901660442352,0.37933310866355896,0.17950031161308289,0.4571476876735687,0.400574266910553,0.207067047059536,0.49804452061653137,0.0,0.0,0.0
semantic_full,router,0.2,54,0.20011337868480725,0.2,0.2002551020408163,0.1619449389011835,0.12856488937865557,0.2001490342190411,0.15872709794014273,0.09211091329211608,0.26415428391627993,0.24083597213029861,0.18970468491315842,0.3242028266191483,0.26339511573314667,0.1973049372434616,0.3380846410989761,0.9712413251399994,0.9460466802120209,0.9824333131313324,0.45012134313583374,0.2019968867301941,0.5278486847877503,0.4728037416934967,0.2376124367117882,0.5603942215442658,0.0,0.0,0.0
semantic_full,router,0.3,54,0.2998866213151927,0.2997448979591837,0.3,0.2510096930533118,0.1978925353925354,0.29168784251293517,0.1649549857655066,0.08955508077301672,0.29438714273642475,0.30087924003601074,0.24381432682275772,0.399817031621933,0.3384202718734741,0.2591208010911942,0.4246624380350113,0.9561505317687988,0.9167003154754638,0.9704758167266846,0.5814962089061737,0.2504850268363953,0.6565661430358887,0.6243363320827484,0.2962660908699036,0.7113646745681763,0.0,0.0,0.0
