rank,case,repeat,policy,prefill_ms,token_ids,relative_logit_l2,logit_max_abs,logit_cosine,logit_kl_vanilla_to_policy,greedy_first_equal,scope,concurrent_other_workload,hidden_diagnostic,fixed_current_routes_diagnostic,oracle_kind,oracle_prediction_calls,dataset_request,hf_reference_greedy_equal,hf_reference_cosine,hf_reference_max_abs,hf_reference_relative_l2,hf_reference_kl_to_policy,oracle_realized_topk_recall_mean,oracle_realized_topk_recall_min,group,M_per_source,profiled_diagnostic
3,0,9,libra_oracle,188.91480518504977,[33],0.06494588404893875,1.84375,0.9978898763656616,4.410223846207373e-05,True,VL_POST_VISION_PREFILL_BRIDGE_NOT_FULL_E2E,False,False,False,VANILLA_TRACE_LOOKAHEAD_KEEP_PREDICTOR_COMPUTE,47,chartqa_heldout_1023,True,0.9987016320228577,0.8125,0.05094296857714653,6.892167220939882e-06,0.9092574082314968,0.7967742085456848,chartqa_0,465,
3,0,9,libra_frozen,193.61313711851835,[33],0.014752820134162903,0.21875,0.999891459941864,7.166597981722589e-08,True,VL_POST_VISION_PREFILL_BRIDGE_NOT_FULL_E2E,False,False,True,VANILLA_TRACE_LOOKAHEAD_KEEP_PREDICTOR_COMPUTE,0,chartqa_heldout_1023,True,0.9970039129257202,1.84375,0.07748563587665558,1.4761723832634743e-05,,,chartqa_0,465,
3,0,9,vanilla,87.35588425770402,[33],0.0,0.0,0.9999999403953552,0.0,True,VL_POST_VISION_PREFILL_BRIDGE_NOT_FULL_E2E,False,False,False,VANILLA_TRACE_LOOKAHEAD_KEEP_PREDICTOR_COMPUTE,0,chartqa_heldout_1023,True,0.9969507455825806,1.78125,0.07822652906179428,1.4420343177334871e-05,,,chartqa_0,465,
3,0,9,libra,184.8008632659912,[33],0.14826099574565887,1.578125,0.988952100276947,2.2884411009727046e-05,True,VL_POST_VISION_PREFILL_BRIDGE_NOT_FULL_E2E,False,False,False,VANILLA_TRACE_LOOKAHEAD_KEEP_PREDICTOR_COMPUTE,0,chartqa_heldout_1023,True,0.9904251098632812,1.8125,0.1381007879972458,5.0756257223838475e-06,,,chartqa_0,465,
1,0,0,libra_frozen,217.0003722421825,[38849],0.011229068040847778,0.25,0.9999417066574097,1.7666998246568255e-06,True,VL_POST_VISION_PREFILL_BRIDGE_NOT_FULL_E2E,False,False,True,VANILLA_TRACE_LOOKAHEAD_KEEP_PREDICTOR_COMPUTE,0,chartqa_heldout_1279,True,0.9989284873008728,0.953125,0.046967703849077225,3.646780669441796e-06,,,chartqa_0,465,
1,0,0,libra_oracle,186.14429980516434,[38849],0.06673694401979446,1.125,0.99835205078125,1.050482751452364e-05,True,VL_POST_VISION_PREFILL_BRIDGE_NOT_FULL_E2E,False,False,False,VANILLA_TRACE_LOOKAHEAD_KEEP_PREDICTOR_COMPUTE,47,chartqa_heldout_1279,True,0.9986146688461304,1.078125,0.059446219354867935,1.6855934518389404e-05,0.8956037374834219,0.7594085931777954,chartqa_0,465,
1,0,0,libra_frozen_oracle,188.73761920258403,[38849],0.010169836692512035,0.25,0.9999484419822693,1.0804455996549223e-06,True,VL_POST_VISION_PREFILL_BRIDGE_NOT_FULL_E2E,False,False,True,VANILLA_TRACE_LOOKAHEAD_KEEP_PREDICTOR_COMPUTE,47,chartqa_heldout_1279,True,0.9988827705383301,1.0625,0.04748080298304558,5.915864676353522e-06,1.0,1.0,chartqa_0,465,
1,0,0,libra,195.6186550669372,[38849],0.06228041276335716,1.068359375,0.9984954595565796,5.282298843667377e-06,True,VL_POST_VISION_PREFILL_BRIDGE_NOT_FULL_E2E,False,False,False,VANILLA_TRACE_LOOKAHEAD_KEEP_PREDICTOR_COMPUTE,0,chartqa_heldout_1279,True,0.9984997510910034,1.39306640625,0.05954734608530998,1.0859812391572632e-05,,,chartqa_0,465,
1,0,0,vanilla,88.05921906605363,[38849],0.0,0.0,1.0,0.0,True,VL_POST_VISION_PREFILL_BRIDGE_NOT_FULL_E2E,False,False,False,VANILLA_TRACE_LOOKAHEAD_KEEP_PREDICTOR_COMPUTE,0,chartqa_heldout_1279,True,0.9988851547241211,1.0,0.047455865889787674,7.858328899601474e-06,,,chartqa_0,465,
1,0,1,vanilla,87.56182296201587,[38849],0.0,0.0,1.0,0.0,True,VL_POST_VISION_PREFILL_BRIDGE_NOT_FULL_E2E,False,False,False,VANILLA_TRACE_LOOKAHEAD_KEEP_PREDICTOR_COMPUTE,0,chartqa_heldout_1279,True,0.9988851547241211,1.0,0.047455865889787674,7.858328899601474e-06,,,chartqa_0,465,
1,0,1,libra_oracle,186.8483629077673,[38849],0.06673694401979446,1.125,0.99835205078125,1.050482751452364e-05,True,VL_POST_VISION_PREFILL_BRIDGE_NOT_FULL_E2E,False,False,False,VANILLA_TRACE_LOOKAHEAD_KEEP_PREDICTOR_COMPUTE,47,chartqa_heldout_1279,True,0.9986146688461304,1.078125,0.059446219354867935,1.6855934518389404e-05,0.8956037374834219,0.7594085931777954,chartqa_0,465,
1,0,1,libra,184.88664366304874,[38849],0.06228041276335716,1.068359375,0.9984954595565796,5.282298843667377e-06,True,VL_POST_VISION_PREFILL_BRIDGE_NOT_FULL_E2E,False,False,False,VANILLA_TRACE_LOOKAHEAD_KEEP_PREDICTOR_COMPUTE,0,chartqa_heldout_1279,True,0.9984997510910034,1.39306640625,0.05954734608530998,1.0859812391572632e-05,,,chartqa_0,465,
1,0,1,libra_frozen_oracle,186.7721788585186,[38849],0.010169836692512035,0.25,0.9999484419822693,1.0804455996549223e-06,True,VL_POST_VISION_PREFILL_BRIDGE_NOT_FULL_E2E,False,False,True,VANILLA_TRACE_LOOKAHEAD_KEEP_PREDICTOR_COMPUTE,47,chartqa_heldout_1279,True,0.9988827705383301,1.0625,0.04748080298304558,5.915864676353522e-06,1.0,1.0,chartqa_0,465,
1,0,1,libra_frozen,188.91935609281063,[38849],0.011229068040847778,0.25,0.9999417066574097,1.7666998246568255e-06,True,VL_POST_VISION_PREFILL_BRIDGE_NOT_FULL_E2E,False,False,True,VANILLA_TRACE_LOOKAHEAD_KEEP_PREDICTOR_COMPUTE,0,chartqa_heldout_1279,True,0.9989284873008728,0.953125,0.046967703849077225,3.646780669441796e-06,,,chartqa_0,465,
1,0,2,vanilla,86.89657272771001,[38849],0.0,0.0,1.0,0.0,True,VL_POST_VISION_PREFILL_BRIDGE_NOT_FULL_E2E,False,False,False,VANILLA_TRACE_LOOKAHEAD_KEEP_PREDICTOR_COMPUTE,0,chartqa_heldout_1279,True,0.9988851547241211,1.0,0.047455865889787674,7.858328899601474e-06,,,chartqa_0,465,
