task,trajectory_complete,request_id,call_index,sequence_id,block_start,iteration,phase,masked_before,transfer_count,selected_cutoff,best_unselected,cutoff_gap,delta,alternatives,swappable_selected,future_step_available,future_positions_traced,base_rank_load,best_rank_load,base_max_rank,best_max_rank,max_rank_reduction_pct,best_swap,one_swap_only,frozen_baseline_route_not_rollout
gsm8k,1,measured_0,129,2,64,0,early,32,1,0.8513421416282654,0.8424249887466431,0.0089171528816223,0.01,1,1,1,32,"[268, 293, 367, 312]","[268, 294, 365, 313]",367,365,0.5449591280653951,"[1, 2]",1,1
gsm8k,1,measured_0,129,2,64,0,early,32,1,0.8513421416282654,0.8424249887466431,0.0089171528816223,0.02,2,1,1,32,"[268, 293, 367, 312]","[268, 294, 365, 313]",367,365,0.5449591280653951,"[1, 2]",1,1
gsm8k,1,measured_0,129,2,64,0,early,32,1,0.8513421416282654,0.8424249887466431,0.0089171528816223,0.05,3,1,1,32,"[268, 293, 367, 312]","[273, 294, 363, 310]",367,363,1.0899182561307903,"[1, 3]",1,1
gsm8k,1,measured_0,129,2,64,0,early,32,1,0.8513421416282654,0.8424249887466431,0.0089171528816223,0.1,5,1,1,32,"[268, 293, 367, 312]","[273, 294, 363, 310]",367,363,1.0899182561307903,"[1, 3]",1,1
gsm8k,1,measured_0,129,3,64,2,middle,17,1,0.7577307820320129,0.7421521544456482,0.0155786275863647,0.001,0,1,1,17,"[125, 150, 226, 139]","[125, 150, 226, 139]",226,226,0.0,,1,1
gsm8k,1,measured_0,129,3,64,2,middle,17,1,0.7577307820320129,0.7421521544456482,0.0155786275863647,0.002,0,1,1,17,"[125, 150, 226, 139]","[125, 150, 226, 139]",226,226,0.0,,1,1
gsm8k,1,measured_0,129,3,64,2,middle,17,1,0.7577307820320129,0.7421521544456482,0.0155786275863647,0.005,0,1,1,17,"[125, 150, 226, 139]","[125, 150, 226, 139]",226,226,0.0,,1,1
gsm8k,1,measured_0,129,3,64,2,middle,17,1,0.7577307820320129,0.7421521544456482,0.0155786275863647,0.01,0,1,1,17,"[125, 150, 226, 139]","[125, 150, 226, 139]",226,226,0.0,,1,1
gsm8k,1,measured_0,129,3,64,2,middle,17,1,0.7577307820320129,0.7421521544456482,0.0155786275863647,0.02,1,1,1,17,"[125, 150, 226, 139]","[132, 150, 223, 135]",226,223,1.327433628318584,"[18, 20]",1,1
gsm8k,1,measured_0,129,3,64,2,middle,17,1,0.7577307820320129,0.7421521544456482,0.0155786275863647,0.05,3,1,1,17,"[125, 150, 226, 139]","[134, 150, 220, 136]",226,220,2.6548672566371683,"[18, 21]",1,1
gsm8k,1,measured_0,129,3,64,2,middle,17,1,0.7577307820320129,0.7421521544456482,0.0155786275863647,0.1,4,1,1,17,"[125, 150, 226, 139]","[129, 155, 219, 137]",226,219,3.0973451327433628,"[18, 16]",1,1
gsm8k,1,measured_0,129,4,64,2,middle,17,5,0.9668831825256348,0.7714310884475708,0.1954520940780639,0.001,0,1,1,17,"[74, 121, 189, 96]","[74, 121, 189, 96]",189,189,0.0,,1,1
