request_id,iteration,wave,layer,segment,stage,duration_ms
coffee,0,1,17,prefix,decoder_layer,2.3039040565490723
coffee,0,1,17,prefix,dispatch,0.4395520091056824
coffee,0,1,17,prefix,expert,0.411871999502182
coffee,0,1,17,prefix,moe_total,1.4852479696273804
coffee,0,1,17,tail,attention,0.6739519834518433
coffee,0,1,17,tail,combine,0.1316159963607788
coffee,0,1,17,tail,decoder_layer,2.222752094268799
coffee,0,1,17,tail,dispatch,0.38655999302864075
coffee,0,1,17,tail,expert,0.4784959852695465
coffee,0,1,17,tail,moe_total,1.4657599925994873
coffee,0,1,18,prefix,attention,0.6706240177154541
coffee,0,1,18,prefix,combine,0.3866559863090515
coffee,0,1,18,prefix,decoder_layer,2.515199899673462
coffee,0,1,18,prefix,dispatch,0.38860800862312317
coffee,0,1,18,prefix,expert,0.7013760209083557
coffee,0,1,18,prefix,moe_total,1.7429120540618896
coffee,0,1,18,tail,attention,0.7713599801063538
coffee,0,1,18,tail,combine,0.12876799702644348
coffee,0,1,18,tail,decoder_layer,2.2814080715179443
coffee,0,1,18,tail,dispatch,0.4804159998893738
coffee,0,1,18,tail,expert,0.4219839870929718
coffee,0,1,18,tail,moe_total,1.4746240377426147
coffee,0,1,19,prefix,attention,0.789247989654541
coffee,0,1,19,prefix,combine,0.10572800040245056
coffee,0,1,19,prefix,decoder_layer,2.412287950515747
coffee,0,1,19,prefix,dispatch,0.7031040191650391
coffee,0,1,19,prefix,expert,0.41859200596809387
coffee,0,1,19,prefix,moe_total,1.5919040441513062
coffee,0,1,19,tail,attention,0.7148159742355347
coffee,0,1,19,tail,combine,0.17548799514770508
coffee,0,1,19,tail,decoder_layer,2.383455991744995
coffee,0,1,19,tail,dispatch,0.4683839976787567
coffee,0,1,19,tail,expert,0.4914880096912384
coffee,0,1,19,tail,moe_total,1.610975980758667
coffee,0,1,20,prefix,attention,0.6684799790382385
coffee,0,1,20,prefix,combine,0.1034879982471466
coffee,0,1,20,prefix,decoder_layer,2.2478721141815186
coffee,0,1,20,prefix,dispatch,0.413536012172699
coffee,0,1,20,prefix,expert,0.41225600242614746
coffee,0,1,20,prefix,moe_total,1.4674559831619263
coffee,0,1,20,tail,attention,0.6961920261383057
coffee,0,1,20,tail,combine,0.14243200421333313
coffee,0,1,20,tail,decoder_layer,2.2280960083007812
coffee,0,1,20,tail,dispatch,0.3965120017528534
coffee,0,1,20,tail,expert,0.42876800894737244
coffee,0,1,20,tail,moe_total,1.470304012298584
coffee,0,1,21,prefix,attention,0.6611199975013733
coffee,0,1,21,prefix,combine,0.12147200107574463
coffee,0,1,21,prefix,decoder_layer,2.2156479358673096
coffee,0,1,21,prefix,dispatch,0.38812801241874695
coffee,0,1,21,prefix,expert,0.44601601362228394
coffee,0,1,21,prefix,moe_total,1.4759360551834106
coffee,0,1,21,tail,attention,0.7120640277862549
coffee,0,1,21,tail,combine,0.13673600554466248
coffee,0,1,21,tail,decoder_layer,2.2335360050201416
coffee,0,1,21,tail,dispatch,0.3961600065231323
coffee,0,1,21,tail,expert,0.47833600640296936
coffee,0,1,21,tail,moe_total,1.4496320486068726
coffee,0,1,22,prefix,attention,0.7610880136489868
coffee,0,1,22,prefix,combine,0.1391039937734604
coffee,0,1,22,prefix,decoder_layer,2.3247039318084717
coffee,0,1,22,prefix,dispatch,0.47094398736953735
coffee,0,1,22,prefix,expert,0.4521920084953308
coffee,0,1,22,prefix,moe_total,1.5277119874954224
coffee,0,1,22,tail,attention,0.714847981929779
coffee,0,1,22,tail,combine,0.12297599762678146
coffee,0,1,22,tail,decoder_layer,2.22377610206604
coffee,0,1,22,tail,dispatch,0.43827199935913086
coffee,0,1,22,tail,expert,0.4241600036621094
coffee,0,1,22,tail,moe_total,1.4379839897155762
coffee,0,1,23,prefix,attention,0.7413439750671387
coffee,0,1,23,prefix,combine,0.10963200032711029
coffee,0,1,23,prefix,decoder_layer,2.261728048324585
coffee,0,1,23,prefix,dispatch,0.4467200040817261
coffee,0,1,23,prefix,expert,0.4103040099143982
coffee,0,1,23,prefix,moe_total,1.4835519790649414
coffee,0,1,23,tail,attention,0.7080000042915344
coffee,0,1,23,tail,combine,0.16326400637626648
coffee,0,1,23,tail,decoder_layer,2.2701759338378906
coffee,0,1,23,tail,dispatch,0.3651840090751648
coffee,0,1,23,tail,expert,0.4496319890022278
coffee,0,1,23,tail,moe_total,1.4524480104446411
coffee,0,1,24,prefix,attention,0.6827840209007263
coffee,0,1,24,prefix,combine,0.1430719941854477
coffee,0,1,24,prefix,decoder_layer,2.2698559761047363
coffee,0,1,24,prefix,dispatch,0.4416640102863312
coffee,0,1,24,prefix,expert,0.408735990524292
coffee,0,1,24,prefix,moe_total,1.509727954864502
coffee,0,1,24,tail,attention,0.7053120136260986
coffee,0,1,24,tail,combine,0.17158399522304535
coffee,0,1,24,tail,decoder_layer,2.342560052871704
coffee,0,1,24,tail,dispatch,0.4663040041923523
coffee,0,1,24,tail,expert,0.43856000900268555
coffee,0,1,24,tail,moe_total,1.547327995300293
coffee,0,1,25,prefix,attention,0.6890239715576172
coffee,0,1,25,prefix,combine,0.12214399874210358
coffee,0,1,25,prefix,decoder_layer,2.2260799407958984
coffee,0,1,25,prefix,dispatch,0.38678398728370667
coffee,0,1,25,prefix,expert,0.46694400906562805
coffee,0,1,25,prefix,moe_total,1.4506560564041138
coffee,0,1,25,tail,attention,0.7843199968338013
