wave,layer,request_id,pair_budget_fraction,strategy,available_pairs,removed_assignments,actual_removed_fraction,max_rank_load_reduction,critical_pair_fraction,pair_cosine_median
9,16,quad_diverse,0.5,REDUNDANCY_ONLY,27,14,0.0023584905660377358,0.005281690140845119,0.42857142857142855,0.904375433921814
9,16,quad_diverse,0.5,CRITICAL_RANK_AWARE,27,14,0.0023584905660377358,0.008802816901408494,0.7142857142857143,0.904375433921814
9,16,quad_diverse,0.75,RANDOM_MATCHED,27,21,0.003537735849056604,0.007922535211267623,0.42857142857142855,0.904375433921814
9,16,quad_diverse,0.75,REDUNDANCY_ONLY,27,21,0.003537735849056604,0.008802816901408494,0.47619047619047616,0.904375433921814
9,16,quad_diverse,0.75,CRITICAL_RANK_AWARE,27,21,0.003537735849056604,0.008802816901408494,0.47619047619047616,0.904375433921814
9,16,quad_diverse,1.0,RANDOM_MATCHED,27,27,0.004548517520215634,0.008802816901408494,0.37037037037037035,0.904375433921814
9,16,quad_diverse,1.0,REDUNDANCY_ONLY,27,27,0.004548517520215634,0.008802816901408494,0.37037037037037035,0.904375433921814
9,16,quad_diverse,1.0,CRITICAL_RANK_AWARE,27,27,0.004548517520215634,0.008802816901408494,0.37037037037037035,0.904375433921814
9,24,quad_diverse,0.25,RANDOM_MATCHED,10,3,0.0005053908355795149,0.0010672358591248265,0.3333333333333333,0.9295400381088257
9,24,quad_diverse,0.25,REDUNDANCY_ONLY,10,3,0.0005053908355795149,0.0010672358591248265,0.3333333333333333,0.9295401573181152
9,24,quad_diverse,0.25,CRITICAL_RANK_AWARE,10,3,0.0005053908355795149,0.002134471718249764,0.6666666666666666,0.9295401573181152
9,24,quad_diverse,0.5,RANDOM_MATCHED,10,5,0.0008423180592991914,0.0010672358591248265,0.2,0.9295400381088257
9,24,quad_diverse,0.5,REDUNDANCY_ONLY,10,5,0.0008423180592991914,0.0010672358591248265,0.2,0.9295401573181152
9,24,quad_diverse,0.5,CRITICAL_RANK_AWARE,10,5,0.0008423180592991914,0.002134471718249764,0.4,0.9295401573181152
9,24,quad_diverse,0.75,RANDOM_MATCHED,10,8,0.0013477088948787063,0.002134471718249764,0.25,0.919058084487915
9,24,quad_diverse,0.75,REDUNDANCY_ONLY,10,8,0.0013477088948787063,0.002134471718249764,0.25,0.9295401573181152
9,24,quad_diverse,0.75,CRITICAL_RANK_AWARE,10,8,0.0013477088948787063,0.002134471718249764,0.25,0.9295401573181152
9,24,quad_diverse,1.0,RANDOM_MATCHED,10,10,0.0016846361185983828,0.002134471718249764,0.2,0.9295400977134705
9,24,quad_diverse,1.0,REDUNDANCY_ONLY,10,10,0.0016846361185983828,0.002134471718249764,0.2,0.9295400977134705
9,24,quad_diverse,1.0,CRITICAL_RANK_AWARE,10,10,0.0016846361185983828,0.002134471718249764,0.2,0.9295400977134705
9,40,quad_diverse,0.25,RANDOM_MATCHED,29,8,0.0013477088948787063,0.0011235955056180247,0.125,0.9123185276985168
9,40,quad_diverse,0.25,REDUNDANCY_ONLY,29,8,0.0013477088948787063,0.0011235955056180247,0.125,0.9409657120704651
9,40,quad_diverse,0.25,CRITICAL_RANK_AWARE,29,8,0.0013477088948787063,0.003370786516853963,0.375,0.9409657120704651
9,40,quad_diverse,0.5,RANDOM_MATCHED,29,15,0.002526954177897574,0.0011235955056180247,0.06666666666666667,0.912318229675293
9,40,quad_diverse,0.5,REDUNDANCY_ONLY,29,15,0.002526954177897574,0.0022471910112359383,0.13333333333333333,0.9372482895851135
9,40,quad_diverse,0.5,CRITICAL_RANK_AWARE,29,15,0.002526954177897574,0.003370786516853963,0.2,0.9372482895851135
9,40,quad_diverse,0.75,RANDOM_MATCHED,29,22,0.003706199460916442,0.0022471910112359383,0.09090909090909091,0.912318229675293
9,40,quad_diverse,0.75,REDUNDANCY_ONLY,29,22,0.003706199460916442,0.003370786516853963,0.13636363636363635,0.9123183786869049
9,40,quad_diverse,0.75,CRITICAL_RANK_AWARE,29,22,0.003706199460916442,0.003370786516853963,0.13636363636363635,0.9123183786869049
