wave,layer,expert_id,token_a,token_b,dest_rank_a,dest_rank_b,cosine,critical_pair
16,16,60,28,424,3,3,0.9133017659187317,0
16,16,60,96,492,3,3,0.9065955281257629,0
16,16,61,37,433,3,3,0.9678249955177307,0
16,16,61,17,413,3,3,0.9567295908927917,0
16,16,61,100,496,3,3,0.9517463445663452,0
16,16,61,57,453,3,3,0.9485757946968079,0
16,16,61,10,406,3,3,0.9436219930648804,0
16,16,61,74,470,3,3,0.9404457807540894,0
16,16,61,44,440,3,3,0.93929523229599,0
16,16,61,14,410,3,3,0.9343690872192383,0
16,16,61,72,468,3,3,0.917199969291687,0
16,16,61,33,429,3,3,0.9147645831108093,0
16,16,61,30,426,3,3,0.9128233790397644,0
16,16,61,85,481,3,3,0.90221107006073,0
16,16,62,83,479,3,3,0.9701731204986572,0
16,16,63,38,434,3,3,0.9724600911140442,0
16,16,63,37,433,3,3,0.9678249955177307,0
16,16,63,122,518,3,3,0.9672045707702637,0
16,16,63,61,457,3,3,0.9524069428443909,0
16,16,63,125,521,3,3,0.9456799030303955,0
16,16,63,64,460,3,3,0.9204559326171875,0
16,16,64,46,442,4,4,0.929271399974823,0
16,16,66,38,434,4,4,0.9724600911140442,0
16,16,66,37,433,4,4,0.9678249955177307,0
16,16,66,103,499,4,4,0.9541344046592712,0
16,16,66,104,500,4,4,0.930770754814148,0
16,16,66,108,504,4,4,0.9161651730537415,0
16,16,69,31,427,4,4,0.9605236053466797,0
16,16,70,54,450,4,4,0.9407636523246765,0
16,16,71,33,429,4,4,0.9147648215293884,0
16,16,72,117,513,4,4,0.9664178490638733,0
16,16,72,51,447,4,4,0.9557679891586304,0
16,16,72,25,421,4,4,0.9513905644416809,0
16,16,73,10,406,4,4,0.9436219930648804,0
16,16,75,66,462,4,4,0.9693880081176758,0
16,16,75,39,435,4,4,0.9676557183265686,0
16,16,75,36,432,4,4,0.9557017087936401,0
16,16,75,25,421,4,4,0.9513905644416809,0
16,16,75,68,464,4,4,0.9423621892929077,0
16,16,75,52,448,4,4,0.9380956292152405,0
16,16,75,53,449,4,4,0.9306406378746033,0
16,16,76,15,411,4,4,0.9539112448692322,0
16,16,77,70,466,4,4,0.9586862921714783,0
16,16,77,51,447,4,4,0.9557679891586304,0
16,16,77,65,461,4,4,0.9448288679122925,0
16,16,77,105,501,4,4,0.936900794506073,0
16,16,77,115,511,4,4,0.9194516539573669,0
16,16,77,81,92,4,4,0.9007489681243896,0
16,16,79,66,462,4,4,0.9693880081176758,0
16,16,79,51,447,4,4,0.9557679891586304,0
16,16,79,65,461,4,4,0.9448288679122925,0
16,16,79,92,488,4,4,0.9415209293365479,0
16,16,79,106,502,4,4,0.9398189783096313,0
16,16,79,52,448,4,4,0.9380956292152405,0
16,16,80,73,469,5,5,0.9435391426086426,0
16,16,82,15,411,5,5,0.9539112448692322,0
16,16,85,73,469,5,5,0.9435391426086426,0
16,16,85,30,426,5,5,0.9128233790397644,0
16,16,91,122,518,5,5,0.9672045111656189,0
16,16,91,30,426,5,5,0.9128233790397644,0
16,16,91,85,481,5,5,0.9022108912467957,0
16,16,92,51,447,5,5,0.9557679891586304,0
16,16,92,103,499,5,5,0.9541344046592712,0
16,16,92,116,512,5,5,0.9508815407752991,0
16,16,92,52,448,5,5,0.9380956292152405,0
16,16,92,115,511,5,5,0.9194516539573669,0
16,16,93,117,513,5,5,0.9664178490638733,0
16,16,93,98,494,5,5,0.9649573564529419,0
16,16,93,90,486,5,5,0.9589706659317017,0
16,16,93,77,473,5,5,0.9550114870071411,0
16,16,93,109,505,5,5,0.9542863965034485,0
16,16,93,56,452,5,5,0.9533066749572754,0
16,16,93,61,457,5,5,0.9524069428443909,0
16,16,93,57,453,5,5,0.9485757946968079,0
16,16,93,121,517,5,5,0.9485055208206177,0
16,16,93,99,495,5,5,0.9456295371055603,0
16,16,93,73,469,5,5,0.9435392022132874,0
16,16,93,92,488,5,5,0.9415209293365479,0
16,16,93,42,438,5,5,0.9414204955101013,0
16,16,93,44,440,5,5,0.93929523229599,0
16,16,93,105,501,5,5,0.936900794506073,0
16,16,93,71,467,5,5,0.9326695799827576,0
16,16,93,43,439,5,5,0.931027352809906,0
16,16,93,124,520,5,5,0.9293598532676697,0
16,16,93,33,429,5,5,0.9147645831108093,0
16,16,93,107,503,5,5,0.9098389148712158,0
16,16,93,118,514,5,5,0.9095090627670288,0
16,16,93,96,492,5,5,0.9065955281257629,0
16,16,93,85,481,5,5,0.90221107006073,0
16,16,94,121,517,5,5,0.9485055208206177,0
