call,request_id,invocation,phase,normalized_progress,ready_requests,decision_live_rows,physical_m,topk_pairs,remote_pairs,remote_fraction,rank_load,rank_load_cv,rank_fanout_mean,active_experts,median_m_e,tiny_le4_fraction,router_ms_observer,dispatch_ms_observer,expert_ms_observer,combine_ms_observer,shared_ms_observer,gather_ms_observer
25,measured_0,156,late,0.7946428571428572,14,92,448,3584,2715,0.7575334821428571,"[836, 591, 1378, 779]",0.3266478153007495,2.9977680444717407,185,7,0.3891891891891892,5.453887939453125,0.5128960013389587,0.9031360149383545,0.15750400722026825,0.03308799862861633,0.04508800059556961
26,measured_0,157,late,0.78125,14,98,448,3584,2672,0.7455357142857143,"[865, 579, 1368, 772]",0.3252012674598021,3.024553656578064,179,8,0.3575418994413408,5.501728057861328,0.6484159827232361,0.8795199990272522,0.16300800442695618,0.03267199918627739,0.046271998435258865
27,measured_0,158,late,0.8210227272727273,11,63,352,2816,2159,0.7666903409090909,"[656, 508, 1041, 611]",0.28668735366699144,3.036931872367859,180,7.0,0.37222222222222223,4.456031799316406,0.5374079942703247,0.8767679929733276,0.16432000696659088,0.03126399964094162,0.02723200060427189
28,measured_0,159,late,0.7890625,8,54,256,2048,1516,0.740234375,"[462, 387, 737, 462]",0.26067085576248317,3.12109375,155,6,0.3870967741935484,3.3120639324188232,0.44630399346351624,0.7661439776420593,0.0963200032711029,0.031231999397277832,0.023744000121951103
29,measured_0,160,late,0.8515625,8,38,256,2048,1556,0.759765625,"[499, 347, 728, 474]",0.26832198725183415,3.15234375,166,5.0,0.4457831325301205,3.3368000984191895,0.4108160138130188,0.7701759934425354,0.06681600213050842,0.0318400003015995,0.02304000034928322
30,measured_0,161,late,0.8125,5,30,160,1280,953,0.74453125,"[292, 206, 496, 286]",0.33479821348089656,3.075000047683716,149,4,0.5436241610738255,2.2442879676818848,0.40384000539779663,0.7366080284118652,0.11648000031709671,0.03235200047492981,0.01926399953663349
31,measured_0,162,late,0.796875,4,26,128,1024,800,0.78125,"[229, 164, 409, 222]",0.35885449738434205,3.03125,127,4,0.5433070866141733,1.949887990951538,0.316895991563797,0.7041599750518799,0.17712000012397766,0.03094400092959404,0.04758400097489357
32,measured_0,163,late,0.875,3,12,96,768,591,0.76953125,"[167, 127, 294, 180]",0.32314759887661587,3.0625000596046448,131,3,0.6183206106870229,1.5729600191116333,0.3436799943447113,0.6750079989433289,0.18931199610233307,0.031039999797940254,0.10582400113344193
33,measured_0,164,late,0.859375,2,9,64,512,377,0.736328125,"[106, 94, 189, 123]",0.28667723643607457,3.03125,103,3,0.7184466019417476,1.239743947982788,0.29791998863220215,0.5078719854354858,0.10819199681282043,0.1390720009803772,0.11472000181674957
34,measured_0,165,late,0.875,1,4,32,256,181,0.70703125,"[72, 27, 115, 42]",0.5251255430251893,2.875,64,2.0,0.765625,0.8727999925613403,0.5459840297698975,0.5012800097465515,0.08851200342178345,0.2325119972229004,0.11753600090742111
35,measured_0,167,early,0.0,32,1024,1024,8192,6034,0.736572265625,"[1574, 1698, 3397, 1523]",0.3815631330955058,2.96484375,181,13,0.32044198895027626,11.964192390441895,0.9749119877815247,1.0090240240097046,0.21500800549983978,0.036159999668598175,0.05375999957323074
36,measured_0,168,early,0.1923828125,32,827,1024,8192,6169,0.7530517578125,"[1652, 1622, 3326, 1592]",0.3604289646292334,2.982421875,191,14,0.2356020942408377,12.668928146362305,1.6179840564727783,1.081663966178894,0.27081599831581116,0.035679999738931656,0.05363199859857559
37,measured_0,169,middle,0.3408203125,32,675,1024,8192,6211,0.7581787109375,"[1688, 1600, 3249, 1655]",0.3389208308697964,3.0087890625,198,14.0,0.23232323232323232,13.335968017578125,2.6087679862976074,1.0680320262908936,0.24278399348258972,0.0360959991812706,0.05350400134921074
38,measured_0,170,middle,0.33203125,32,684,1024,8192,6355,0.7757568359375,"[1738, 1610, 3200, 1644]",0.3255653452639965,2.98046875,196,14.0,0.2193877551020408,11.794015884399414,0.9554880261421204,1.067520022392273,0.24371199309825897,0.03625600039958954,0.052319999784231186
39,measured_0,171,middle,0.4345703125,32,579,1024,8192,6193,0.7559814453125,"[1777, 1603, 3136, 1676]",0.3081973463321737,3.037109375,202,15.0,0.2079207920792079,11.988800048828125,0.8649920225143433,1.116927981376648,0.2807359993457794,0.03577600046992302,0.05488000065088272
40,measured_0,172,middle,0.4501953125,32,563,1024,8192,6397,0.7808837890625,"[1873, 1595, 3001, 1723]",0.27292126561917607,3.029296875,204,16.0,0.23529411764705882,11.887007713317871,0.9756799936294556,1.0880320072174072,0.2614719867706299,0.03638400137424469,0.05369599908590317
41,measured_0,173,middle,0.474609375,32,538,1024,8192,6219,0.7591552734375,"[1779, 1649, 3103, 1661]",0.2984469107696939,3.0302734375,201,16,0.19402985074626866,11.763808250427246,0.9496639966964722,1.0752639770507812,0.21091200411319733,0.03705599904060364,0.054368000477552414
42,measured_0,174,middle,0.5712890625,32,439,1024,8192,6197,0.7564697265625,"[1870, 1754, 2963, 1605]",0.26199303673088564,3.05078125,205,18,0.2,11.89568042755127,0.9301760196685791,1.0858240127563477,0.21302400529384613,0.03558399900794029,0.05398400127887726
43,measured_0,175,middle,0.525390625,32,486,1024,8192,6097,0.7442626953125,"[1865, 1802, 2947, 1578]",0.25873216687360284,3.0205078125,202,16.0,0.18811881188118812,11.952287673950195,0.9972800016403198,1.061568021774292,0.2423039972782135,0.03619199991226196,0.05331199988722801
44,measured_0,176,middle,0.568359375,32,442,1024,8192,6130,0.748291015625,"[1810, 1823, 2873, 1686]",0.234036264413462,3.0302734375,203,17,0.16748768472906403,11.928895950317383,1.1473920345306396,1.0643839836120605,0.19100800156593323,0.03564799949526787,0.05363199859857559
45,measured_0,177,middle,0.568359375,32,442,1024,8192,6198,0.756591796875,"[1794, 1801, 2927, 1670]",0.24910121525881887,3.048828125,208,17.0,0.22115384615384615,11.961888313293457,1.0991679430007935,1.0826239585876465,0.19884799420833588,0.03622400015592575,0.05225599929690361
46,measured_0,178,middle,0.5655241935483871,31,431,992,7936,5969,0.7521421370967742,"[1821, 1661, 2816, 1638]",0.24470727197570438,3.032257914543152,203,19,0.2019704433497537,11.613504409790039,1.0768640041351318,1.0870399475097656,0.23759999871253967,0.03590400144457817,0.05260799825191498
47,measured_0,179,middle,0.6098790322580645,31,387,992,7936,6102,0.7689012096774194,"[1891, 1658, 2842, 1545]",0.25747736925155956,3.0181450843811035,205,17,0.21951219512195122,11.457280158996582,0.9950399994850159,1.1129920482635498,0.24236799776554108,0.03558399900794029,0.05238400027155876
48,measured_0,180,middle,0.594758064516129,31,402,992,7936,6098,0.7683971774193549,"[1884, 1667, 2848, 1537]",0.25907380640164407,3.0383063554763794,200,18.0,0.185,11.563776016235352,1.0270400047302246,1.074944019317627,0.24508799612522125,0.03516799956560135,0.05363199859857559
49,measured_0,181,middle,0.6179435483870968,31,379,992,7936,6035,0.7604586693548387,"[1976, 1569, 2803, 1588]",0.2519992433859248,3.0241934657096863,214,14.0,0.24299065420560748,11.499391555786133,0.8598080277442932,1.1166399717330933,0.2337920069694519,0.035679999738931656,0.05241600051522255
50,measured_0,182,middle,0.5385416666666667,30,443,960,7680,5805,0.755859375,"[1871, 1477, 2755, 1577]",0.26217169035899823,3.0135418176651,201,14,0.26865671641791045,11.004960060119629,0.6987199783325195,1.0666559934616089,0.21929599344730377,0.03488000109791756,0.05167999863624573
51,measured_0,183,middle,0.5229166666666667,30,458,960,7680,5839,0.7602864583333333,"[1845, 1445, 2877, 1513]",0.2983729569531599,3.0156251788139343,201,13,0.2537313432835821,11.626720428466797,1.4240000247955322,1.0915199518203735,0.29052799940109253,0.035360001027584076,0.05331199988722801
52,measured_0,184,middle,0.55625,30,426,960,7680,5939,0.7733072916666667,"[1899, 1452, 2821, 1508]",0.28539219215320855,3.036458432674408,202,15.0,0.22772277227722773,11.313183784484863,1.0543040037155151,1.1296000480651855,0.305184006690979,0.034912001341581345,0.052032001316547394
53,measured_0,185,middle,0.553125,30,429,960,7680,5946,0.77421875,"[1923, 1451, 2804, 1502]",0.28242304561191234,3.041666865348816,211,15,0.23696682464454977,10.940256118774414,0.8926079869270325,1.0820800065994263,0.20723199844360352,0.035071998834609985,0.051872000098228455
54,measured_0,186,middle,0.5197916666666667,30,461,960,7680,5936,0.7729166666666667,"[1784, 1529, 2853, 1514]",0.28606767870011984,2.994791805744171,212,14.5,0.24528301886792453,11.168000221252441,0.8731840252876282,1.0896639823913574,0.1987520009279251,0.03545600175857544,0.05097600072622299
55,measured_0,187,middle,0.5520833333333333,30,430,960,7680,5882,0.7658854166666667,"[1753, 1473, 2813, 1641]",0.27349800917795647,3.0447918176651,209,17,0.21052631578947367,11.246208190917969,0.9755839705467224,1.1028159856796265,0.23603199422359467,0.034912001341581345,0.05190400034189224
56,measured_0,188,middle,0.5424107142857143,28,410,896,7168,5626,0.7848772321428571,"[1655, 1427, 2713, 1373]",0.3025505788760297,3.0245537161827087,201,16,0.21890547263681592,10.347647666931152,0.7400000095367432,1.0876480340957642,0.2582080066204071,0.036479998379945755,0.050655998289585114
57,measured_0,189,middle,0.5127314814814814,27,421,864,6912,5370,0.7769097222222222,"[1507, 1438, 2701, 1266]",0.32903695165477925,3.0034722089767456,202,15.0,0.2623762376237624,10.13372802734375,0.7255359888076782,1.0858240127563477,0.25043201446533203,0.03542400151491165,0.05087999999523163
