sample_id,category,layer,rank,assignments,vision_assignments,nonvision_assignments,expert_ms
retina,fine_grained,23,1,15596,15432,164,0.8746239691972733
retina,fine_grained,24,1,15252,15116,136,0.8500800281763077
retina,fine_grained,25,1,12420,12284,136,0.7783679962158203
retina,fine_grained,26,1,17696,17520,176,0.8889919519424438
retina,fine_grained,27,1,15988,15764,224,0.8787679970264435
retina,fine_grained,28,1,15852,15672,180,0.8337920159101486
retina,fine_grained,29,1,17688,17472,216,0.8863680064678192
retina,fine_grained,30,1,17776,17588,188,0.9976800084114075
retina,fine_grained,31,1,14488,14368,120,0.9195519387722015
retina,fine_grained,32,1,15492,15364,128,0.8702879697084427
retina,fine_grained,33,1,13856,13688,168,0.8160640299320221
retina,fine_grained,34,1,18180,18028,152,0.9240959882736206
retina,fine_grained,35,1,16036,15900,136,0.8644799739122391
retina,fine_grained,36,1,17436,17320,116,0.9046400040388107
retina,fine_grained,37,1,15872,15748,124,0.8491039872169495
retina,fine_grained,38,1,16148,15988,160,0.8787200152873993
retina,fine_grained,39,1,18924,18660,264,0.9243679940700531
retina,fine_grained,40,1,14992,14828,164,0.8224800080060959
retina,fine_grained,41,1,14564,14356,208,0.8325280398130417
retina,fine_grained,42,1,16376,16168,208,0.8790880441665649
retina,fine_grained,43,1,17860,17644,216,0.9173440039157867
retina,fine_grained,44,1,20244,20124,120,0.9498079866170883
retina,fine_grained,45,1,17120,16936,184,0.8992320001125336
retina,fine_grained,46,1,17936,17792,144,0.8920159637928009
retina,fine_grained,47,1,18124,17984,140,0.9150239825248718
microaneurysms,fine_grained,0,1,596,476,120,0.4009599834680557
microaneurysms,fine_grained,1,1,692,592,100,0.3972479850053787
microaneurysms,fine_grained,2,1,780,572,208,0.416159987449646
microaneurysms,fine_grained,3,1,528,416,112,0.4002240002155304
microaneurysms,fine_grained,4,1,804,672,132,0.3916160315275192
microaneurysms,fine_grained,5,1,492,376,116,0.4007680118083954
microaneurysms,fine_grained,6,1,648,456,192,0.40508797764778137
microaneurysms,fine_grained,7,1,620,508,112,0.39497601985931396
microaneurysms,fine_grained,8,1,736,556,180,0.40164799988269806
microaneurysms,fine_grained,9,1,640,464,176,0.398047998547554
microaneurysms,fine_grained,10,1,604,412,192,0.39905600249767303
microaneurysms,fine_grained,11,1,796,628,168,0.39800000190734863
microaneurysms,fine_grained,12,1,740,588,152,0.40060800313949585
microaneurysms,fine_grained,13,1,524,412,112,0.39774399995803833
microaneurysms,fine_grained,14,1,812,664,148,0.4084959775209427
microaneurysms,fine_grained,15,1,1068,852,216,0.3968479782342911
microaneurysms,fine_grained,16,1,756,604,152,0.4015360027551651
microaneurysms,fine_grained,17,1,764,580,184,0.39740797877311707
microaneurysms,fine_grained,18,1,680,496,184,0.40188801288604736
microaneurysms,fine_grained,19,1,492,352,140,0.3906880021095276
microaneurysms,fine_grained,20,1,552,372,180,0.3983680009841919
microaneurysms,fine_grained,21,1,752,584,168,0.40641598403453827
microaneurysms,fine_grained,22,1,520,364,156,0.4010079950094223
microaneurysms,fine_grained,23,1,768,608,160,0.40377600491046906
microaneurysms,fine_grained,24,1,612,468,144,0.4158400148153305
microaneurysms,fine_grained,25,1,472,336,136,0.3991040140390396
microaneurysms,fine_grained,26,1,640,476,164,0.41091200709342957
microaneurysms,fine_grained,27,1,996,760,236,0.40436798334121704
microaneurysms,fine_grained,28,1,924,728,196,0.4083680063486099
microaneurysms,fine_grained,29,1,656,476,180,0.4152799993753433
microaneurysms,fine_grained,30,1,752,544,208,0.4007199853658676
microaneurysms,fine_grained,31,1,436,336,100,0.40454399585723877
microaneurysms,fine_grained,32,1,540,396,144,0.396016001701355
microaneurysms,fine_grained,33,1,680,508,172,0.41283199191093445
microaneurysms,fine_grained,34,1,720,560,160,0.4161600172519684
microaneurysms,fine_grained,35,1,548,388,160,0.40164802968502045
microaneurysms,fine_grained,36,1,604,476,128,0.40726399421691895
