M,fast_active_experts,fast_fanout,fast_median_ms,fast_rank_imbalance,fast_total_assignments,layer,n,p50_ms,p95_ms,phase,slow_active_experts,slow_fanout,slow_median_ms,slow_rank_imbalance,slow_total_assignments,source,tail_gap_mean_pct,tail_gap_pct
1,8.0,2.345608292416803,0.8722879886627197,1.041871878612833,8.0,3,3662,0.9108480215072632,2.366697561740875,decode,8.0,2.3994565217391304,2.7751519680023193,1.2720707801397386,8.0,online_trace_long_c8,310.49722834644757,218.14630077099258
1,8.0,2.0341343528126705,0.8683519959449768,1.0465824235676033,8.0,4,3662,0.910288006067276,2.323924791812897,decode,8.0,2.029891304347826,2.5725280046463013,1.2801302891724646,8.0,online_trace_long_c8,682.5045441625259,196.25405557395035
1,8.0,2.5,0.8754240274429321,1.0406637380562356,8.0,5,3662,0.9173760116100311,2.32925910949707,decode,8.0,2.5,2.6251519918441772,1.2670434232006478,8.0,online_trace_long_c8,660.5553632756939,199.8720516627937
1,8.0,2.4139814309120697,0.8749759793281555,1.0415378993827529,8.0,6,3662,0.9139039814472198,2.361684703826904,decode,8.0,2.4375,2.695039987564087,1.2749328135261317,8.0,online_trace_long_c8,2378.1230221839055,208.0130256411582
1,8.0,2.337520480611688,0.8718079924583435,1.039573412638294,8.0,7,3662,0.9104959964752197,2.368387174606323,decode,8.0,2.358695652173913,2.711919903755188,1.2790404532472557,8.0,online_trace_long_c8,339.9448320739177,211.0684837960645
1,8.0,2.031130529765156,0.8664640188217163,1.0464245838282922,8.0,8,3662,0.9092479944229126,2.321392035484314,decode,8.0,2.0652173913043477,2.45415997505188,1.2669817093398923,8.0,online_trace_long_c8,259.4349606827221,183.23853290381302
1,8.0,2.4833424358274168,0.8754879832267761,1.041946032536422,8.0,9,3662,0.9154239892959595,2.335614502429962,decode,8.0,2.4864130434782608,2.6048959493637085,1.263694361793129,8.0,online_trace_long_c8,683.8944007766712,197.5364595823346
1,8.0,2.468596395412343,0.8757759928703308,1.0404471669159499,8.0,10,3662,0.9151999950408936,2.373233640193939,decode,8.0,2.4619565217391304,2.6902719736099243,1.2753003439821915,8.0,online_trace_long_c8,706.6295156086497,207.18722544455267
1,8.0,2.0445111960677225,0.8679680228233337,1.041984833971402,8.0,11,3662,0.9089120030403137,2.354731261730194,decode,8.0,2.073369565217391,2.5082240104675293,1.2886981193266567,8.0,online_trace_long_c8,883.2282250707717,188.9765457380408
1,8.0,2.5,0.8757439851760864,1.0408549425389153,8.0,12,3662,0.9180000126361847,2.3606160521507262,decode,8.0,2.5,2.657680034637451,1.2644426094504546,8.0,online_trace_long_c8,324.5561130862358,203.4768242343149
1,8.0,2.0832878208629166,0.8692160248756409,1.0416052031074114,8.0,13,3662,0.9076000154018402,2.354651176929474,decode,8.0,2.160326086956522,2.6045600175857544,1.2580730216791896,8.0,online_trace_long_c8,269.89701945434814,199.6447307740781
1,8.0,2.288482532751092,0.871535986661911,1.0403353353091487,8.0,14,3662,0.9127359986305237,2.342902362346649,decode,8.0,2.3152173913043477,2.6175040006637573,1.2560901349996925,8.0,online_trace_long_c8,268.87204804764167,200.3322915772088
1,8.0,2.5,0.8711360096931458,1.0389982477132844,8.0,15,3662,0.9107039868831635,2.3765838980674743,decode,8.0,2.5,2.715519905090332,1.2558404299376484,8.0,online_trace_long_c8,269.82873993910465,211.72169154673634
1,8.0,1.98197706171491,0.868511974811554,1.0481447475106704,8.0,16,3662,0.907183974981308,2.3480368256568904,decode,8.0,2.0407608695652173,2.5779680013656616,1.2803271255772648,8.0,online_trace_long_c8,335.62121800035953,196.8258442174099
1,8.0,2.466411796832332,0.8729280233383179,1.0397304669333953,8.0,17,3662,0.9143840074539185,2.351262402534485,decode,8.0,2.4619565217391304,2.6985599994659424,1.2681525993824814,8.0,online_trace_long_c8,1225.370373092808,209.13888972699172
1,8.0,2.5,0.8723199963569641,1.038726425470188,8.0,18,3662,0.9108640253543854,2.376089608669281,decode,8.0,2.5,2.661888003349304,1.2728112757438002,8.0,online_trace_long_c8,757.617065171431,205.15040517974958
1,8.0,2.5,0.8730559945106506,1.039672898147454,8.0,19,3662,0.9124639928340912,2.373591959476471,decode,8.0,2.5,2.6622400283813477,1.2623369037697445,8.0,online_trace_long_c8,275.83912974357315,204.93348022557115
1,8.0,2.4822598253275108,0.8743360042572021,1.0400732493619442,8.0,20,3662,0.9137600064277649,2.367356908321381,decode,8.0,2.4918478260869565,2.6575520038604736,1.274403462831689,8.0,online_trace_long_c8,493.512282502828,203.95088283207264
1,8.0,2.1951419213973797,0.870959997177124,1.042877191304769,8.0,21,3662,0.9096639752388,2.361712086200714,decode,8.0,2.182065217391304,2.6238560676574707,1.270957967672162,8.0,online_trace_long_c8,294.42135460311863,201.26022735368568
1,8.0,2.447052401746725,0.8723199963569641,1.040155448225369,8.0,22,3662,0.9123520255088806,2.3579023361206053,decode,8.0,2.4375,2.63264000415802,1.2660652142264126,8.0,online_trace_long_c8,353.0194767740699,201.7975072393839
1,8.0,2.1116266375545854,0.8694080114364624,1.0433944548711862,8.0,23,3662,0.9093440175056458,2.3664575099945067,decode,8.0,2.095108695652174,2.594607949256897,1.2849243883738521,8.0,online_trace_long_c8,772.1336421880331,198.43386708250162
1,8.0,2.3602620087336246,0.873088002204895,1.0425252157251064,8.0,24,3662,0.9114879965782166,2.351851165294647,decode,8.0,2.410326086956522,2.5378400087356567,1.2847235393065222,8.0,online_trace_long_c8,1170.113800376426,190.67402167074715
1,8.0,1.9265428727471328,0.8659520149230957,1.0448139423298632,8.0,25,3662,0.9051840007305145,2.3419280767440793,decode,8.0,1.986413043478261,2.511183977127075,1.281559749413565,8.0,online_trace_long_c8,332.1452113043991,189.9911235091001
1,8.0,2.46395412342982,0.8746240139007568,1.0394177524373407,8.0,26,3662,0.9135999977588654,2.3607888221740723,decode,8.0,2.4782608695652173,2.6300160884857178,1.2723726694886788,8.0,online_trace_long_c8,972.3380759110777,200.70247862896403
1,8.0,2.5,0.8739200234413147,1.0391288804984025,8.0,27,3662,0.9115680158138275,2.379724848270416,decode,8.0,2.5,2.616160035133362,1.269338257959231,8.0,online_trace_long_c8,1419.1210860946546,199.35920507113178
1,8.0,2.466430131004367,0.8722719848155975,1.0398274521685547,8.0,28,3662,0.9116479754447937,2.3753759622573853,decode,8.0,2.4782608695652173,2.6928800344467163,1.280780597079835,8.0,online_trace_long_c8,338.3854255246999,208.7202250355337
1,8.0,2.064991807755325,0.8698559999465942,1.0442465059314965,8.0,29,3662,0.9107039868831635,2.362641716003418,decode,8.0,2.057065217391304,2.6422879695892334,1.2883952001426529,8.0,online_trace_long_c8,281.8098547270796,203.76153866265474
1,8.0,2.5,0.8759199976921082,1.0398385150235412,8.0,30,3662,0.9146239757537842,2.360032081604004,decode,8.0,2.5,2.62390398979187,1.271073046703793,8.0,online_trace_long_c8,278.527775992839,199.55977677223837
1,8.0,2.5,0.8713600039482117,1.0390754444982706,8.0,31,3662,0.9109919965267181,2.3591297030448914,decode,8.0,2.5,2.5459200143814087,1.2684618280936732,8.0,online_trace_long_c8,277.6661915140097,192.17774546039422
