vision_request,text_request,layer,rank,vision_total_assignments,text_total_assignments,vision_active_experts,text_active_experts,vision_gini,text_gini,vision_top1_share,text_top1_share,vision_top4_share,text_top4_share,vision_max_expert_load,text_max_expert_load,vision_padding_amplification,text_padding_amplification,vision_effective_tiles,text_effective_tiles,vision_expert_median_ms,text_expert_median_ms,relative_assignment_error
coins,text_01_clock_motion,44,0,972.0,1016.0,30.0,24.0,0.4592335390946502,0.6023622047244095,0.10699588477366255,0.14960629921259844,0.3333333333333333,0.46456692913385833,104.0,152.0,2.1069958847736627,1.8267716535433072,32.0,29.0,0.42982399463653564,0.40883198380470276,0.04526748971193416
coins,text_01_clock_motion,45,0,1280.0,1416.0,29.0,21.0,0.521484375,0.6933262711864406,0.09375,0.2994350282485876,0.35,0.5677966101694916,120.0,424.0,1.9,2.2598870056497176,38.0,25.0,0.4360960125923157,0.3970560133457184,0.10625
coins,text_00_coins,46,0,876.0,1320.0,29.0,22.0,0.442208904109589,0.6390151515151515,0.0958904109589041,0.1393939393939394,0.3242009132420091,0.45454545454545453,84.0,184.0,2.3378995433789953,1.6,32.0,33.0,0.4134080111980438,0.408735990524292,0.5068493150684932
coins,text_00_coins,47,0,1216.0,1224.0,28.0,25.0,0.5191200657894737,0.6734068627450981,0.1118421052631579,0.1895424836601307,0.3782894736842105,0.5392156862745098,136.0,232.0,1.894736842105263,1.934640522875817,36.0,37.0,0.4233919680118561,0.4262719750404358,0.006578947368421052
clock_motion,text_01_clock_motion,0,0,740.0,980.0,29.0,27.0,0.46368243243243246,0.4756377551020408,0.14054054054054055,0.11428571428571428,0.3783783783783784,0.3469387755102041,104.0,112.0,2.6810810810810812,2.024489795918367,31.0,31.0,0.418751984834671,0.42499199509620667,0.32432432432432434
clock_motion,text_00_coins,1,0,1016.0,996.0,29.0,31.0,0.515501968503937,0.3881777108433735,0.1141732283464567,0.0963855421686747,0.3937007874015748,0.3172690763052209,116.0,96.0,2.078740157480315,2.1847389558232932,33.0,34.0,0.41571199893951416,0.4307839870452881,0.01968503937007874
clock_motion,text_01_clock_motion,2,0,1084.0,1096.0,30.0,27.0,0.44799354243542433,0.6644616788321168,0.15867158671586715,0.20072992700729927,0.34317343173431736,0.5437956204379562,172.0,220.0,2.007380073800738,2.102189781021898,34.0,36.0,0.43673598766326904,0.42822396755218506,0.01107011070110701
clock_motion,text_01_clock_motion,3,0,1192.0,1284.0,27.0,29.0,0.5769714765100671,0.49970794392523366,0.1644295302013423,0.1308411214953271,0.4664429530201343,0.367601246105919,196.0,168.0,1.8791946308724832,1.8940809968847352,35.0,38.0,0.42582398653030396,0.4323200285434723,0.07718120805369127
clock_motion,text_00_coins,4,0,1080.0,1068.0,32.0,21.0,0.44837962962962963,0.6658473782771536,0.1111111111111111,0.20973782771535582,0.3555555555555555,0.5093632958801498,120.0,224.0,2.1333333333333333,1.6779026217228465,36.0,28.0,0.44179198145866394,0.40880000591278076,0.011111111111111112
clock_motion,text_01_clock_motion,5,0,1184.0,1220.0,30.0,17.0,0.5945945945945946,0.6994877049180328,0.2635135135135135,0.25901639344262295,0.5337837837837837,0.5442622950819672,312.0,316.0,2.108108108108108,1.4163934426229507,39.0,27.0,0.43878400325775146,0.40697601437568665,0.030405405405405407
clock_motion,text_05_coffee,6,0,1520.0,1636.0,28.0,21.0,0.6189144736842105,0.7777353300733496,0.14736842105263157,0.2787286063569682,0.46578947368421053,0.6356968215158925,224.0,456.0,1.7263157894736842,2.2689486552567235,41.0,29.0,0.4329279959201813,0.4307200014591217,0.07631578947368421
clock_motion,text_00_coins,7,0,608.0,1056.0,26.0,23.0,0.5563322368421053,0.6306818181818182,0.17105263157894737,0.23484848484848486,0.4342105263157895,0.4886363636363637,104.0,248.0,2.8421052631578947,1.696969696969697,27.0,28.0,0.41075196862220764,0.4105599820613861,0.7368421052631579
clock_motion,text_01_clock_motion,8,0,892.0,828.0,27.0,26.0,0.570207399103139,0.6314915458937198,0.11210762331838565,0.2028985507246377,0.4080717488789238,0.4879227053140097,100.0,168.0,2.295964125560538,2.318840579710145,32.0,30.0,0.4119360148906708,0.41971200704574585,0.07174887892376682
clock_motion,text_06_moon,9,0,1420.0,1456.0,27.0,24.0,0.5831866197183099,0.7172046703296703,0.2,0.32142857142857145,0.4450704225352113,0.6181318681318682,284.0,468.0,1.667605633802817,2.5494505494505493,37.0,29.0,0.4254719913005829,0.4309439957141876,0.02535211267605634
clock_motion,text_00_coins,10,0,848.0,892.0,26.0,20.0,0.5418632075471698,0.6713845291479821,0.09905660377358491,0.15695067264573992,0.38207547169811323,0.5112107623318386,84.0,140.0,2.2641509433962264,1.8654708520179373,30.0,26.0,0.41648000478744507,0.41145601868629456,0.05188679245283019
clock_motion,text_01_clock_motion,11,0,964.0,976.0,29.0,21.0,0.4679719917012448,0.6470286885245902,0.13692946058091288,0.16393442622950818,0.3775933609958506,0.48360655737704916,132.0,160.0,2.190871369294606,1.7704918032786885,33.0,27.0,0.4203200042247772,0.40278398990631104,0.012448132780082987
clock_motion,text_00_coins,12,0,848.0,864.0,28.0,22.0,0.5527712264150944,0.6015625,0.1792452830188679,0.10185185185185185,0.4245283018867924,0.3935185185185185,152.0,88.0,2.4150943396226414,2.0,32.0,27.0,0.415583997964859,0.4180160164833069,0.018867924528301886
clock_motion,text_04_color_wheel,13,0,1104.0,1060.0,28.0,26.0,0.5471014492753623,0.559316037735849,0.18115942028985507,0.10943396226415095,0.463768115942029,0.3622641509433962,200.0,116.0,2.028985507246377,1.9924528301886792,35.0,33.0,0.418783962726593,0.41488000750541687,0.03985507246376811
clock_motion,text_00_coins,14,0,1136.0,1272.0,30.0,26.0,0.5105633802816901,0.5792059748427673,0.13380281690140844,0.1761006289308176,0.37676056338028163,0.4339622641509434,152.0,224.0,2.028169014084507,1.7610062893081762,36.0,35.0,0.44115200638771057,0.4302079677581787,0.11971830985915492
clock_motion,text_05_coffee,15,0,852.0,816.0,30.0,21.0,0.5887617370892019,0.6917892156862745,0.2347417840375587,0.25,0.49295774647887325,0.5294117647058824,200.0,204.0,2.6291079812206575,3.450980392156863,35.0,22.0,0.4254400134086609,0.4151039719581604,0.04225352112676056
clock_motion,text_01_clock_motion,16,0,876.0,988.0,29.0,26.0,0.5318207762557078,0.7025556680161943,0.2054794520547945,0.2631578947368421,0.4520547945205479,0.603238866396761,180.0,260.0,2.4840182648401825,2.331983805668016,34.0,36.0,0.4159679710865021,0.4273599684238434,0.1278538812785388
clock_motion,text_00_coins,17,0,704.0,896.0,26.0,19.0,0.5458096590909091,0.6554129464285714,0.19318181818181818,0.14285714285714285,0.43750000000000006,0.4419642857142857,136.0,128.0,2.6363636363636362,1.7857142857142858,29.0,25.0,0.40934398770332336,0.4119679927825928,0.2727272727272727
clock_motion,text_07_camera,18,0,1224.0,1364.0,29.0,23.0,0.6699346405228758,0.7073863636363636,0.2647058823529412,0.21114369501466276,0.5816993464052288,0.6275659824046921,324.0,288.0,2.0915032679738563,2.627565982404692,40.0,28.0,0.4222400188446045,0.42393600940704346,0.11437908496732026
clock_motion,text_00_coins,19,0,664.0,1252.0,24.0,23.0,0.6148343373493976,0.6879992012779552,0.13253012048192772,0.19169329073482427,0.46987951807228917,0.5910543130990416,88.0,240.0,2.602409638554217,1.584664536741214,27.0,31.0,0.416128009557724,0.44044801592826843,0.8855421686746988
clock_motion,text_04_color_wheel,20,0,1332.0,1308.0,28.0,23.0,0.5318130630630631,0.7005925076452599,0.11711711711711711,0.21406727828746178,0.37237237237237236,0.5229357798165137,156.0,280.0,1.8738738738738738,2.6422018348623855,39.0,27.0,0.42953601479530334,0.4103359878063202,0.018018018018018018
clock_motion,text_02_cat,21,0,1176.0,1172.0,31.0,17.0,0.5809948979591837,0.8083404436860068,0.20408163265306123,0.2627986348122867,0.47278911564625853,0.7337883959044369,240.0,308.0,2.122448979591837,2.2935153583617747,39.0,21.0,0.43747198581695557,0.4079359769821167,0.003401360544217687
clock_motion,text_00_coins,22,0,824.0,856.0,23.0,21.0,0.585254854368932,0.6664719626168224,0.19902912621359223,0.14485981308411214,0.43689320388349506,0.5093457943925234,164.0,124.0,2.0194174757281553,1.8691588785046729,26.0,25.0,0.4025280177593231,0.4113920032978058,0.038834951456310676
clock_motion,text_02_cat,23,0,1144.0,1132.0,30.0,27.0,0.5255681818181818,0.6279814487632509,0.1258741258741259,0.17314487632508835,0.3986013986013986,0.5477031802120141,144.0,196.0,2.06993006993007,3.392226148409894,37.0,30.0,0.4363200068473816,0.4245760142803192,0.01048951048951049
clock_motion,text_02_cat,24,0,1048.0,1100.0,28.0,25.0,0.48711832061068705,0.6621590909090909,0.09923664122137404,0.18545454545454546,0.3473282442748092,0.5090909090909091,104.0,204.0,2.015267175572519,3.0254545454545454,33.0,26.0,0.41862401366233826,0.4318399727344513,0.04961832061068702
clock_motion,text_04_color_wheel,25,0,1052.0,1060.0,32.0,25.0,0.46589828897338403,0.6189858490566038,0.10646387832699619,0.1509433962264151,0.33840304182509506,0.4377358490566038,112.0,160.0,2.311787072243346,1.9320754716981132,38.0,32.0,0.4387839734554291,0.4139839708805084,0.0076045627376425855
clock_motion,text_00_coins,26,0,1180.0,1184.0,29.0,23.0,0.5113347457627119,0.6199324324324325,0.19661016949152543,0.19594594594594594,0.43389830508474575,0.4425675675675676,232.0,232.0,1.8983050847457628,1.7837837837837838,35.0,33.0,0.43487998843193054,0.4049280285835266,0.003389830508474576
clock_motion,text_05_coffee,27,0,956.0,1000.0,29.0,20.0,0.5524320083682008,0.71,0.2175732217573222,0.156,0.45606694560669453,0.5519999999999999,208.0,156.0,2.209205020920502,2.944,33.0,23.0,0.41686397790908813,0.41760000586509705,0.04602510460251046
clock_motion,text_01_clock_motion,28,0,856.0,876.0,29.0,24.0,0.545268691588785,0.6867865296803652,0.14485981308411214,0.1461187214611872,0.40186915887850466,0.5707762557077625,124.0,128.0,2.392523364485981,2.1187214611872145,32.0,29.0,0.41599997878074646,0.4063999652862549,0.02336448598130841
clock_motion,text_00_coins,29,0,772.0,972.0,30.0,20.0,0.4107836787564767,0.6132973251028807,0.09326424870466321,0.09465020576131687,0.2849740932642487,0.3662551440329218,72.0,92.0,2.569948186528497,1.7777777777777777,31.0,27.0,0.426688015460968,0.3984000086784363,0.25906735751295334
