active_id,call_id,cuda_device,duration_ms,grid_thw,input_shape,output_dtype,output_path,output_shape,pid
single_control,16,1,20.465824127197266,"[[1, 28, 28]]","[784, 1536]",torch.bfloat16,/home/esjung/MLLM-EP-github/poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0016_single_control_pid1836934.pt,"[196, 8192]",1836934
multi_2,17,1,30.856992721557617,"[[1, 28, 28], [1, 28, 28]]","[1568, 1536]",torch.bfloat16,/home/esjung/MLLM-EP-github/poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0017_multi_2_pid1836934.pt,"[392, 8192]",1836934
multi_4,18,1,38.489376068115234,"[[1, 28, 28], [1, 28, 28], [1, 28, 28], [1, 28, 28]]","[3136, 1536]",torch.bfloat16,/home/esjung/MLLM-EP-github/poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0018_multi_4_pid1836934.pt,"[784, 8192]",1836934
prefix_1,19,1,20.165151596069336,"[[1, 28, 28]]","[784, 1536]",torch.bfloat16,/home/esjung/MLLM-EP-github/poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0019_prefix_1_pid1836934.pt,"[196, 8192]",1836934
prefix_2,20,1,20.697280883789062,"[[1, 28, 28], [1, 28, 28]]","[1568, 1536]",torch.bfloat16,/home/esjung/MLLM-EP-github/poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0020_prefix_2_pid1836934.pt,"[392, 8192]",1836934
prefix_3,21,1,35.64457702636719,"[[1, 28, 28], [1, 28, 28], [1, 28, 28]]","[2352, 1536]",torch.bfloat16,/home/esjung/MLLM-EP-github/poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0021_prefix_3_pid1836934.pt,"[588, 8192]",1836934
prefix_4,22,1,20.321760177612305,"[[1, 28, 28], [1, 28, 28], [1, 28, 28], [1, 28, 28]]","[3136, 1536]",torch.bfloat16,/home/esjung/MLLM-EP-github/poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0022_prefix_4_pid1836934.pt,"[784, 8192]",1836934
independent_1,23,1,19.20467185974121,"[[1, 28, 28]]","[784, 1536]",torch.bfloat16,/home/esjung/MLLM-EP-github/poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0023_independent_1_pid1836934.pt,"[196, 8192]",1836934
independent_2,24,1,21.042688369750977,"[[1, 28, 28]]","[784, 1536]",torch.bfloat16,/home/esjung/MLLM-EP-github/poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0024_independent_2_pid1836934.pt,"[196, 8192]",1836934
independent_3,25,1,21.142431259155273,"[[1, 28, 28]]","[784, 1536]",torch.bfloat16,/home/esjung/MLLM-EP-github/poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0025_independent_3_pid1836934.pt,"[196, 8192]",1836934
independent_4,26,1,28.438047409057617,"[[1, 28, 28]]","[784, 1536]",torch.bfloat16,/home/esjung/MLLM-EP-github/poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0026_independent_4_pid1836934.pt,"[196, 8192]",1836934
single_control,27,1,19.55084800720215,"[[1, 28, 28]]","[784, 1536]",torch.bfloat16,/home/esjung/MLLM-EP-github/poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0027_single_control_pid1836934.pt,"[196, 8192]",1836934
multi_2,28,1,19.15123176574707,"[[1, 28, 28], [1, 28, 28]]","[1568, 1536]",torch.bfloat16,/home/esjung/MLLM-EP-github/poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0028_multi_2_pid1836934.pt,"[392, 8192]",1836934
multi_4,29,1,19.869247436523438,"[[1, 28, 28], [1, 28, 28], [1, 28, 28], [1, 28, 28]]","[3136, 1536]",torch.bfloat16,/home/esjung/MLLM-EP-github/poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0029_multi_4_pid1836934.pt,"[784, 8192]",1836934
prefix_1,30,1,19.411680221557617,"[[1, 28, 28]]","[784, 1536]",torch.bfloat16,/home/esjung/MLLM-EP-github/poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0030_prefix_1_pid1836934.pt,"[196, 8192]",1836934
prefix_2,31,1,18.877952575683594,"[[1, 28, 28], [1, 28, 28]]","[1568, 1536]",torch.bfloat16,/home/esjung/MLLM-EP-github/poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0031_prefix_2_pid1836934.pt,"[392, 8192]",1836934
prefix_3,32,1,19.10691261291504,"[[1, 28, 28], [1, 28, 28], [1, 28, 28]]","[2352, 1536]",torch.bfloat16,/home/esjung/MLLM-EP-github/poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0032_prefix_3_pid1836934.pt,"[588, 8192]",1836934
prefix_4,33,1,20.22537612915039,"[[1, 28, 28], [1, 28, 28], [1, 28, 28], [1, 28, 28]]","[3136, 1536]",torch.bfloat16,/home/esjung/MLLM-EP-github/poc_flashvep/deepep_revalidation/results/visual_streaming_prefill_poc_20260903_150121_rep3/vision_outputs/vision_0033_prefix_4_pid1836934.pt,"[784, 8192]",1836934
