context,iteration,layer,rank,n,g,q,histogram,block_m,dispatch_ms,expert_ms,combine_ms,dispatch_expert_overlap_ms,expert_combine_overlap_ms,previous_expert_ms,previous_combine_ms,static_median_ms,tail
serving,21,32,3,4452,30,54,"170,856,236,94,22,142,300,176,6,0,74,2,12,40,0,276,2,62,64,50,78,286,40,4,4,292,136,240,68,636,82,2",128,0.3171840012073517,0.5480319857597351,0.22646400332450867,0.0,0.125,0.5564799904823303,0.20947200059890747,0.5624800026416779,False
serving,21,33,3,4228,30,51,"226,56,252,8,638,34,324,12,60,70,462,82,4,6,240,290,216,4,120,32,300,6,70,0,2,196,170,0,12,280,2,54",128,0.28355199098587036,0.5544319748878479,0.17615999281406403,0.0,0.10546875,0.5480319857597351,0.22646400332450867,0.547327995300293,False
serving,21,34,3,4664,31,57,"0,22,228,746,346,114,30,134,38,290,30,140,28,176,192,352,28,164,50,18,38,10,38,266,102,26,26,66,532,16,140,278",128,0.31404799222946167,0.5442879796028137,0.18143999576568604,0.0,0.109375,0.5544319748878479,0.17615999281406403,0.5507840216159821,False
serving,21,35,3,3052,31,46,"162,288,66,434,76,4,20,260,38,4,156,8,30,94,14,48,0,4,14,196,90,48,4,26,182,64,202,24,6,184,292,14",128,0.2715199887752533,0.5323839783668518,0.18649600446224213,0.0,0.09375,0.5442879796028137,0.18143999576568604,0.5321120023727417,False
serving,21,36,3,6184,31,67,"162,40,6,290,52,22,208,512,74,36,28,258,118,24,2,86,758,0,180,10,78,536,128,1042,48,22,22,88,48,22,568,716",128,0.3064959943294525,0.5806400179862976,0.2115200012922287,0.0,0.13671875,0.5323839783668518,0.18649600446224213,0.5809760093688965,False
serving,21,37,3,5080,31,57,"2,48,92,122,14,10,242,222,170,26,136,134,6,220,18,0,478,220,42,166,2,558,234,74,376,66,90,296,180,238,28,570",128,0.3373439908027649,0.567359983921051,0.17363199591636658,0.0,0.1015625,0.5806400179862976,0.2115200012922287,0.5633760094642639,False
serving,21,38,3,5266,31,59,"276,38,214,6,186,84,160,10,42,104,150,102,126,38,42,92,1140,50,0,24,46,74,286,550,106,70,152,260,322,154,350,12",128,0.2760320007801056,0.5469759702682495,0.16470399498939514,0.0,0.08984375,0.567359983921051,0.17363199591636658,0.5591519773006439,False
serving,21,39,3,5424,29,59,"0,34,92,60,104,232,22,102,360,180,152,210,4,24,146,10,46,1066,0,92,2,98,16,0,146,10,22,838,28,502,612,214",128,0.2841919958591461,0.5337920188903809,0.21334399282932281,0.0,0.09765625,0.5469759702682495,0.16470399498939514,0.5559040009975433,False
serving,21,40,3,5044,27,53,"0,32,84,206,268,534,10,90,0,190,332,118,120,248,206,124,556,130,116,220,12,0,0,92,150,82,10,80,268,0,746,20",128,0.2948800027370453,0.5591359734535217,0.22499200701713562,0.0,0.1015625,0.5337920188903809,0.21334399282932281,0.5539519786834717,False
serving,21,41,3,3168,29,44,"34,84,166,208,38,0,4,74,8,156,24,0,184,4,338,18,26,928,40,144,32,62,54,68,38,2,114,36,66,0,198,20",128,0.33641600608825684,0.5231360197067261,0.20742399990558624,0.0,0.07421875,0.5591359734535217,0.22499200701713562,0.5200000107288361,False
