hypothesis,experiment,variant,pair_index,requests,prompt_words,output_tokens_requested,image_count,wave_e2e_ms,sum_request_e2e_ms,request_e2e_p50_ms,request_e2e_p90_ms,request_e2e_p99_ms,ttft_p50_ms,ttft_p99_ms
H38,metadata_step_recurrence,A,351,8,2048,8,0,202.773473,1604.969687,200.66421350000002,201.3333518,201.70726058,200.616372,201.60559621
H38,metadata_step_recurrence,A,352,8,2048,8,0,192.313853,1521.553765,190.0948055,190.9701816,191.33574665999998,190.0411165,191.24380608
H38,metadata_step_recurrence,A,354,8,2048,8,0,196.584029,1555.068963,194.22671350000002,195.36315879999998,195.71361897999998,194.1842215,195.60962892999999
H38,metadata_step_recurrence,A,359,8,2048,8,0,195.458986,1546.443714,193.34439500000002,194.0547036,194.45660705999998,193.2955295,194.36013841
H38,metadata_step_recurrence,A,360,8,2048,8,0,192.11761,1521.125195,190.181141,190.7906209,191.10315319,190.13518,191.01585258999998
H38,metadata_step_recurrence,A,361,8,2048,8,0,195.871508,1550.7882359999999,193.89472,194.5619671,194.86640011,193.838349,194.77362148999998
H38,metadata_step_recurrence,A,363,8,2048,8,0,209.318769,1656.8586140000002,207.13820850000002,207.88824350000002,208.27237025000002,207.0894365,208.1781972
H38,metadata_step_recurrence,A,364,8,2048,8,0,192.41829,1522.866175,190.2733485,191.1476787,191.47833987,190.20974999999999,191.38614282
H38,metadata_step_recurrence,A,366,8,2048,8,0,200.861963,1569.73351,196.357155,200.05128249999999,200.45017015000002,196.300008,200.38388168
H38,metadata_step_recurrence,A,371,8,2048,8,0,197.291892,1561.2004029999998,195.04824200000002,195.9767639,196.36239509,194.99699049999998,196.26468919
H38,metadata_step_recurrence,A,372,8,2048,8,0,203.58006,1611.7863949999999,201.4012955,202.2479069,202.56806849,201.3306525,202.47596234
H38,metadata_step_recurrence,A,373,8,2048,8,0,191.899038,1519.150552,189.96410400000002,190.6081512,190.90262202,189.9135205,190.81353432
H38,metadata_step_recurrence,A,375,8,2048,8,0,194.978022,1542.483886,192.7123665,193.6350335,194.02387894999998,192.65749549999998,193.93174429
H38,metadata_step_recurrence,A,376,8,2048,8,0,192.480357,1524.268527,190.56742450000002,191.1729021,191.46490521,190.521036,191.37696789999998
