mini_batch_size,phase,stage,sampled_layer_invocations,critical_rank_median_ms,critical_rank_mean_ms,critical_rank_p95_ms
16,early,attention,51,0.578432023525238,0.7542443929934034,1.6794559955596924
16,early,mlp,51,14.40719985961914,15.1070463143143,17.27553653717041
16,early,block,51,15.521216198801994,16.511584670995088,19.381280651316047
16,middle,router,81,5.8466877937316895,6.07947693342044,6.926271915435791
16,middle,dispatch,81,0.4731200039386749,0.6288173833379039,1.8154879808425903
16,middle,expert,81,0.9258880019187927,0.9340732826126946,1.0327999591827393
16,middle,combine,81,0.17315199971199036,0.1724408894409368,0.2526080012321472
16,middle,shared,81,0.032127998769283295,0.03833758007781005,0.033663999289274216
16,middle,gather,81,0.04560000076889992,0.05831980268344467,0.14870400726795197
16,middle,attention,81,0.5921919941902161,0.6421807367860535,0.927839994430542
16,middle,mlp,81,14.407967567443848,14.884152106296868,17.24118423461914
16,middle,block,81,15.476928252726793,16.117487411601125,18.82857629097998
16,late,router,99,5.799583911895752,4.761710226535797,6.089369440078736
16,late,dispatch,99,0.3911359906196594,0.41480565703276434,0.6641151845455167
16,late,expert,99,0.9217600226402283,0.8734694153371484,1.044700813293457
16,late,combine,99,0.16060799360275269,0.16003523277814943,0.22689600586891162
16,late,shared,99,0.03219199925661087,0.16074828600341623,0.26289919316768623
16,late,gather,99,0.045951999723911285,0.07343709064327707,0.17190399318933478
16,late,attention,99,0.5745599865913391,0.5884247277722214,0.6691424071788787
16,late,mlp,99,14.302911758422852,12.239141136708886,14.865958690643309
16,late,block,99,15.225248257629573,13.309873420001958,16.085401842184364
32,all,router,195,7.386591911315918,6.611179959468353,11.49737606048584
32,all,dispatch,195,0.6728960275650024,0.7049086353717706,1.0473248004913323
32,all,expert,195,0.9681919813156128,0.9019818678880349,1.1188415884971619
32,all,combine,195,0.1796800047159195,0.18334063595304123,0.2933888018131256
32,all,shared,195,0.03532800078392029,0.2757636937575463,1.8208063483238128
32,all,gather,195,0.05158400163054466,0.07625878961422504,0.19693120419979082
32,all,attention,195,0.571615993976593,0.5616462774765797,0.6573664128780365
32,all,mlp,195,17.224512100219727,15.816834441209451,25.65056953430175
32,all,block,195,18.41459167096764,16.913335283415822,27.160122226458043
32,early,router,6,11.568576335906982,11.872911930084229,13.024551630020142
32,early,dispatch,6,0.9364320039749146,1.2412000199158986,2.5180400609970093
32,early,expert,6,1.0499359965324402,1.0267360210418701,1.0923920273780823
32,early,combine,6,0.2614879906177521,0.2756639967362086,0.35040800273418427
32,early,shared,6,0.03590399958193302,0.03597866681714853,0.03673600126057863
32,early,gather,6,0.054287999868392944,0.05447466609378656,0.056040000170469284
32,early,attention,6,1.4982560276985168,1.3597119947274525,1.6035199463367462
32,early,mlp,6,26.35371208190918,26.721055666605633,28.630839824676514
32,early,block,6,28.334704054053873,28.802170328175027,31.1227358141914
32,middle,router,81,10.63871955871582,10.318396815547237,11.519455909729004
32,middle,dispatch,81,0.8258879780769348,0.8783008382644182,1.1059520244598389
32,middle,expert,81,1.0406399965286255,1.0599205979594477,1.142848014831543
32,middle,combine,81,0.20163199305534363,0.21434508641192943,0.31091201305389404
32,middle,shared,81,0.03551999852061272,0.08928829537313661,0.037696000188589096
32,middle,gather,81,0.05158400163054466,0.06155812335603031,0.05555199831724167
32,middle,attention,81,0.4506880044937134,0.47986251962037735,0.633791983127594
32,middle,mlp,81,23.862367630004883,23.361217145566588,26.04854393005371
32,middle,block,81,24.623040242120624,24.371051418618013,27.190272005274892
32,late,router,108,2.927024006843567,3.5384488745971963,7.711857581138609
32,late,dispatch,108,0.524511992931366,0.5450705173942778,0.9089840054512021
32,late,expert,108,0.8164159953594208,0.7765970340481511,1.0248528420925138
32,late,combine,108,0.14446400105953217,0.15495822250981023,0.24344639629125595
32,late,shared,108,0.03284800052642822,0.4289416329314311,3.524288022518157
32,late,gather,108,0.04707200080156326,0.0884945183923399,0.20288000255823135
32,late,attention,108,0.5889279842376709,0.5786471115770163,0.6422159880399704
32,late,mlp,108,8.494592189788818,9.552757344864032,18.892881965637194
32,late,block,108,9.426480191759765,10.659557346194223,20.251482957322132
