Range,Style,Total Proj Time (ns),Total Range Time (ns),Range Instances,Proj Avg (ns),Proj Med (ns),Proj Min (ns),Proj Max (ns),Proj StdDev (ns),Total GPU Ops,Avg GPU Ops,Avg Range Lvl,Avg Num Child
CCCL:cub::DeviceReduce::Sum,PushPop,323071,21715326,192,1682.7,1696.0,1536,1888,74.7,192,1.0,0.0,0.0
:flashvep_phase1b/combine_dpep_agrs/layer_0/iter_0/rank_0,PushPop,232320,503431,1,232320.0,232320.0,232320,232320,0.0,1,1.0,2.0,1.0
:flashvep_phase1b/dispatch_dpep_agrs/layer_0/iter_0/rank_1,PushPop,200415,2115687,1,200415.0,200415.0,200415,200415,0.0,1,1.0,2.0,1.0
:flashvep_phase1b/combine_tp_allgather_after_dpep/layer_0/iter_0/rank_0,PushPop,186015,500205,1,186015.0,186015.0,186015,186015,0.0,1,1.0,1.0,1.0
:flashvep_phase1b/local_expert_execution/layer_36/iter_0/rank_1,PushPop,139744,470737,1,139744.0,139744.0,139744,139744,0.0,8,8.0,2.0,0.0
:flashvep_phase1b/local_expert_execution/layer_47/iter_0/rank_0,PushPop,139552,441744,1,139552.0,139552.0,139552,139552,0.0,8,8.0,2.0,0.0
:flashvep_phase1b/local_expert_execution/layer_36/iter_0/rank_0,PushPop,137664,455219,1,137664.0,137664.0,137664,137664,0.0,8,8.0,2.0,0.0
:flashvep_phase1b/local_expert_execution/layer_24/iter_0/rank_0,PushPop,136831,458509,1,136831.0,136831.0,136831,136831,0.0,8,8.0,2.0,0.0
:flashvep_phase1b/local_expert_execution/layer_24/iter_0/rank_1,PushPop,134432,460376,1,134432.0,134432.0,134432,134432,0.0,8,8.0,2.0,0.0
:flashvep_phase1b/local_expert_execution/layer_12/iter_0/rank_1,PushPop,132384,483051,1,132384.0,132384.0,132384,132384,0.0,8,8.0,2.0,0.0
:flashvep_phase1b/local_expert_execution/layer_12/iter_0/rank_0,PushPop,130240,470874,1,130240.0,130240.0,130240,130240,0.0,8,8.0,2.0,0.0
:flashvep_phase1b/local_expert_execution/layer_47/iter_0/rank_1,PushPop,118911,459659,1,118911.0,118911.0,118911,118911,0.0,8,8.0,2.0,0.0
:flashvep_phase1b/attention_block/layer_12/iter_0/rank_0,PushPop,76480,743805,1,76480.0,76480.0,76480,76480,0.0,13,13.0,1.0,0.0
:flashvep_phase1b/attention_block/layer_36/iter_0/rank_0,PushPop,75616,719271,1,75616.0,75616.0,75616,75616,0.0,13,13.0,1.0,0.0
:flashvep_phase1b/attention_block/layer_24/iter_0/rank_0,PushPop,75008,730425,1,75008.0,75008.0,75008,75008,0.0,13,13.0,1.0,0.0
:flashvep_phase1b/attention_block/layer_36/iter_0/rank_1,PushPop,74944,733434,1,74944.0,74944.0,74944,74944,0.0,13,13.0,1.0,0.0
:flashvep_phase1b/attention_block/layer_47/iter_0/rank_1,PushPop,74080,735597,1,74080.0,74080.0,74080,74080,0.0,13,13.0,1.0,0.0
