scope,layer,placement,fit_profile,eval_profile,optimizer,tokens,assignments,mean_u,median_u,p90_u,p_u4,p_u_ge3,rank_load_max,rank_load_mean,rank_load_cv,rank_load_max_mean,critical_rank,remote_volume_proxy
layer,40,P_joint_1,all,vision,joint_surrogate_lambda_1,15929,127432,3.656601167681587,4.0,4.0,0.6734886056877394,0.9831125619938477,33854,31858.0,0.0609449760925391,1.0626530227886246,0,42317.0
layer,40,P_joint_1,all,text,joint_surrogate_lambda_1,15930,127440,3.7202762084118017,4.0,4.0,0.7289391086001256,0.9913370998116761,34981,31860.0,0.061235019410480145,1.0979598242310107,2,43334.0
layer,40,P_V_load,vision,all,modality_greedy_load+swap,31859,254872,3.673749960764619,4.0,4.0,0.6847672557205186,0.9889827050441006,69504,63718.0,0.05346021859751308,1.0908063655481968,0,85183.0
layer,40,P_V_load,vision,vision,modality_greedy_load+swap,15929,127432,3.6667712976332476,4.0,4.0,0.6758741917257831,0.9908971059074644,31859,31858.0,2.2195579797430712e-05,1.0000313892899744,2,42479.0
layer,40,P_V_load,vision,text,modality_greedy_load+swap,15930,127440,3.6807281858129315,4.0,4.0,0.6936597614563716,0.98706842435656,37646,31860.0,0.10691969576882672,1.1816070307595732,0,42704.0
layer,40,P_T_load,text,all,modality_greedy_load+swap,31859,254872,3.6969459179509716,4.0,4.0,0.7073668351172353,0.9895790828337362,67654,63718.0,0.04136417082650645,1.0617721836843592,3,85922.0
layer,40,P_T_load,text,vision,modality_greedy_load+swap,15929,127432,3.65647561052169,4.0,4.0,0.6692196622512399,0.9872559482704502,35794,31858.0,0.08271973377722323,1.1235482453386905,3,42315.0
layer,40,P_T_load,text,text,modality_greedy_load+swap,15930,127440,3.737413684871312,4.0,4.0,0.7455116133082235,0.9919020715630885,31861,31860.0,2.2194186477920512e-05,1.000031387319523,2,43607.0
layer,40,P_V_sat,vision,all,modality_coactivation_surrogate+swap,31859,254872,3.156376534103393,3.0,4.0,0.34972849116419225,0.8270504410056813,114680,63718.0,0.5083922494426674,1.7998053925107504,0,68700.0
layer,40,P_V_sat,vision,vision,modality_coactivation_surrogate+swap,15929,127432,3.0089773369326385,3.0,4.0,0.27032456525833387,0.7682214828300584,59878,31858.0,0.5915794678735329,1.8795279050787872,0,32001.0
layer,40,P_V_sat,vision,text,modality_coactivation_surrogate+swap,15930,127440,3.3037664783427494,3.0,4.0,0.42912743251726304,0.8858757062146893,54802,31860.0,0.4424758435660952,1.720087884494664,0,36699.0
layer,40,P_T_sat,text,all,modality_coactivation_surrogate+swap,31859,254872,2.758027558931542,3.0,4.0,0.2227000219718133,0.6144574531529552,125929,63718.0,0.5871127323962387,1.9763489123952416,0,56009.0
layer,40,P_T_sat,text,vision,modality_coactivation_surrogate+swap,15929,127432,3.263481700043945,3.0,4.0,0.40278736894971434,0.8662816247096491,41039,31858.0,0.18198730044496234,1.2881850712536882,0,36055.0
