result,batch_id,condition,modality,concurrency,control_iteration,chunk_index,layer,scheduled_tokens,scheduled_requests,scheduler_mode,N,rank_max,rank_mean,rank_ratio,rank_cv,hottest_rank,expert_max_ms,expert_mean_ms,expert_ratio,dispatch_max_ms,dispatch_mean_ms,dispatch_ratio,combine_max_ms,combine_mean_ms,combine_ratio,active_experts,effective_experts,tiny_expert_fraction,total_ms,run
poc_flashvep/deepep_revalidation/results/ep4_serving_straggler_regime_20260901_1340,text_only_c1_i1,text_only,text,1,0,0,29,128,1,prefill,1040.0,314.0,260.0,1.2076923076923076,0.1392870689402447,2,0.4192320108413696,0.4118079990148544,1.0180278475509832,0.3561600148677826,0.30069600045681,1.1844521188400012,0.0905279964208602,0.0879999976605176,1.0287272594039718,93,56.47573456404077,0.3978494623655914,0.8659200221300125,ep4_serving_straggler_regime_20260901_1340
poc_flashvep/deepep_revalidation/results/ep4_serving_straggler_regime_20260901_1340,text_only_c1_i1,text_only,text,1,0,0,30,128,1,prefill,1040.0,414.0,260.0,1.5923076923076922,0.3481459770007046,2,0.4275520145893097,0.4164879992604255,1.0265650279204466,0.3237760066986084,0.2887119948863983,1.12144979229563,0.1208639964461326,0.1105519980192184,1.0932773591764626,91,44.13890710745402,0.4945054945054945,0.8721920177340508,ep4_serving_straggler_regime_20260901_1340
poc_flashvep/deepep_revalidation/results/ep4_serving_straggler_regime_20260901_1340,text_only_c1_i1,text_only,text,1,0,0,31,128,1,prefill,1040.0,330.0,260.0,1.2692307692307692,0.1575750032740115,0,0.4275200068950653,0.4126880019903183,1.0359399954280597,0.3504000008106231,0.289632000029087,1.2098110732772391,0.099711999297142,0.0923199988901615,1.0800693294610544,90,50.4903196195725,0.4222222222222222,0.8776320070028305,ep4_serving_straggler_regime_20260901_1340
poc_flashvep/deepep_revalidation/results/ep4_serving_straggler_regime_20260901_1340,text_only_c1_i1,text_only,text,1,0,0,32,128,1,prefill,1040.0,390.0,260.0,1.5,0.2914841638090812,1,0.4297280013561249,0.4154080003499985,1.0344721358136126,0.495712012052536,0.4110000059008598,1.2061119341494857,0.1148800030350685,0.0960480011999607,1.1960686490070915,100,55.365587582799215,0.4,1.0403200164437294,ep4_serving_straggler_regime_20260901_1340
poc_flashvep/deepep_revalidation/results/ep4_serving_straggler_regime_20260901_1340,text_only_c1_i1,text_only,text,1,0,0,33,128,1,prefill,1040.0,308.0,260.0,1.1846153846153846,0.1901221967686625,3,0.4068480134010315,0.400064006447792,1.016957303941125,0.3566080033779144,0.2972240000963211,1.1997954514519311,0.093759998679161,0.0909199994057416,1.031236243862536,89,52.72024477790138,0.4269662921348314,0.857216015458107,ep4_serving_straggler_regime_20260901_1340
poc_flashvep/deepep_revalidation/results/ep4_serving_straggler_regime_20260901_1340,text_only_c1_i1,text_only,text,1,0,0,34,128,1,prefill,1040.0,275.0,260.0,1.0576923076923077,0.0811802727661747,2,0.4225600063800812,0.4018160030245781,1.0516256276488676,0.3437440097332001,0.3004320040345192,1.1441657517076789,0.1099840030074119,0.092408001422882,1.190199996903923,97,62.89051202780788,0.3402061855670103,0.8762880191206932,ep4_serving_straggler_regime_20260901_1340
poc_flashvep/deepep_revalidation/results/ep4_serving_straggler_regime_20260901_1340,text_only_c1_i1,text_only,text,1,0,0,35,128,1,prefill,1040.0,388.0,260.0,1.4923076923076923,0.315150006548023,0,0.4424319863319397,0.418287992477417,1.0577209824062217,0.3475520014762878,0.297495998442173,1.1682577355535244,0.1541440039873123,0.1194160003215074,1.290815331046975,95,57.638444346109445,0.3578947368421052,0.94412799179554,ep4_serving_straggler_regime_20260901_1340
poc_flashvep/deepep_revalidation/results/ep4_serving_straggler_regime_20260901_1340,text_only_c1_i1,text_only,text,1,0,0,36,128,1,prefill,1040.0,372.0,260.0,1.4307692307692308,0.2728872580779501,3,0.4192639887332916,0.4136799946427345,1.0134983421071149,0.4160319864749908,0.3398000001907348,1.224343691116733,0.0948479995131492,0.0915120001882314,1.036454228058134,101,59.91628669997876,0.4059405940594059,0.9301439747214316,ep4_serving_straggler_regime_20260901_1340
poc_flashvep/deepep_revalidation/results/ep4_serving_straggler_regime_20260901_1340,text_only_c1_i1,text_only,text,1,0,0,37,128,1,prefill,1040.0,331.0,260.0,1.273076923076923,0.2170437471241235,3,0.4339199960231781,0.4086880013346672,1.0617390151071473,0.364544004201889,0.3113519959151745,1.170842034046913,0.1550720036029815,0.1292480006814003,1.1998019527221788,96,60.06527581231638,0.3229166666666667,0.9535360038280488,ep4_serving_straggler_regime_20260901_1340
poc_flashvep/deepep_revalidation/results/ep4_serving_straggler_regime_20260901_1340,text_only_c1_i1,text_only,text,1,0,0,38,128,1,prefill,1040.0,280.0,260.0,1.0769230769230769,0.0574996784143309,2,0.4214400053024292,0.3994240015745163,1.055119381011473,0.5212159752845764,0.4416799992322922,1.1800760192685429,0.1131199970841407,0.1004879996180534,1.1257065272878406,99,66.05773262782564,0.2828282828282828,1.0557759776711464,ep4_serving_straggler_regime_20260901_1340
poc_flashvep/deepep_revalidation/results/ep4_serving_straggler_regime_20260901_1340,text_only_c1_i1,text_only,text,1,0,0,39,128,1,prefill,1040.0,329.0,260.0,1.265384615384615,0.2026634777336572,2,1.0723520517349243,0.5687120109796524,1.88558010211128,0.3375360071659088,0.292552001774311,1.1537641346453702,0.8062080144882202,0.6159200090914965,1.3089492183853637,93,59.95898417135498,0.3333333333333333,2.2160960733890533,ep4_serving_straggler_regime_20260901_1340
poc_flashvep/deepep_revalidation/results/ep4_serving_straggler_regime_20260901_1340,text_only_c1_i1,text_only,text,1,0,0,40,128,1,prefill,1040.0,320.0,260.0,1.2307692307692308,0.1363080395897642,2,0.5279359817504883,0.4186159893870353,1.2611462417465855,1.0412160158157349,0.7076640129089355,1.4713423274636996,0.2347200065851211,0.1943760011345148,1.2075565152854797,91,58.96223973329424,0.3296703296703296,1.8038720041513443,ep4_serving_straggler_regime_20260901_1340
poc_flashvep/deepep_revalidation/results/ep4_serving_straggler_regime_20260901_1340,text_only_c1_i1,text_only,text,1,0,0,41,128,1,prefill,1040.0,358.0,260.0,1.376923076923077,0.2579648386663688,2,0.4135679900646209,0.4091119989752769,1.0108918611541708,0.4855679869651794,0.4117119908332824,1.179387527631674,0.0959680005908012,0.0948399994522333,1.011893727805598,95,65.35301156704689,0.2842105263157894,0.9951039776206017,ep4_serving_straggler_regime_20260901_1340
poc_flashvep/deepep_revalidation/results/ep4_serving_straggler_regime_20260901_1340,text_only_c1_i1,text_only,text,1,0,0,42,128,1,prefill,1040.0,293.0,260.0,1.126923076923077,0.1424375706703169,0,0.4297600090503692,0.3945519998669624,1.0892354092623495,0.3634560108184814,0.3038640022277832,1.1961140778565365,0.1795199960470199,0.1491519995033741,1.2036043542477544,94,59.11977859938011,0.3404255319148936,0.9727360159158708,ep4_serving_straggler_regime_20260901_1340
poc_flashvep/deepep_revalidation/results/ep4_serving_straggler_regime_20260901_1340,text_only_c1_i1,text_only,text,1,0,0,43,128,1,prefill,1040.0,296.0,260.0,1.1384615384615384,0.1972443293070474,2,0.3920640051364898,0.3842560052871704,1.0203197861370683,0.315775990486145,0.2777439951896667,1.136931836349898,0.1217280030250549,0.112160000950098,1.085306722484907,94,49.63147613615027,0.4574468085106383,0.8295679986476898,ep4_serving_straggler_regime_20260901_1340
