run,condition,concurrency,n,scheduled_tokens_median,scheduled_tokens_max,scheduled_requests_max,rank_ratio_median,rank_ratio_p95,expert_ratio_median,expert_ratio_p95,dispatch_ratio_median,combine_ratio_median,expert_max_ms_median,dispatch_max_ms_median,combine_max_ms_median,tail15_fraction
ep4_serving_straggler_regime_20260901_2048,text_control,4,192,582.0,1036,3,1.2728583073958797,1.5699933303690528,1.031102336559515,1.1738357387323228,1.15121055644637,1.166534537220277,0.4622559994459152,0.3931040018796921,0.11435199901461596,0.0625
ep4_serving_straggler_regime_20260901_2048,text_control,8,288,152.0,2048,7,1.2902502375673106,1.5846153846153843,1.0330251863530746,1.20412307683163,1.1726754496372898,1.1526663315899928,0.41454400122165674,0.4089119881391525,0.1232639998197555,0.06944444444444445
ep4_serving_straggler_regime_20260901_2048,text_control,16,384,1240.0,2048,9,1.2840876675858137,1.5783032009164937,1.036469418514927,1.2321077633034336,1.204127730931551,1.1918150772311438,0.5278559923171997,0.4296319931745529,0.13502400368452067,0.09375
ep4_serving_straggler_regime_20260901_2048,text_only,1,96,128.0,128,1,1.2788461538461537,1.5846153846153843,1.0331739239990045,1.2319137272552956,1.1655080071538046,1.1243170532597824,0.4196159988641739,0.3866879940032959,0.1121599972248077,0.10416666666666667
ep4_serving_straggler_regime_20260901_2048,vision_heavy,1,96,128.0,128,1,1.2346153846153847,1.4153846153846157,1.0320122633928874,1.1444737625725743,1.1588738571541826,1.1354742646167568,0.41614401340484614,0.3871999979019165,0.11510400101542465,0.041666666666666664
ep4_serving_straggler_regime_20260901_2048,vision_heavy,2,192,188.0,248,1,1.202923076923077,1.465799999999999,1.0287001213860811,1.222900848933946,1.1566080123822626,1.138303782783968,0.42188799381256104,0.39009599387645716,0.1195360012352466,0.09375
ep4_serving_straggler_regime_20260901_2048,vision_heavy,4,192,582.0,1036,3,1.18070253445976,1.3701923076923075,1.027709650837552,1.1413795848200132,1.1684164154320564,1.182237340398132,0.4641119986772537,0.40729600191116333,0.10934399813413614,0.052083333333333336
ep4_serving_straggler_regime_20260901_2048,vision_heavy,8,288,152.0,2048,7,1.182391500904159,1.3727359389895135,1.0325156040482595,1.1268577551473675,1.1891981427361313,1.1752088746337659,0.43260799348354334,0.4081439971923828,0.1278560012578964,0.03819444444444445
ep4_serving_straggler_regime_20260901_2048,vision_heavy,16,384,1240.0,2048,9,1.1727859798963098,1.351852180624129,1.032760287413645,1.1729819036547018,1.2112944276008826,1.1865111961205814,0.5310719907283783,0.44118399918079376,0.12960000336170197,0.06510416666666667
ep4_serving_straggler_regime_20260901_2048,vision_single,1,96,128.0,128,1,1.2346153846153847,1.4153846153846157,1.0288506877711545,1.1372016507767235,1.1452527195258806,1.1359981565900537,0.4202719926834106,0.3824800103902817,0.1168799996376037,0.041666666666666664
ep4_serving_straggler_regime_20260901_4096,long_multi_image,1,96,3203.0,3203,1,1.1239862757330008,1.2796319401122895,1.050584789023633,1.1705566428778433,1.2686636009323156,1.2301818231142099,0.6558239758014679,0.5929120182991028,0.2113920003175735,0.0625
ep4_serving_straggler_regime_20260901_4096,long_multi_image,2,288,3203.0,4096,1,1.194633721303209,1.4763896790602724,1.0417668933752624,1.1275470865742954,1.2364105542851216,1.2144162784191082,0.6492320001125336,0.5121920108795166,0.19783999770879745,0.03819444444444445
ep4_serving_straggler_regime_20260901_4096,long_multi_image,4,480,4096.0,4096,2,1.1786553484391253,1.3892520953099285,1.059479037819222,1.2078582962728805,1.2531716971593911,1.220482766278395,0.6691360175609589,0.5401119887828827,0.23174399882555005,0.10833333333333334
ep4_serving_straggler_regime_20260901_4096,text_control,1,96,128.0,128,1,1.2788461538461537,1.5846153846153843,1.0349938100771585,1.2073289665741336,1.1957756597233007,1.1142932901165394,0.4183040112257004,0.40286400914192194,0.1135520003736019,0.07291666666666667
ep4_serving_straggler_regime_20260901_4096,text_control,2,192,188.0,248,1,1.2833076923076923,1.5740384615384613,1.0336320835471446,1.1695212018112005,1.1867808491407286,1.1006289673176157,0.41364799439907074,0.39534400403499603,0.1150720007717609,0.06770833333333333
ep4_serving_straggler_regime_20260901_4096,text_control,4,192,582.0,1036,3,1.2728583073958797,1.5699933303690528,1.0299650993460165,1.1864761050745578,1.1908738640531853,1.1475402391756604,0.45931200683116913,0.40932799875736237,0.11175999790430065,0.0625
ep4_serving_straggler_regime_20260901_4096,text_control,8,192,1164.0,2200,7,1.2720970446447284,1.5740384615384613,1.0325313917546104,1.15856404845239,1.195007993165388,1.156770849277046,0.5297759771347046,0.40995199978351593,0.12643199414014816,0.0625
ep4_serving_straggler_regime_20260901_4096,text_control,16,288,432.0,4096,15,1.2860973457971996,1.5846153846153843,1.039558739875242,1.1749340714734307,1.1753811614864402,1.1485657313589086,0.4379200041294098,0.42260800302028656,0.13596799969673154,0.06597222222222222
ep4_serving_straggler_regime_20260901_4096,text_only,1,96,128.0,128,1,1.2788461538461537,1.5846153846153843,1.033546041806763,1.1650101189540765,1.1858779519804163,1.1186600279709937,0.41150400042533875,0.39065600931644434,0.1099840030074119,0.052083333333333336
ep4_serving_straggler_regime_20260901_4096,vision_heavy,1,96,128.0,128,1,1.2346153846153847,1.4153846153846157,1.0265151836766462,1.1993733088061052,1.1789689039369042,1.08751106820243,0.413919985294342,0.3798559904098511,0.1103199981153011,0.0625
ep4_serving_straggler_regime_20260901_4096,vision_heavy,2,192,188.0,248,1,1.202923076923077,1.465799999999999,1.0271386123271107,1.195371906663422,1.1840191228793688,1.1023908096309958,0.42232000827789307,0.38993600010871887,0.11300799995660775,0.06770833333333333
ep4_serving_straggler_regime_20260901_4096,vision_heavy,4,192,582.0,1036,3,1.18070253445976,1.3701923076923075,1.0234723949199165,1.1329210854278853,1.1721566860203878,1.1382938713498394,0.4622559994459152,0.4055679887533188,0.10219199955463405,0.041666666666666664
ep4_serving_straggler_regime_20260901_4096,vision_heavy,8,192,1164.0,2200,7,1.1838154125620066,1.3701923076923075,1.0292029660617166,1.0963493217658435,1.215204636068105,1.1387857864067004,0.5343520045280457,0.41686399281024933,0.12432000041007996,0.036458333333333336
ep4_serving_straggler_regime_20260901_4096,vision_heavy,16,288,432.0,4096,15,1.1791117618350415,1.3615384615384616,1.0331326428791292,1.1762841106621478,1.2112489096400876,1.1237917518937752,0.45310400426387787,0.44174399971961975,0.1358560025691986,0.059027777777777776
ep4_serving_straggler_regime_20260901_4096,vision_single,1,96,128.0,128,1,1.2346153846153847,1.4153846153846157,1.0284196574897608,1.2407261249625439,1.1713297198341275,1.0970547111117055,0.41492800414562225,0.3816000074148178,0.10672000050544735,0.10416666666666667
ep4_serving_straggler_regime_20260901_8192,long_multi_image,1,96,3203.0,3203,1,1.1239862757330008,1.2796319401122895,1.0369489783904362,1.0756303325236147,1.3038089019493893,1.1644945551105241,0.6339200139045715,0.5516479909420013,0.18025599420070645,0.03125
ep4_serving_straggler_regime_20260901_8192,long_multi_image,2,192,4218.5,5234,1,1.1646253181701423,1.3054765087853324,1.0497929306006308,1.1372629813072859,1.2564617322257097,1.1701197324860866,0.6829120218753815,0.5852000117301941,0.2236480042338371,0.041666666666666664
ep4_serving_straggler_regime_20260901_8192,long_multi_image,4,288,5479.0,8192,2,1.1454417866731754,1.2872126960963153,1.0586594087642047,1.1328193957331678,1.2984366574117774,1.1669411239980982,0.7221600115299225,0.6702879965305328,0.31068800389766693,0.03819444444444445
ep4_serving_straggler_regime_20260901_8192,text_control,1,96,128.0,128,1,1.2788461538461537,1.5846153846153843,1.0328092165972849,1.2621944089894788,1.1954630942937543,1.1112900329722888,0.41316799819469446,0.4052160084247589,0.11489599943161011,0.07291666666666667
ep4_serving_straggler_regime_20260901_8192,text_control,2,192,188.0,248,1,1.2833076923076923,1.5740384615384613,1.032672435115564,1.152168771335306,1.1936564476028018,1.1221013261385138,0.4116480052471161,0.4002559930086136,0.1177120022475719,0.057291666666666664
ep4_serving_straggler_regime_20260901_8192,text_control,4,192,582.0,1036,3,1.2728583073958797,1.5699933303690528,1.0289813326983237,1.1395055759397295,1.1922970622953906,1.1504099634150853,0.4596959948539734,0.4023519903421402,0.11199999973177904,0.052083333333333336
ep4_serving_straggler_regime_20260901_8192,text_control,8,192,1164.0,2200,7,1.2720970446447284,1.5740384615384613,1.0362073169609398,1.1235384956600354,1.213268009590762,1.1423645328241259,0.5301119983196259,0.4243360012769699,0.12859199941158295,0.041666666666666664
ep4_serving_straggler_regime_20260901_8192,text_control,16,192,2328.0,4528,15,1.271748174562744,1.5740384615384613,1.04767465860634,1.2535899197788574,1.1967091197690392,1.1755062923416353,0.5997280180454254,0.50518399477005,0.21681600064039225,0.09375
ep4_serving_straggler_regime_20260901_8192,text_only,1,96,128.0,128,1,1.2788461538461537,1.5846153846153843,1.031484929213057,1.1285763708669245,1.187092992780325,1.1144999460422622,0.41155199706554413,0.3902080059051513,0.1097280010581016,0.041666666666666664
ep4_serving_straggler_regime_20260901_8192,vision_heavy,1,96,128.0,128,1,1.2346153846153847,1.4153846153846157,1.0281024584256313,1.1496697184832738,1.1754123506318828,1.1055767378449899,0.4116320013999939,0.38729600608348846,0.10987200215458864,0.052083333333333336
ep4_serving_straggler_regime_20260901_8192,vision_heavy,2,192,188.0,248,1,1.202923076923077,1.465799999999999,1.027591153020806,1.1663021653565266,1.180161668417834,1.1155762802799232,0.41705599427223206,0.3952479958534241,0.1154079996049404,0.057291666666666664
ep4_serving_straggler_regime_20260901_8192,vision_heavy,4,192,582.0,1036,3,1.18070253445976,1.3701923076923075,1.0246623491058844,1.145611908271484,1.1905703691872556,1.1421937247705993,0.46152000129222864,0.4005919992923736,0.1070079989731311,0.052083333333333336
ep4_serving_straggler_regime_20260901_8192,vision_heavy,8,192,1164.0,2200,7,1.1838154125620066,1.3701923076923075,1.0286270532081037,1.1460256267186948,1.2237572235904026,1.128944920932501,0.5386399924755096,0.4472479969263077,0.1236639991402626,0.046875
ep4_serving_straggler_regime_20260901_8192,vision_heavy,16,192,2328.0,4528,15,1.185795551027339,1.3701923076923075,1.0428806887804345,1.1604391037267263,1.205622255532584,1.1491714495234824,0.6613600254058838,0.5268959999084473,0.2098079994320869,0.07291666666666667
ep4_serving_straggler_regime_20260901_8192,vision_single,1,96,128.0,128,1,1.2346153846153847,1.4153846153846157,1.0341324415400481,1.3503649592183324,1.1880779539331177,1.1503408889498479,0.4215199947357178,0.393872007727623,0.12041600048542014,0.19791666666666666
ep4_serving_straggler_regime_20260901_mixed_c4b,mixed_prefill_decode,4,192,3179.0,4768,4,1.2223794549266245,1.5200062814070345,1.046739806285302,1.7557934491915095,1.182167428745942,1.2206952630402617,0.6622080206871033,0.4840639978647232,0.20619200170040125,0.08854166666666667
ep4_serving_straggler_regime_20260901_mixed_c8b,mixed_prefill_decode,8,288,3179.0,9535,7,1.2100062950229316,1.4128437374893852,1.051647990558826,1.2281127770577371,1.2372417331281618,1.207311633560681,0.6715520024299622,0.5288320183753967,0.22731199860572815,0.08333333333333333
