restart,scope,case_id,rows,max_abs,mean_abs,relative_l2,cosine,note
1,compacted,case_015_high_heterogeneity_control,276,0.0,0.0,0.0,1.0,independent BF16 grouped reduction-order comparison
1,compacted,case_016_real,1667,0.0,0.0,0.0,1.0,independent BF16 grouped reduction-order comparison
1,compacted,case_016_low_heterogeneity_control,1667,0.0,0.0,0.0,1.0,independent BF16 grouped reduction-order comparison
1,compacted,case_016_high_heterogeneity_control,1667,0.0,0.0,0.0,1.0,independent BF16 grouped reduction-order comparison
1,compacted,case_017_real,1525,0.0,0.0,0.0,1.0,independent BF16 grouped reduction-order comparison
1,compacted,case_017_low_heterogeneity_control,1525,0.0,0.0,0.0,1.0000001192092896,independent BF16 grouped reduction-order comparison
1,compacted,case_017_high_heterogeneity_control,1525,0.0,0.0,0.0,1.0,independent BF16 grouped reduction-order comparison
1,compacted,case_021_real,3,0.0,0.0,0.0,0.9999998807907104,independent BF16 grouped reduction-order comparison
1,compacted,case_021_low_heterogeneity_control,3,0.0,0.0,0.0,1.0,independent BF16 grouped reduction-order comparison
1,compacted,case_021_high_heterogeneity_control,3,0.0,0.0,0.0,1.0,independent BF16 grouped reduction-order comparison
1,compacted,case_022_real,15,0.0,0.0,0.0,1.0,independent BF16 grouped reduction-order comparison
1,compacted,case_022_low_heterogeneity_control,15,0.0,0.0,0.0,1.0,independent BF16 grouped reduction-order comparison
1,compacted,case_022_high_heterogeneity_control,15,0.0,0.0,0.0,1.0,independent BF16 grouped reduction-order comparison
1,compacted,case_025_real,12,0.0,0.0,0.0,1.0,independent BF16 grouped reduction-order comparison
1,compacted,case_025_low_heterogeneity_control,12,0.0,0.0,0.0,1.0,independent BF16 grouped reduction-order comparison
1,compacted,case_025_high_heterogeneity_control,12,0.0,0.0,0.0,1.0000001192092896,independent BF16 grouped reduction-order comparison
1,compacted,case_026_real,137,0.0,0.0,0.0,1.0,independent BF16 grouped reduction-order comparison
1,compacted,case_026_low_heterogeneity_control,137,0.0,0.0,0.0,0.9999999403953552,independent BF16 grouped reduction-order comparison
1,compacted,case_026_high_heterogeneity_control,137,0.0,0.0,0.0,1.0000001192092896,independent BF16 grouped reduction-order comparison
