task_id,request_id,source,layer,budget,rank,interval,expert_ms,wall_ms,dispatch_ms,combine_ms,expert_cv
coffee_rocket:0:256,coffee_rocket,short,0,256,0,"(256, 272)",0.3559999465942383,0.9616003036499023,0.08220767974853516,0.3168964385986328,0.5551710478840374
coffee_rocket:0:256,coffee_rocket,short,0,256,0,"(256, 495)",0.8353605270385742,1.344991683959961,0.11875152587890625,0.21823883056640625,0.37361533560765886
coffee_rocket:0:256,coffee_rocket,short,0,256,0,"(32, 272)",0.4950733184814453,0.8654403686523438,0.1265277862548828,0.07747268676757812,0.26233460587791
coffee_rocket:0:256,coffee_rocket,short,0,256,0,"(288, 479)",0.43532752990722656,0.7436466217041016,0.09881591796875,0.09897613525390625,0.20515880739108375
coffee_rocket:0:256,coffee_rocket,short,0,256,0,"(224, 256)",0.8287677764892578,1.1810874938964844,0.08249473571777344,0.1320953369140625,0.3031332815482014
coffee_rocket:0:256,coffee_rocket,short,0,256,0,"(288, 511)",0.4819507598876953,1.1496315002441406,0.122528076171875,0.3349761962890625,0.1946049198371557
coffee_rocket:0:256,coffee_rocket,short,0,256,0,"(256, 511)",0.44092750549316406,0.7363185882568359,0.10630226135253906,0.08502388000488281,0.16023916284025083
coffee_rocket:0:256,coffee_rocket,short,0,256,0,"(32, 288)",0.7266883850097656,1.1208324432373047,0.11580848693847656,0.08691215515136719,0.17462456597927076
coffee_rocket:0:256,coffee_rocket,short,0,256,0,"(272, 479)",0.46457672119140625,1.1074542999267578,0.11215972900390625,0.3916797637939453,0.1143320691239666
coffee_rocket:0:256,coffee_rocket,short,0,256,0,"(224, 240)",0.3731517791748047,0.8126068115234375,0.09305572509765625,0.14041519165039062,0.15430249726899714
