rank,case_id,condition,wall_ms,dispatch_ms,expert_ms,combine_ms,iterations
0,B_after_S_73,similar,0.8736160099506378,0.1940319985151291,0.4511360079050064,0.09566399455070496,2
0,B_steady_74,steady,0.9239039719104767,0.23763199197128415,0.4612479954957962,0.10366398096084595,2
0,B_after_A_75,alternating,0.8631199896335602,0.18960000155493617,0.4521920084953308,0.0891520082950592,2
0,B_after_D_76,disjoint,0.8882080018520355,0.18865600368008018,0.4546719789505005,0.11800000071525574,2
0,B_after_S_77,similar,0.8842079937458038,0.19945599744096398,0.4495040029287338,0.0979360044002533,2
0,B_after_D_78,disjoint,0.8523040115833282,0.1974879982881248,0.45361602306365967,0.07726401090621948,2
0,B_after_A_79,alternating,0.867904007434845,0.20110400021076202,0.4607680141925812,0.08127996325492859,2
0,B_steady_80,steady,0.9037440121173859,0.21769599989056587,0.4543040096759796,0.11147204041481018,2
0,B_after_D_81,disjoint,0.8706879913806915,0.20356800314038992,0.45132797956466675,0.09780800342559814,2
0,B_steady_82,steady,0.8571999967098236,0.18768000090494752,0.4419199973344803,0.10112002491950989,2
0,B_steady_83,steady,0.8944000005722046,0.21540799597278237,0.450655996799469,0.10441601276397705,2
0,B_after_S_84,similar,0.8540320098400116,0.19052799977362156,0.46062399446964264,0.07873600721359253,2
0,B_steady_85,steady,0.8589120209217072,0.18143999949097633,0.4501599967479706,0.08897602558135986,2
0,B_after_D_86,disjoint,0.8746559917926788,0.1822239989414811,0.45100799202919006,0.09721598029136658,2
0,B_after_S_87,similar,0.8902719914913177,0.19147200277075171,0.4580639749765396,0.10990402102470398,2
0,B_steady_88,steady,0.886815994977951,0.2035999959334731,0.4678240120410919,0.08819198608398438,2
0,B_steady_89,steady,0.9163359999656677,0.23894400242716074,0.44996798038482666,0.09302401542663574,2
0,B_after_A_90,alternating,0.8741120100021362,0.19089599652215838,0.45524798333644867,0.09257599711418152,2
0,B_after_D_91,disjoint,0.8854080140590668,0.19987199641764164,0.4520000070333481,0.0997920036315918,2
0,B_after_S_92,similar,0.9255200028419495,0.19734400045126677,0.46344001591205597,0.13312000036239624,2
0,B_after_D_93,disjoint,0.8791199922561646,0.1900480045005679,0.44759999215602875,0.10545599460601807,2
0,B_after_A_94,alternating,0.8669120073318481,0.20196799980476499,0.4631520062685013,0.07294398546218872,2
0,B_steady_95,steady,0.8614879846572876,0.18361599696800113,0.4650399833917618,0.07585597038269043,2
0,B_after_D_96,disjoint,0.8716319799423218,0.1975200017914176,0.4607039839029312,0.07615998387336731,2
0,B_after_D_97,disjoint,0.8799200057983398,0.19180800300091505,0.4612960070371628,0.08715200424194336,2
0,B_steady_98,steady,0.8960799872875214,0.19395199744030833,0.45476800203323364,0.08350399136543274,2
0,B_after_S_99,similar,0.8630719780921936,0.18739200197160244,0.4625919908285141,0.08590400218963623,2
0,B_after_S_100,similar,0.8753919899463654,0.19484800472855568,0.4529600143432617,0.09270396828651428,2
0,B_after_D_101,disjoint,0.8885599970817566,0.2075999965891242,0.44865600764751434,0.1093599796295166,2
0,B_after_A_102,alternating,0.9009439945220947,0.23313599592074752,0.4580480009317398,0.08240002393722534,2
0,B_after_S_103,similar,0.8623520135879517,0.18372799595817924,0.45105600357055664,0.10820803046226501,2
