total_rows,active_experts,inactive_experts,geometry,mean_m_e,min_m_e,max_m_e,m_e_cv,operation,repetition,latency_ms
128,8,56,uniform,16.0,16,16,0.0,torch_grouped_full64_gpu_cumsum,0,0.16233600676059723
128,8,56,uniform,16.0,16,16,0.0,torch_grouped_full64_gpu_cumsum,1,0.14880000054836273
128,8,56,high_variance,16.0,1,31,0.9375,torch_grouped_full64_prebuilt,0,0.14374400675296783
128,8,56,high_variance,16.0,1,31,0.9375,torch_grouped_full64_prebuilt,1,0.1335040032863617
128,8,56,high_variance,16.0,1,31,0.9375,torch_grouped_full64_cpu_list_offsets,0,0.1894720047712326
128,8,56,high_variance,16.0,1,31,0.9375,torch_grouped_full64_cpu_list_offsets,1,0.18540799617767334
128,8,56,high_variance,16.0,1,31,0.9375,vllm_fused,0,0.3917120099067688
128,8,56,high_variance,16.0,1,31,0.9375,vllm_fused,1,0.32121598720550537
128,8,56,high_variance,16.0,1,31,0.9375,torch_grouped_full64_gpu_cumsum,0,0.17494399845600128
128,8,56,high_variance,16.0,1,31,0.9375,torch_grouped_full64_gpu_cumsum,1,0.16099199652671814
128,8,56,high_variance,16.0,1,31,0.9375,torch_grouped_active_prebuilt_oracle,0,0.13913600146770477
128,8,56,high_variance,16.0,1,31,0.9375,torch_grouped_active_prebuilt_oracle,1,0.14124800264835358
128,16,48,uniform,8.0,8,8,0.0,vllm_fused,0,0.5139840245246887
128,16,48,uniform,8.0,8,8,0.0,vllm_fused,1,0.36508798599243164
128,16,48,uniform,8.0,8,8,0.0,torch_grouped_full64_gpu_cumsum,0,0.26495999097824097
128,16,48,uniform,8.0,8,8,0.0,torch_grouped_full64_gpu_cumsum,1,0.23347200453281403
128,16,48,uniform,8.0,8,8,0.0,torch_grouped_full64_cpu_list_offsets,0,0.27024000883102417
128,16,48,uniform,8.0,8,8,0.0,torch_grouped_full64_cpu_list_offsets,1,0.24911999702453613
128,16,48,uniform,8.0,8,8,0.0,torch_grouped_full64_prebuilt,0,0.21558399498462677
128,16,48,uniform,8.0,8,8,0.0,torch_grouped_full64_prebuilt,1,0.21456000208854675
128,16,48,uniform,8.0,8,8,0.0,torch_grouped_active_prebuilt_oracle,0,0.21536000072956085
128,16,48,uniform,8.0,8,8,0.0,torch_grouped_active_prebuilt_oracle,1,0.21113599836826324
128,16,48,high_variance,8.0,1,15,0.875,vllm_fused,0,0.35766398906707764
128,16,48,high_variance,8.0,1,15,0.875,vllm_fused,1,0.3284800052642822
128,16,48,high_variance,8.0,1,15,0.875,torch_grouped_full64_gpu_cumsum,0,0.2383359968662262
128,16,48,high_variance,8.0,1,15,0.875,torch_grouped_full64_gpu_cumsum,1,0.22288000583648682
128,16,48,high_variance,8.0,1,15,0.875,torch_grouped_full64_prebuilt,0,0.2171200066804886
128,16,48,high_variance,8.0,1,15,0.875,torch_grouped_full64_prebuilt,1,0.2096959948539734
128,16,48,high_variance,8.0,1,15,0.875,torch_grouped_full64_cpu_list_offsets,0,0.2656640112400055
128,16,48,high_variance,8.0,1,15,0.875,torch_grouped_full64_cpu_list_offsets,1,0.2463040053844452
128,16,48,high_variance,8.0,1,15,0.875,torch_grouped_active_prebuilt_oracle,0,0.21145600080490112
128,16,48,high_variance,8.0,1,15,0.875,torch_grouped_active_prebuilt_oracle,1,0.21267199516296387
128,32,32,uniform,4.0,4,4,0.0,torch_grouped_full64_prebuilt,0,0.35888001322746277
128,32,32,uniform,4.0,4,4,0.0,torch_grouped_full64_prebuilt,1,0.35411199927330017
128,32,32,uniform,4.0,4,4,0.0,torch_grouped_full64_cpu_list_offsets,0,0.41859200596809387
128,32,32,uniform,4.0,4,4,0.0,torch_grouped_full64_cpu_list_offsets,1,0.3986560106277466
128,32,32,uniform,4.0,4,4,0.0,torch_grouped_full64_gpu_cumsum,0,0.37244799733161926
128,32,32,uniform,4.0,4,4,0.0,torch_grouped_full64_gpu_cumsum,1,0.36847999691963196
128,32,32,uniform,4.0,4,4,0.0,torch_grouped_active_prebuilt_oracle,0,0.35596799850463867
128,32,32,uniform,4.0,4,4,0.0,torch_grouped_active_prebuilt_oracle,1,0.3566400110721588
128,32,32,uniform,4.0,4,4,0.0,vllm_fused,0,0.6042559742927551
128,32,32,uniform,4.0,4,4,0.0,vllm_fused,1,0.5248960256576538
128,32,32,high_variance,4.0,1,7,0.75,vllm_fused,0,0.5356799960136414
128,32,32,high_variance,4.0,1,7,0.75,vllm_fused,1,0.5401920080184937
128,32,32,high_variance,4.0,1,7,0.75,torch_grouped_full64_gpu_cumsum,0,0.3906239867210388
128,32,32,high_variance,4.0,1,7,0.75,torch_grouped_full64_gpu_cumsum,1,0.3831680119037628
128,32,32,high_variance,4.0,1,7,0.75,torch_grouped_active_prebuilt_oracle,0,0.3678399920463562
128,32,32,high_variance,4.0,1,7,0.75,torch_grouped_active_prebuilt_oracle,1,0.362527996301651
128,32,32,high_variance,4.0,1,7,0.75,torch_grouped_full64_prebuilt,0,0.3670400083065033
128,32,32,high_variance,4.0,1,7,0.75,torch_grouped_full64_prebuilt,1,0.3648320138454437
128,32,32,high_variance,4.0,1,7,0.75,torch_grouped_full64_cpu_list_offsets,0,0.42483198642730713
128,32,32,high_variance,4.0,1,7,0.75,torch_grouped_full64_cpu_list_offsets,1,0.4060800075531006
128,64,0,uniform,2.0,2,2,0.0,torch_grouped_full64_prebuilt,0,0.6578559875488281
128,64,0,uniform,2.0,2,2,0.0,torch_grouped_full64_prebuilt,1,0.6552320122718811
128,64,0,uniform,2.0,2,2,0.0,torch_grouped_full64_gpu_cumsum,0,0.6786559820175171
128,64,0,uniform,2.0,2,2,0.0,torch_grouped_full64_gpu_cumsum,1,0.671455979347229
128,64,0,uniform,2.0,2,2,0.0,torch_grouped_full64_cpu_list_offsets,0,0.7117440104484558
128,64,0,uniform,2.0,2,2,0.0,torch_grouped_full64_cpu_list_offsets,1,0.6945599913597107
128,64,0,uniform,2.0,2,2,0.0,vllm_fused,0,0.9131199717521667
128,64,0,uniform,2.0,2,2,0.0,vllm_fused,1,0.8621119856834412
128,64,0,uniform,2.0,2,2,0.0,torch_grouped_active_prebuilt_oracle,0,0.6610239744186401
128,64,0,uniform,2.0,2,2,0.0,torch_grouped_active_prebuilt_oracle,1,0.6551679968833923
128,64,0,high_variance,2.0,1,3,0.5,vllm_fused,0,0.9412800073623657
128,64,0,high_variance,2.0,1,3,0.5,vllm_fused,1,0.8678079843521118
128,64,0,high_variance,2.0,1,3,0.5,torch_grouped_active_prebuilt_oracle,0,0.6816319823265076
128,64,0,high_variance,2.0,1,3,0.5,torch_grouped_active_prebuilt_oracle,1,0.6841920018196106
128,64,0,high_variance,2.0,1,3,0.5,torch_grouped_full64_gpu_cumsum,0,0.7014399766921997
