total_rows,active_experts,inactive_experts,geometry,mean_m_e,min_m_e,max_m_e,m_e_cv,candidate,max_abs,mean_abs,relative_l2,cosine
512,16,48,high_variance,32.0,1,63,0.96875,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.467708976576887e-08,0.0028168216813355684,0.9999960660934448
512,32,32,uniform,16.0,16,16,0.0,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.5197942460076774e-08,0.002810889156535268,0.9999960064888
512,32,32,uniform,16.0,16,16,0.0,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.5197942460076774e-08,0.002810889156535268,0.9999960064888
512,32,32,high_variance,16.0,1,31,0.9375,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.4675086923432445e-08,0.002830605022609234,0.9999960660934448
512,32,32,high_variance,16.0,1,31,0.9375,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.4675086923432445e-08,0.002830605022609234,0.9999960660934448
512,64,0,uniform,8.0,8,8,0.0,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.4076349863501036e-08,0.002829474164173007,0.9999960064888
512,64,0,uniform,8.0,8,8,0.0,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.4076349863501036e-08,0.002829474164173007,0.9999960064888
512,64,0,high_variance,8.0,1,15,0.875,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.4667115522115637e-08,0.0028338765259832144,0.9999960064888
512,64,0,high_variance,8.0,1,15,0.875,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.4667115522115637e-08,0.0028338765259832144,0.9999960064888
1024,1,63,uniform,1024.0,1024,1024,0.0,torch_grouped_full64_prebuilt,9.5367431640625e-07,1.4606812648310097e-08,0.0028253428172320127,0.9999960660934448
1024,1,63,uniform,1024.0,1024,1024,0.0,torch_grouped_active_prebuilt_oracle,9.5367431640625e-07,1.4606812648310097e-08,0.0028253428172320127,0.9999960660934448
1024,2,62,uniform,512.0,512,512,0.0,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.4943161374958436e-08,0.0028261260595172644,0.9999960660934448
1024,2,62,uniform,512.0,512,512,0.0,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.4943161374958436e-08,0.0028261260595172644,0.9999960660934448
1024,2,62,high_variance,512.0,1,1023,0.998046875,torch_grouped_full64_prebuilt,4.76837158203125e-07,1.4615400445450177e-08,0.0028220682870596647,0.9999959468841553
1024,2,62,high_variance,512.0,1,1023,0.998046875,torch_grouped_active_prebuilt_oracle,4.76837158203125e-07,1.4615400445450177e-08,0.0028220682870596647,0.9999959468841553
1024,4,60,uniform,256.0,256,256,0.0,torch_grouped_full64_prebuilt,9.5367431640625e-07,1.4626721167587675e-08,0.002821521135047078,0.9999960660934448
1024,4,60,uniform,256.0,256,256,0.0,torch_grouped_active_prebuilt_oracle,9.5367431640625e-07,1.4626721167587675e-08,0.002821521135047078,0.9999960660934448
1024,4,60,high_variance,256.0,1,511,0.99609375,torch_grouped_full64_prebuilt,9.5367431640625e-07,1.470919386292735e-08,0.0028244806453585625,0.9999960064888
