task,block_length,mini_batch_size,phase,waves,physical_rows_median,physical_rows_mean,live_ratio_median,live_ratio_mean,model_forward_ms_median,model_forward_ms_mean,active_experts_median,active_experts_mean,rows_per_active_expert_mean_median,rows_per_active_expert_mean_mean,tiny_expert_fraction_le4_median,tiny_expert_fraction_le4_mean,rank_load_cv_median,rank_load_cv_mean,rank_fanout_mean_median,rank_fanout_mean_mean,remote_fraction_median,remote_fraction_mean,dispatch_bytes_bf16_median,dispatch_bytes_bf16_mean,attention_critical_ms_median,attention_critical_ms_mean,dispatch_critical_ms_median,dispatch_critical_ms_mean,expert_critical_ms_median,expert_critical_ms_mean,combine_critical_ms_median,combine_critical_ms_mean
gsm8k,16,16,late,49,256.0,215.18367346938774,0.19140625,0.18000637755102042,117.85043334960938,121.56899697440011,180.0,163.3795918367347,11.184126045724252,9.912881456677798,0.4158995866799947,0.4820549818461366,0.26474524112941056,0.26867390801472824,3.0390625,3.0385948164122447,0.7533203125,0.7483591092687076,12602572.8,10616698.253061222,0.6035007953643798,0.6100221380895499,3.628876781463623,3.2208582505887873,0.8452736020088196,0.7906938768163021,0.1336192011833191,0.13527327404946696
gsm8k,16,16,middle,70,256.0,253.25714285714287,0.486328125,0.4889508928571429,117.91144180297852,123.3068748474121,174.3,172.82000000000002,11.846656951926372,11.860669858682572,0.4170334073832794,0.423113174563841,0.28648875966668286,0.2897050078211411,3.02890625,3.0315513392857145,0.752490234375,0.750947265625,12624691.2,12465672.777142856,0.6027552008628845,0.6068457133429389,3.626214408874512,3.6031702899932863,0.8345632016658783,0.8295603188446589,0.14419200122356413,0.14457737133971282
gsm8k,32,8,early,74,256.0,251.67567567567568,0.826171875,0.8253378378378378,124.9219970703125,136.13415702613625,146.5,142.9837837837838,13.986283716643321,14.538191475284984,0.48120987581838337,0.4861271369140362,0.3801166833883802,0.38398903766013553,3.028515625,3.030544764447856,0.748583984375,0.7508548880912163,12552601.6,12385949.75135135,0.6767264068126678,0.7585718501258542,3.8197631359100344,3.9909381131868105,0.7928576052188874,0.7966764132718783,0.20155519731342791,0.21567472433923066
gsm8k,32,8,late,120,256.0,223.46666666666667,0.16796875,0.16195126488095238,125.75356674194336,133.34581521352132,177.3,167.36333333333332,11.456733428603084,10.466172174828436,0.4182872577071477,0.4615120647434357,0.2682640400667492,0.26740979086123534,3.050390625,3.050762905577819,0.750439453125,0.7501261393229167,12519014.4,10980666.026666665,0.6930175960063933,0.7492090127865474,3.7912479639053345,3.7345899689197544,0.8651423931121827,0.8337148266037305,0.16772159859538077,0.17870351963986952
gsm8k,32,8,middle,167,256.0,226.68263473053892,0.484375,0.48842337646136297,124.3524169921875,128.76931790106312,163.4,160.5700598802395,12.01594707932956,11.357553507473245,0.4460665977844259,0.4590693913949938,0.3157463741875871,0.3172018052447749,3.03046875,3.0296116566229725,0.7490234375,0.749652163307314,12420710.4,11144573.394011974,0.6580159902572632,0.7027488185973938,3.738003206253052,3.6648160573251234,0.8229119896888732,0.8168580226555557,0.17317120134830474,0.1794088239664446
gsm8k,64,4,early,157,256.0,256.0,0.8125,0.8258857484076433,121.89334106445312,126.19192519461274,133.8,130.23184713375798,15.504277149298423,16.385187804047057,0.5148252824314535,0.5110307601260458,0.40241336505544034,0.4101507731190706,3.05859375,3.0610569267515926,0.74853515625,0.7481233827627389,12558336.0,12551427.587261148,0.6382208108901978,0.666304449025233,3.6640000343322754,3.7528973439696487,0.7630592107772827,0.7567423997031656,0.21081599742174148,0.21026311326938069
gsm8k,64,4,late,197,256.0,255.6751269035533,0.140625,0.14546319796954316,121.9300765991211,127.87972127846655,172.2,171.746192893401,12.048151215015043,12.08552549940154,0.4184813507406185,0.41701361771917766,0.2793114091142298,0.2797839233516008,3.05078125,3.0478532152127493,0.75048828125,0.7499408444373942,12591104.0,12566137.112690354,0.6208127975463867,0.6711990899543472,3.66408314704895,3.7839647515776194,0.8413311958312988,0.8439257663518643,0.1569023996591568,0.16160373599244857
gsm8k,64,4,middle,149,256.0,256.0,0.5,0.5006029781879194,122.38819122314453,127.9524356918847,160.8,160.40134228187915,12.883524863081998,12.9744115534124,0.4529232907231683,0.45184612610048663,0.32490143307753705,0.32359422952446076,3.04921875,3.0485056627516776,0.75068359375,0.7507766621224832,12594380.8,12595942.228187919,0.6389568090438843,0.670850619853743,3.679551935195923,3.8044074484165877,0.8204480051994324,0.8241597417216974,0.16577280014753343,0.1713838392356098
gsm8k,64,8,early,9,512.0,448.0,0.7625,0.7726996527777777,174.53468322753906,168.1557413736979,161.2,158.33333333333337,24.04523636642461,23.431705206956273,0.4274401104329536,0.44114678932256207,0.3829795945628064,0.39662908351502935,3.04453125,3.040399322244856,0.757470703125,0.7581271701388888,25367347.2,22262761.244444445,0.814195203781128,0.7878847963280147,7.159091186523438,6.366771189371745,0.8657919883728027,0.8607608874638876,0.1916607975959778,0.19109973278310563
gsm8k,64,8,late,31,256.0,247.74193548387098,0.19921875,0.17539962557603686,123.35750579833984,130.69341696462322,170.8,167.97419354838712,12.210260252473303,11.464143196443098,0.4254611133090863,0.4556959989350823,0.28600925107278746,0.2961974897311857,3.0447917222976684,3.047127061890018,0.7552083333333333,0.7564532330069125,12597657.6,12274047.17419355,0.6699199914932251,0.6987594306468963,3.7290047645568847,3.811997104460193,0.8418815851211547,0.8247285677540687,0.17059839963912965,0.1747158712677417
