task,sample_count,regime,decoder_control,block_length,mini_batch_size,generation,threshold,threshold_requested,threshold_effective,target_total_length,repeat,quality_correct,quality_total,accuracy,nfe,bct_s,run_dir
gsm8k,8,matchedeffort,matched_one_token_no_early_stop,128,8,128,1.0,1.0,1.0,256,2,4,8,0.5,185,15.08800721168518,poc_ep_dynamic_block/results/clean/matchedeffort_gsm8k_n8_B128_m8_g128_t1.0_L256_r2
gsm8k,8,matchedeffort,matched_one_token_no_early_stop,16,8,128,1.0,1.0,1.0,256,2,5,8,0.625,211,18.2245352268219,poc_ep_dynamic_block/results/clean/matchedeffort_gsm8k_n8_B16_m8_g128_t1.0_L256_r2
gsm8k,8,matchedeffort,matched_one_token_no_early_stop,32,8,128,1.0,1.0,1.0,256,2,5,8,0.625,206,18.133636474609375,poc_ep_dynamic_block/results/clean/matchedeffort_gsm8k_n8_B32_m8_g128_t1.0_L256_r2
gsm8k,8,matchedeffort,matched_one_token_no_early_stop,64,8,128,1.0,1.0,1.0,256,2,5,8,0.625,206,17.636059761047363,poc_ep_dynamic_block/results/clean/matchedeffort_gsm8k_n8_B64_m8_g128_t1.0_L256_r2
gsm8k,8,matchedeffort,matched_one_token_no_early_stop,8,8,128,1.0,1.0,1.0,256,2,5,8,0.625,224,21.449748277664185,poc_ep_dynamic_block/results/clean/matchedeffort_gsm8k_n8_B8_m8_g128_t1.0_L256_r2
humaneval,8,matchedeffort,matched_one_token_no_early_stop,128,8,128,1.0,1.0,1.0,384,2,3,8,0.375,255,20.226640224456787,poc_ep_dynamic_block/results/clean/matchedeffort_humaneval_n8_B128_m8_g128_t1.0_L384_r2
humaneval,8,matchedeffort,matched_one_token_no_early_stop,16,8,128,1.0,1.0,1.0,384,2,3,8,0.375,223,19.35869288444519,poc_ep_dynamic_block/results/clean/matchedeffort_humaneval_n8_B16_m8_g128_t1.0_L384_r2
humaneval,8,matchedeffort,matched_one_token_no_early_stop,32,8,128,1.0,1.0,1.0,384,2,3,8,0.375,234,20.692349433898926,poc_ep_dynamic_block/results/clean/matchedeffort_humaneval_n8_B32_m8_g128_t1.0_L384_r2
humaneval,8,matchedeffort,matched_one_token_no_early_stop,64,8,128,1.0,1.0,1.0,384,2,3,8,0.375,263,18.485784769058228,poc_ep_dynamic_block/results/clean/matchedeffort_humaneval_n8_B64_m8_g128_t1.0_L384_r2
humaneval,8,matchedeffort,matched_one_token_no_early_stop,8,8,128,1.0,1.0,1.0,384,2,3,8,0.375,281,26.98258113861084,poc_ep_dynamic_block/results/clean/matchedeffort_humaneval_n8_B8_m8_g128_t1.0_L384_r2
gsm8k,8,native,serving_native,128,8,128,0.9,0.9,0.9,,1,5,8,0.625,103,8.187263250350952,poc_ep_dynamic_block/results/clean/native_gsm8k_n8_B128_m8_g128_t0.9_r1
gsm8k,8,native,serving_native,16,8,128,0.9,0.9,0.9,,1,5,8,0.625,116,9.27610445022583,poc_ep_dynamic_block/results/clean/native_gsm8k_n8_B16_m8_g128_t0.9_r1
gsm8k,8,native,serving_native,32,8,128,0.9,0.9,0.9,,2,5,8,0.625,106,8.669350385665894,poc_ep_dynamic_block/results/clean/native_gsm8k_n8_B32_m8_g128_t0.9_r2
gsm8k,8,native,serving_native,64,8,128,0.9,0.9,0.9,,1,5,8,0.625,99,8.098814964294434,poc_ep_dynamic_block/results/clean/native_gsm8k_n8_B64_m8_g128_t0.9_r1
gsm8k,8,native,serving_native,8,8,128,0.9,0.9,0.9,,1,5,8,0.625,131,11.475248575210571,poc_ep_dynamic_block/results/clean/native_gsm8k_n8_B8_m8_g128_t0.9_r1
humaneval,8,native,serving_native,128,8,128,0.9,0.9,0.9,,1,2,8,0.25,50,4.7519614696502686,poc_ep_dynamic_block/results/clean/native_humaneval_n8_B128_m8_g128_t0.9_r1
humaneval,8,native,serving_native,16,8,128,0.9,0.9,0.9,,1,2,8,0.25,82,6.674077987670898,poc_ep_dynamic_block/results/clean/native_humaneval_n8_B16_m8_g128_t0.9_r1
humaneval,8,native,serving_native,32,8,128,0.9,0.9,0.9,,1,2,8,0.25,54,5.123883247375488,poc_ep_dynamic_block/results/clean/native_humaneval_n8_B32_m8_g128_t0.9_r1
humaneval,8,native,serving_native,64,8,128,0.9,0.9,0.9,,1,2,8,0.25,70,6.26517128944397,poc_ep_dynamic_block/results/clean/native_humaneval_n8_B64_m8_g128_t0.9_r1
humaneval,8,native,serving_native,8,8,128,0.9,0.9,0.9,,1,2,8,0.25,115,9.772603750228882,poc_ep_dynamic_block/results/clean/native_humaneval_n8_B8_m8_g128_t0.9_r1
gsm8k,32,qualitycal,serving_native,128,16,128,0.85,0.85,0.85,256,1,11,32,0.34375,134,12.32264232635498,poc_ep_dynamic_block/results/clean/qualitycal_gsm8k_n32_B128_m16_g128_t0.85_L256_r1
gsm8k,32,qualitycal,serving_native,128,16,128,0.95,0.95,0.95,256,1,9,32,0.28125,175,17.113706588745117,poc_ep_dynamic_block/results/clean/qualitycal_gsm8k_n32_B128_m16_g128_t0.95_L256_r1
