vision_request,text_request,layer,rank,vision_total_assignments,text_total_assignments,vision_active_experts,text_active_experts,vision_gini,text_gini,vision_top1_share,text_top1_share,vision_top4_share,text_top4_share,vision_max_expert_load,text_max_expert_load,vision_padding_amplification,text_padding_amplification,vision_effective_tiles,text_effective_tiles,vision_expert_median_ms,text_expert_median_ms,relative_assignment_error
coins,text_00_coins,16,0,326.0,294.0,29.0,29.0,0.5970092024539877,0.6437074829931972,0.23006134969325154,0.23129251700680273,0.5030674846625767,0.5306122448979591,75.0,68.0,5.889570552147239,6.530612244897959,30.0,30.0,0.3988800048828125,0.411296010017395,0.09815950920245399
coins,text_01_clock_motion,17,0,306.0,289.0,25.0,22.0,0.6734068627450981,0.6809039792387543,0.17647058823529413,0.18339100346020762,0.5032679738562091,0.5363321799307958,54.0,53.0,5.228758169934641,4.8719723183391,25.0,22.0,0.39369601011276245,0.3935680091381073,0.05555555555555555
coins,text_02_cat,18,0,267.0,266.0,26.0,27.0,0.5829822097378277,0.6980733082706767,0.12734082397003746,0.2631578947368421,0.4344569288389513,0.6278195488721804,34.0,70.0,6.2322097378277155,6.7368421052631575,26.0,28.0,0.39129599928855896,0.39766401052474976,0.003745318352059925
coins,text_00_coins,19,0,226.0,324.0,21.0,25.0,0.7129424778761062,0.6662808641975309,0.20353982300884957,0.18518518518518517,0.584070796460177,0.5709876543209876,46.0,60.0,5.946902654867257,4.938271604938271,21.0,25.0,0.3898879885673523,0.3922559916973114,0.4336283185840708
coins,text_04_color_wheel,20,0,341.0,345.0,29.0,26.0,0.5561766862170088,0.6792572463768116,0.18181818181818182,0.20869565217391303,0.44868035190615835,0.5072463768115942,62.0,72.0,5.442815249266862,5.008695652173913,29.0,27.0,0.40041598677635193,0.40198400616645813,0.011730205278592375
coins,text_02_cat,21,0,309.0,305.0,29.0,21.0,0.53832928802589,0.7869877049180328,0.13268608414239483,0.25245901639344265,0.40453074433656955,0.7049180327868854,41.0,77.0,6.006472491909385,4.616393442622951,29.0,22.0,0.39321601390838623,0.38543999195098877,0.012944983818770227
coins,text_01_clock_motion,22,0,340.0,334.0,29.0,25.0,0.5716911764705882,0.6641092814371258,0.13823529411764707,0.18263473053892215,0.4176470588235295,0.5359281437125749,47.0,61.0,5.458823529411765,4.790419161676646,29.0,25.0,0.3957439959049225,0.3892480134963989,0.01764705882352941
coins,text_01_clock_motion,23,0,258.0,281.0,27.0,23.0,0.6143410852713178,0.6322286476868327,0.1937984496124031,0.16370106761565836,0.49612403100775193,0.4875444839857651,50.0,46.0,6.6976744186046515,5.238434163701068,27.0,23.0,0.3901439905166626,0.3945600092411041,0.08914728682170543
coins,text_00_coins,24,0,226.0,259.0,27.0,26.0,0.5237831858407079,0.6198117760617761,0.17256637168141592,0.14671814671814673,0.3893805309734513,0.45559845559845563,39.0,38.0,7.646017699115045,6.424710424710424,27.0,26.0,0.39792001247406006,0.3927040100097656,0.14601769911504425
coins,text_03_phantom,25,0,222.0,226.0,25.0,26.0,0.5954391891891891,0.5727323008849557,0.12162162162162163,0.13274336283185842,0.44594594594594594,0.39823008849557523,27.0,30.0,7.207207207207207,7.3628318584070795,25.0,26.0,0.3953920006752014,0.3975040018558502,0.018018018018018018
coins,text_00_coins,26,0,297.0,306.0,30.0,24.0,0.5001052188552189,0.6115196078431373,0.11784511784511785,0.1895424836601307,0.4006734006734007,0.434640522875817,35.0,58.0,6.4646464646464645,5.019607843137255,30.0,24.0,0.39420801401138306,0.3895359933376312,0.030303030303030304
coins,text_05_coffee,27,0,273.0,261.0,29.0,23.0,0.6551053113553114,0.6859434865900383,0.17216117216117216,0.14942528735632185,0.5567765567765568,0.5325670498084292,47.0,39.0,6.798534798534798,5.639846743295019,29.0,23.0,0.39344000816345215,0.4069119989871979,0.04395604395604396
coins,text_03_phantom,28,0,279.0,267.0,28.0,23.0,0.6011424731182796,0.6780196629213483,0.22580645161290322,0.22846441947565543,0.4874551971326164,0.5355805243445693,63.0,61.0,6.422939068100359,5.51310861423221,28.0,23.0,0.3980799913406372,0.39792001247406006,0.043010752688172046
coins,text_00_coins,29,0,257.0,254.0,29.0,23.0,0.551921206225681,0.5915354330708661,0.12840466926070038,0.09448818897637795,0.39299610894941633,0.3582677165354331,33.0,24.0,7.221789883268483,5.7952755905511815,29.0,23.0,0.38886401057243347,0.3860799968242645,0.011673151750972763
coins,text_04_color_wheel,30,0,272.0,262.0,29.0,28.0,0.5365349264705882,0.6667461832061069,0.10661764705882353,0.2099236641221374,0.375,0.564885496183206,29.0,55.0,6.823529411764706,6.8396946564885495,29.0,28.0,0.3986560106277466,0.3962880074977875,0.03676470588235294
coins,text_00_coins,31,0,282.0,324.0,26.0,27.0,0.6012854609929078,0.644483024691358,0.1773049645390071,0.21296296296296297,0.46808510638297873,0.4783950617283951,50.0,69.0,5.900709219858156,5.530864197530864,26.0,28.0,0.3911679983139038,0.40860798954963684,0.14893617021276595
coins,text_02_cat,32,0,340.0,333.0,30.0,26.0,0.534375,0.6844031531531531,0.12941176470588237,0.30930930930930933,0.4,0.5555555555555556,44.0,103.0,5.647058823529412,5.1891891891891895,30.0,27.0,0.3941439986228943,0.3893440067768097,0.020588235294117647
coins,text_02_cat,33,0,327.0,300.0,30.0,20.0,0.5455848623853211,0.8085416666666667,0.14984709480122324,0.3233333333333333,0.45565749235474007,0.7499999999999999,49.0,97.0,5.871559633027523,4.48,30.0,21.0,0.3906880021095276,0.388480007648468,0.08256880733944955
