modality,request_id,pair_id,token_bucket,layer,predicted_rank,actual_rank,correct,imbalance_cv
text,text_07_camera,7,small,26,0,0,1,0.3339428673541857
text,text_07_camera,7,small,27,1,0,0,0.22283750628709317
text,text_07_camera,7,small,28,0,0,1,0.38583765775799245
text,text_07_camera,7,small,29,2,2,1,0.08107222376672238
text,text_07_camera,7,small,30,2,3,0,0.3083142791625344
text,text_07_camera,7,small,31,0,0,1,0.266986080651651
text,text_07_camera,7,small,32,1,3,0,0.03834353526138101
text,text_07_camera,7,small,33,1,2,0,0.16489835663732266
text,text_07_camera,7,small,34,0,0,1,0.1329934649123036
text,text_07_camera,7,small,35,0,3,0,0.17635836271496177
text,text_07_camera,7,small,36,3,3,1,0.19535305237360295
text,text_07_camera,7,small,37,0,1,0,0.1666312970086502
text,text_07_camera,7,small,38,0,0,1,0.19802966874283345
text,text_07_camera,7,small,39,1,1,1,0.15328083133876208
text,text_07_camera,7,small,40,0,3,0,0.2921815001616937
text,text_07_camera,7,small,41,1,1,1,0.17574358267803816
text,text_07_camera,7,small,42,2,2,1,0.02634140020841153
text,text_07_camera,7,small,43,2,2,1,0.20023487192181041
text,text_07_camera,7,small,44,1,3,0,0.04170583102362353
text,text_07_camera,7,small,45,2,1,0,0.2666029465344948
text,text_07_camera,7,small,46,0,0,1,0.24643766716453944
text,text_07_camera,7,small,47,0,0,1,0.1267207356019338
text,text_08_histology,8,medium,0,2,1,0,0.09856269371236123
text,text_08_histology,8,medium,1,3,3,1,0.2216511571598849
text,text_08_histology,8,medium,2,2,0,0,0.16134301620321537
text,text_08_histology,8,medium,3,2,3,0,0.15257149545209878
text,text_08_histology,8,medium,4,3,1,0,0.16586952227950785
text,text_08_histology,8,medium,5,0,3,0,0.2079500643206965
text,text_08_histology,8,medium,6,0,2,0,0.2536248686142426
text,text_08_histology,8,medium,7,0,3,0,0.23907906855349792
text,text_08_histology,8,medium,8,1,1,1,0.3684764204789495
text,text_08_histology,8,medium,9,2,1,0,0.10848697557911716
text,text_08_histology,8,medium,10,0,3,0,0.14603231760867713
text,text_08_histology,8,medium,11,1,1,1,0.21066972600510786
text,text_08_histology,8,medium,12,3,0,0,0.2761688871380479
text,text_08_histology,8,medium,13,3,3,1,0.3041564740627523
text,text_08_histology,8,medium,14,0,0,1,0.311521427015536
text,text_08_histology,8,medium,15,1,1,1,0.33657990605986166
text,text_08_histology,8,medium,16,2,0,0,0.2658074318880109
text,text_08_histology,8,medium,17,1,1,1,0.10972071354215866
text,text_08_histology,8,medium,18,0,2,0,0.2422540533287617
text,text_08_histology,8,medium,19,0,3,0,0.15686359113729928
text,text_08_histology,8,medium,20,1,1,1,0.3115411700836595
text,text_08_histology,8,medium,21,1,1,1,0.14345215625763097
text,text_08_histology,8,medium,22,0,3,0,0.18191950591581174
text,text_08_histology,8,medium,23,0,0,1,0.060806128014219356
text,text_08_histology,8,medium,24,0,0,1,0.28104328261970435
text,text_08_histology,8,medium,25,3,3,1,0.32558081930291777
text,text_08_histology,8,medium,26,0,0,1,0.2972155002206792
text,text_08_histology,8,medium,27,2,1,0,0.279283088222948
text,text_08_histology,8,medium,28,2,2,1,0.40162496784427926
text,text_08_histology,8,medium,29,1,1,1,0.08580724126238545
text,text_08_histology,8,medium,30,2,0,0,0.38060487249041314
text,text_08_histology,8,medium,31,0,3,0,0.20462921728703248
text,text_08_histology,8,medium,32,1,1,1,0.32535547670892184
text,text_08_histology,8,medium,33,0,1,0,0.08303091383973336
text,text_08_histology,8,medium,34,3,3,1,0.05996598785497831
text,text_08_histology,8,medium,35,0,1,0,0.16220590407226246
text,text_08_histology,8,medium,36,3,3,1,0.32531627075879277
text,text_08_histology,8,medium,37,0,3,0,0.19753341876910915
text,text_08_histology,8,medium,38,0,0,1,0.1434524229285182
text,text_08_histology,8,medium,39,1,1,1,0.19894091395411342
text,text_08_histology,8,medium,40,2,3,0,0.28327361565548353
text,text_08_histology,8,medium,41,2,1,0,0.17136810689630813
text,text_08_histology,8,medium,42,0,0,1,0.09602262435361315
text,text_08_histology,8,medium,43,0,0,1,0.24842295956037294
text,text_08_histology,8,medium,44,0,0,1,0.22662257987987797
text,text_08_histology,8,medium,45,2,2,1,0.3167693062267033
text,text_08_histology,8,medium,46,3,3,1,0.2988605059903639
text,text_08_histology,8,medium,47,0,3,0,0.3611714747646517
text,text_09_grass,9,medium,0,3,3,1,0.08106881863679385
text,text_09_grass,9,medium,1,3,3,1,0.23646620168344948
text,text_09_grass,9,medium,2,2,0,0,0.18549093712389841
text,text_09_grass,9,medium,3,1,1,1,0.1416136843722974
text,text_09_grass,9,medium,4,0,0,1,0.14250514670261807
text,text_09_grass,9,medium,5,0,0,1,0.2217373821299683
text,text_09_grass,9,medium,6,0,0,1,0.2562048398792318
text,text_09_grass,9,medium,7,0,0,1,0.24579413127982752
text,text_09_grass,9,medium,8,1,1,1,0.32923472443869506
text,text_09_grass,9,medium,9,0,3,0,0.10215165754143969
text,text_09_grass,9,medium,10,1,0,0,0.2243293576736797
text,text_09_grass,9,medium,11,1,1,1,0.18208509267105563
text,text_09_grass,9,medium,12,3,3,1,0.2685991536828216
text,text_09_grass,9,medium,13,3,0,0,0.17569857987387752
