accepted_set_change_fraction,aligned_rows,baseline_live_ratio,baseline_wave,benchmark_correct,benchmark_delta_vs_baseline,benchmark_total,confidence_logit_margin_abs_change_mean,elapsed_seconds_observer,final_sequence_exact,final_sequence_total,layers,live_aligned_rows,live_top1_flip_fraction,mode,nfe,per_sample_score_flips,phase,policy,policy_live_ratio,policy_wave,sampled_js_mean,sampled_kl_mean,sampled_logits_rows,task,top1_flip_fraction,dataset,layer,top1_flip,accepted_change,final_sequence_divergence,benchmark_score_flip_fraction,nfe_relative_change,decision_sensitivity_score,clean_request_median_ms,whole_layer_normalized_optimistic_e2e_percent,routed_moe_request_e2e_upper_percent,shared_sum_ms,shared_request_e2e_upper_percent,physical_cost_e2e_upper_percent,live_ratio_median,relative_l2_update_median,output_cosine_median,attention_update_norm_median,moe_update_norm_median,routed_output_norm_median,shared_output_norm_median,post_epoch_live_weighted_cost_percent,cost_per_decision_sensitivity
0.0304259634888438,992.0,0.4969758064516129,0.0,6,1,32,0.325684584178499,4.767579555511475,11,32,9.0,493.0,0.2150101419878296,routed_bypass,62,1,middle,routed_bypass_l09_middle,0.4969758064516129,0.0,,,16.0,gsm8k,0.126008064516129,gsm8k,9,0.2150101419878296,0.0304259634888438,0.65625,0.03125,0.06060606060606061,0.1987084332165468,6074.886083602905,1.4635126883937613,0.8033846790044741,0.9642880000174046,0.01587335115007626,0.8033846790044741,0.4445564516129032,0.295645151637203,0.9765486121177672,122.57552337646484,184.39112854003903,120.20014190673828,127.25910949707033,0.35714984217840023,4.0430326282577465
0.015625,1024.0,1.0,36.0,5,0,32,0.25640869140625,5.103053331375122,29,32,10.0,1024.0,0.13671875,routed_bypass,66,0,early,routed_bypass_l10_early,1.0,36.0,,,16.0,gsm8k,0.13671875,gsm8k,10,0.13671875,0.015625,0.09375,0.0,0.0,0.04921875,6074.886083602905,0.1264286205664444,0.0606252022916556,0.0722880028188228,0.001189948285844236,0.0606252022916556,0.90380859375,0.3466054077882343,0.9796992540359496,125.6357192993164,217.86134338378903,99.1457061767578,181.63269805908203,0.05479357882903053,1.231750141798717
0.0317460317460317,960.0,0.328125,8.0,5,0,32,0.2448412698412698,5.14788556098938,15,32,10.0,315.0,0.1396825396825396,routed_bypass,66,0,late,routed_bypass_l10_late,0.328125,8.0,,,16.0,gsm8k,0.0645833333333333,gsm8k,10,0.1396825396825396,0.0317460317460317,0.53125,0.0,0.0,0.14053571428571426,6074.886083602905,1.665711212554453,0.8900528353327968,3.0782400369644165,0.05067156806895658,0.8900528353327968,0.1808347902097902,0.3846593431470092,0.970301866531372,77.00382614135742,139.0524444580078,81.5139045715332,103.03825759887695,0.16095251775303526,6.333285740614565
0.0182555780933062,992.0,0.4969758064516129,0.0,5,0,32,0.3804513184584178,4.575673818588257,10,32,10.0,493.0,0.2718052738336714,routed_bypass,60,0,middle,routed_bypass_l10_middle,0.4969758064516129,0.0,,,16.0,gsm8k,0.1542338709677419,gsm8k,10,0.2718052738336714,0.0182555780933062,0.6875,0.0,0.09090909090909091,0.2136939885672137,6074.886083602905,1.3367908758951672,0.7842591192842882,0.9616959951817988,0.015830683603723385,0.7842591192842882,0.4445564516129032,0.39461071225276,0.9717137217521667,153.3724822998047,305.4514465332031,161.63272094726562,237.7409210205078,0.3486474512140837,3.6700102073185517
0.0224609375,1024.0,1.0,36.0,5,0,32,0.2080078125,4.890047073364258,29,32,11.0,1024.0,0.1025390625,routed_bypass,64,0,early,routed_bypass_l11_early,1.0,36.0,,,16.0,gsm8k,0.1025390625,gsm8k,11,0.1025390625,0.0224609375,0.09375,0.0,0.030303030303030304,0.04981060606060606,6074.886083602905,0.1328204195332576,0.0631599675120631,0.0728320032358169,0.0011989031931380935,0.0631599675120631,0.90380859375,0.2881406099825774,0.9778832495212556,164.619140625,252.28589630126956,134.00787734985352,198.7940902709961,0.05708452141837343,1.2680023895957915
0.0222222222222222,960.0,0.328125,8.0,4,-1,32,0.2478174603174603,5.265876054763794,17,32,11.0,315.0,0.146031746031746,routed_bypass,68,1,late,routed_bypass_l11_late,0.328125,8.0,,,16.0,gsm8k,0.06875,gsm8k,11,0.146031746031746,0.0222222222222222,0.46875,0.03125,0.030303030303030304,0.1397113997113997,6074.886083602905,1.6457887565001654,0.8981807246914717,3.5815679393708706,0.05895695639524992,0.8981807246914717,0.1808347902097902,0.2827858359847472,0.9744684994220734,91.04218673706056,133.6734619140625,91.0056495666504,88.87226486206055,0.16242232292005962,6.428829190365523
0.0202839756592292,992.0,0.4969758064516129,0.0,5,0,32,0.3429259634888438,4.503681421279907,9,32,11.0,493.0,0.2170385395537525,routed_bypass,59,0,middle,routed_bypass_l11_middle,0.4969758064516129,0.0,,,16.0,gsm8k,0.125,gsm8k,11,0.2170385395537525,0.0202839756592292,0.71875,0.0,0.10606060606060606,0.21242662425471753,6074.886083602905,1.3813617996881116,0.852444365109638,0.96144001185894,0.01582646980745896,0.852444365109638,0.4445564516129032,0.2805299637131055,0.9751444458961488,188.67620849609372,292.9112854003906,187.62356567382807,206.47401428222656,0.3789596421505547,4.012888535513726
0.0146484375,1024.0,1.0,36.0,5,0,32,0.23089599609375,4.7979161739349365,28,32,12.0,1024.0,0.1181640625,routed_bypass,63,0,early,routed_bypass_l12_early,1.0,36.0,,,16.0,gsm8k,0.1181640625,gsm8k,12,0.1181640625,0.0146484375,0.125,0.0,0.045454545454545456,0.06065340909090909,6074.886083602905,0.131006790115406,0.0614506339286243,0.0719680003821849,0.001184680657246201,0.0614506339286243,0.90380859375,0.2425956604317139,0.9817086160182952,183.19062042236328,246.0462646484375,122.24495697021484,202.5210876464844,0.055539611036075964,1.0131439411183023
0.0158730158730158,960.0,0.328125,8.0,5,0,32,0.1994047619047619,5.026096343994141,20,32,12.0,315.0,0.1396825396825396,routed_bypass,65,0,late,routed_bypass_l12_late,0.328125,8.0,,,16.0,gsm8k,0.0572916666666666,gsm8k,12,0.1396825396825396,0.0158730158730158,0.375,0.0,0.015151515151515152,0.10914141414141412,6074.886083602905,1.7610747106121387,0.8975654724167295,3.90739200823009,0.06432041612725496,0.8975654724167295,0.1808347902097902,0.3032161188437325,0.9771119356155396,105.21672821044922,164.3216094970703,100.45656204223631,123.49897003173828,0.16231106390403052,8.22387614708526
0.0162271805273833,992.0,0.4969758064516129,0.0,5,0,32,0.2697768762677485,4.952263116836548,12,32,12.0,493.0,0.1805273833671399,routed_bypass,62,0,middle,routed_bypass_l12_middle,0.4969758064516129,0.0,,,16.0,gsm8k,0.1028225806451613,gsm8k,12,0.1805273833671399,0.0162271805273833,0.625,0.0,0.06060606060606061,0.17647212490011674,6074.886083602905,1.3426922901534968,0.8008794138533172,0.957248006016016,0.015757464302084318,0.8008794138533172,0.4445564516129032,0.278822739343667,0.978870689868927,213.90396118164065,318.48583984375,180.46018981933597,245.32647705078125,0.3560361103924525,4.538277160240549
