dataset,repeat,layer,phase,waves,live_ratio_median,input_hidden_norm_median,output_hidden_norm_median,residual_update_norm_median,relative_l2_update_median,output_cosine_median,attention_update_norm_median,moe_update_norm_median,moe_to_total_update_norm_ratio_median,routed_output_norm_median,shared_output_norm_median,moe_output_norm_median
gsm8k,r1,16,late,36,0.1808347902097902,1159.4884643554688,1368.6196899414062,368.9293518066406,0.3099357671872096,0.9716468751430511,224.35295867919922,351.4274139404297,0.9577701452527912,231.1225128173828,242.87271118164062,351.4231414794922
gsm8k,r1,16,middle,27,0.44455645161290325,2416.984619140625,2847.033935546875,735.1419067382812,0.30415663422784456,0.9737455248832703,453.12713623046875,713.7669067382812,0.9706877108338415,464.1283264160156,501.695556640625,713.7816162109375
gsm8k,r1,17,early,2,0.90380859375,2364.111572265625,2956.4727783203125,903.7414855957031,0.38272474240246257,0.9667251706123352,527.7168579101562,742.2158813476562,0.8210540336425964,469.8414764404297,534.6397399902344,742.2298278808594
gsm8k,r1,17,late,36,0.1808347902097902,1368.6196899414062,1604.041748046875,469.17665100097656,0.3300387372397686,0.9664119482040405,304.7223663330078,395.2967834472656,0.8529020130972838,286.16766357421875,250.8461685180664,395.29920959472656
gsm8k,r1,17,middle,27,0.44455645161290325,2847.033935546875,3355.01318359375,938.31298828125,0.32719508509244655,0.9672386050224304,587.6539916992188,806.6707153320312,0.8554955697242007,543.4143676757812,552.878662109375,806.65625
gsm8k,r1,18,early,2,0.90380859375,2956.4727783203125,3414.1009521484375,965.7679443359375,0.3264907208552986,0.9641904830932617,663.6996765136719,787.5880737304688,0.8153040501876865,538.0466003417969,535.2182312011719,787.5747680664062
gsm8k,r1,18,late,36,0.1808347902097902,1604.041748046875,1940.1687622070312,597.4087219238281,0.36163614859690335,0.9636810123920441,343.185302734375,505.31129455566406,0.8349903253818172,351.1092224121094,330.37286376953125,505.32855224609375
gsm8k,r1,18,middle,27,0.44455645161290325,3355.01318359375,3997.87451171875,1162.9005126953125,0.34677480229230784,0.9646280407905579,714.9083251953125,1008.5660400390625,0.867247824302615,681.4160766601562,679.7334594726562,1008.532470703125
gsm8k,r1,19,early,2,0.90380859375,3414.1009521484375,3977.493896484375,1314.4323120117188,0.3851844667819546,0.9480205774307251,874.3192138671875,1057.1583862304688,0.8038589916787917,853.218017578125,582.7843017578125,1057.1708984375
gsm8k,r1,19,late,36,0.1808347902097902,1940.1687622070312,2211.057373046875,679.8885498046875,0.347309479557782,0.95633265376091,424.6731719970703,590.73486328125,0.8588571669838556,473.6470031738281,325.0502014160156,590.7098083496094
gsm8k,r1,19,middle,27,0.44455645161290325,3997.87451171875,4564.1748046875,1369.4310302734375,0.3441499883702217,0.9565791487693787,905.5526123046875,1177.8326416015625,0.8552363803763746,915.1129760742188,673.4081420898438,1177.8109130859375
gsm8k,r1,20,early,2,0.90380859375,3977.493896484375,4399.669921875,1420.2333984375,0.35724317685733586,0.9473671913146973,1011.4084777832031,1118.7019653320312,0.787396358191194,841.3277282714844,709.5534057617188,1118.7095336914062
gsm8k,r1,20,late,36,0.1808347902097902,2211.057373046875,2495.5694580078125,708.0974731445312,0.31458709512348304,0.9630826115608215,451.6466064453125,598.5979614257812,0.8432534533398595,468.2277526855469,351.56199645996094,598.5941467285156
gsm8k,r1,20,middle,27,0.44455645161290325,4564.1748046875,5039.22705078125,1449.398193359375,0.31714900494847204,0.9607656002044678,981.5914306640625,1207.5970458984375,0.8379784317665155,928.7608032226562,744.7036743164062,1207.5997314453125
gsm8k,r1,21,early,2,0.90380859375,4399.669921875,5433.474853515625,1907.0473022460938,0.4340070389297892,0.9462457299232483,1270.5418090820312,1420.3236694335938,0.7445454106575283,1140.8982543945312,805.9950256347656,1420.3367919921875
gsm8k,r1,21,late,36,0.1808347902097902,2495.5694580078125,2983.4278564453125,941.8192443847656,0.3710080285158117,0.95826256275177,482.5457305908203,805.5129699707031,0.8498340734468246,590.8528442382812,513.2820434570312,805.4641418457031
gsm8k,r1,21,middle,27,0.44455645161290325,5039.22705078125,6060.1083984375,1912.16845703125,0.3780752428205345,0.9570884108543396,1075.282958984375,1615.893310546875,0.8417392856451892,1192.7052001953125,1024.7635498046875,1615.9365234375
gsm8k,r1,22,early,2,0.90380859375,5433.474853515625,6233.48828125,2363.767333984375,0.4352161147467656,0.9268833100795746,1667.3850708007812,1900.6318969726562,0.8040410603314102,1376.2941284179688,1284.2960815429688,1900.641357421875
gsm8k,r1,22,late,36,0.1808347902097902,2983.4278564453125,3391.45947265625,1134.009765625,0.3766142168502967,0.944959282875061,720.4176330566406,895.82177734375,0.8007211653578326,680.876220703125,556.1661071777344,895.8374633789062
gsm8k,r1,22,middle,27,0.44455645161290325,6060.1083984375,6862.462890625,2318.654541015625,0.37800208034294414,0.9442529678344727,1514.696533203125,1885.676513671875,0.805284894204108,1389.12451171875,1234.417724609375,1885.67919921875
gsm8k,r1,23,early,2,0.90380859375,6233.48828125,7520.408935546875,2923.839599609375,0.469583691861348,0.9262961745262146,2214.599609375,2191.602783203125,0.7495491176202501,1689.5218505859375,1346.141845703125,2191.58837890625
gsm8k,r1,23,late,36,0.1808347902097902,3391.45947265625,3952.4007568359375,1236.2034301757812,0.3664834063767006,0.9539308547973633,790.4142456054688,1002.7212524414062,0.8123518416256341,780.3570861816406,603.9755859375,1002.7033996582031
gsm8k,r1,23,middle,27,0.44455645161290325,6862.462890625,8090.123046875,2750.47802734375,0.39678111058402865,0.9458567500114441,1787.637939453125,2233.043212890625,0.8037409375570291,1763.1405029296875,1305.3797607421875,2233.085693359375
gsm8k,r1,24,early,2,0.90380859375,7520.408935546875,7785.621337890625,3641.80126953125,0.48479446082310707,0.8868518173694611,2324.1546630859375,3521.4281005859375,0.9668717614407711,2001.7347412109375,2874.995361328125,3521.5648193359375
gsm8k,r1,24,late,36,0.1808347902097902,3952.4007568359375,4153.18603515625,1323.6143188476562,0.332673488575161,0.9499020874500275,724.5533752441406,1199.7683715820312,0.8985164268899817,883.4044494628906,813.9761352539062,1199.7915649414062
gsm8k,r1,24,middle,27,0.44455645161290325,8090.123046875,8502.4189453125,3145.946533203125,0.38838873588872536,0.9305647015571594,1821.1048583984375,2959.371337890625,0.9319449573309351,1967.565673828125,2185.1728515625,2959.307373046875
gsm8k,r1,25,early,2,0.90380859375,7785.621337890625,9687.458984375,4035.5821533203125,0.5191238972281634,0.9156875312328339,4190.7750244140625,2995.689208984375,0.742283029021789,1923.7424926757812,2301.4422607421875,2995.721923828125
gsm8k,r1,25,late,36,0.1808347902097902,4153.18603515625,4856.383544921875,1501.6282958984375,0.3541718131825117,0.9585595428943634,1109.448974609375,1097.2941284179688,0.7433468105519485,798.2457275390625,738.9589538574219,1097.3212890625
gsm8k,r1,25,middle,27,0.44455645161290325,8502.4189453125,10184.1337890625,3488.877685546875,0.4094819503473118,0.9432214498519897,2995.992431640625,2588.9072265625,0.7425865393647566,1804.9691162109375,1869.701904296875,2589.045166015625
gsm8k,r1,26,early,2,0.90380859375,9687.458984375,10377.6767578125,4447.343505859375,0.45954848819161553,0.9038031697273254,3849.3087158203125,4912.527099609375,1.1044381265098733,2462.0528564453125,4226.0050048828125,4912.54443359375
gsm8k,r1,26,late,36,0.1808347902097902,4856.383544921875,4964.251220703125,1687.21533203125,0.3456477356328166,0.941323459148407,879.8067932128906,1613.53662109375,0.9491445087420132,1119.9334716796875,1165.0006713867188,1613.6084594726562
gsm8k,r1,26,middle,27,0.44455645161290325,10184.1337890625,10543.2763671875,3890.724365234375,0.382333242736493,0.9298971891403198,2684.9833984375,3806.070068359375,0.9923231309006519,2322.2236328125,3003.018798828125,3806.0830078125
gsm8k,r1,27,early,2,0.90380859375,10377.6767578125,11719.46435546875,5488.264892578125,0.5291101416512354,0.8834558725357056,5311.746337890625,6717.258544921875,1.2237987835004993,3183.1983642578125,5824.1953125,6717.188720703125
gsm8k,r1,27,late,36,0.1808347902097902,4964.251220703125,5294.287109375,2081.3431396484375,0.4006593044971606,0.9271850287914276,1294.6240234375,2224.6165771484375,1.0617431547483287,1355.104736328125,1741.4033203125,2224.7005615234375
gsm8k,r1,27,middle,27,0.44455645161290325,10543.2763671875,11353.0849609375,4638.193359375,0.4372833693718644,0.9135555028915405,3665.187744140625,5330.79833984375,1.139250968090628,2719.263671875,4565.14697265625,5331.09375
gsm8k,r1,28,early,2,0.90380859375,11719.46435546875,14172.236328125,6725.494384765625,0.5740960998175098,0.8818207085132599,8129.210693359375,7637.47509765625,1.1353328265686966,3715.6080322265625,6534.388916015625,7637.538330078125
gsm8k,r1,28,late,36,0.1808347902097902,5294.287109375,6138.12109375,2395.2618408203125,0.44658420903112683,0.9239622950553894,2216.92236328125,2359.9898681640625,0.9912156635099083,1580.6873779296875,1739.0631103515625,2359.963134765625
gsm8k,r1,28,middle,27,0.44455645161290325,11353.0849609375,13360.4453125,5688.29638671875,0.4973560036792717,0.9068386554718018,6127.71337890625,5878.7255859375,1.0383897911862656,3240.26953125,4782.46142578125,5878.5107421875
gsm8k,r1,29,early,2,0.90380859375,14172.236328125,16706.173828125,8586.3466796875,0.6059393555478791,0.8578833639621735,9300.52001953125,10102.439453125,1.1764082629506825,4443.32080078125,8920.2685546875,10102.236328125
gsm8k,r1,29,late,36,0.1808347902097902,6138.12109375,6533.333984375,2705.294921875,0.4489545404414062,0.9071219563484192,2217.258544921875,3016.342041015625,1.1144706189498654,1633.15576171875,2494.875,3016.4432373046875
gsm8k,r1,29,middle,27,0.44455645161290325,13360.4453125,14736.734375,6707.09130859375,0.5020883211070961,0.8891164064407349,6556.33447265625,7650.9833984375,1.136495657696621,3663.1396484375,6586.92724609375,7651.2734375
