config_id,assignments,fanout,remote_fraction_actual,active_experts_per_active_rank,critical_rank_assignments,remote_assignments,remote_dispatch_bytes,combine_bytes,repetition,dispatch_ms,expert_ms,combine_ms,total_ms,total_transport_bytes,fragmentation_proxy
42,4096,3,0.75,2,1536,3072,12613632,16777216,14.5,0.4084800034761429,0.3216640055179596,0.36032000184059143,0.6150400042533875,42004480,0.0013020833333333333
43,1024,2,0.5,8,512,512,2102272,4194304,14.5,0.45343999564647675,0.31953600049018854,0.3760960102081299,0.609503984451294,8398848,0.015625
44,4096,4,0.75,8,1024,3072,12613632,16777216,14.5,0.4411519914865494,0.32527999579906464,0.06177599914371965,0.6213440001010895,42004480,0.0078125
45,1024,3,0.75,2,384,768,3153408,4194304,14.5,0.49396800994873047,0.31459198892116547,0.3747519999742508,0.6300960183143616,10501120,0.005208333333333333
46,1024,4,0.5,16,512,512,2102272,4194304,14.5,0.4552159905433655,0.32484801113605494,0.05635200068354605,0.6023679971694946,8398848,0.03125
47,4096,1,0.0,8,4096,0,0,16777216,14.5,0.2735679894685745,0.5006880164146423,0.497408002614975,0.8393280208110809,16777216,0.001953125
48,4096,2,0.25,8,3072,1024,4204544,16777216,14.5,0.5024319887161255,0.4073919951915741,0.42735999822616577,0.6700319945812225,25186304,0.0026041666666666665
49,1024,3,0.75,16,384,768,3153408,4194304,14.5,0.4298880100250244,0.3143519908189773,0.3686880022287369,0.6046079993247986,10501120,0.041666666666666664
50,256,4,0.25,8,192,64,262784,1048576,14.5,0.47316800057888025,0.31699199974536896,0.0541600007563829,0.5787839889526367,1574144,0.041666666666666664
51,1024,4,0.25,2,768,256,1051136,4194304,14.5,0.5151039958000183,0.3182400017976761,0.055408000946044894,0.5927039980888367,6296576,0.0026041666666666665
52,4096,4,0.5,2,2048,2048,8409088,16777216,14.5,0.4707199931144714,0.33900798857212067,0.0575360003858804,0.6120159924030304,33595392,0.0009765625
53,256,4,0.25,16,192,64,262784,1048576,14.5,0.4578399956226349,0.3212160021066665,0.053695999085903154,0.5917919874191284,1574144,0.08333333333333333
54,4096,4,0.5,16,2048,2048,8409088,16777216,14.5,0.4312640130519867,0.3738560080528259,0.035824000835418646,0.611952006816864,33595392,0.0078125
55,4096,2,0.25,16,3072,1024,4204544,16777216,14.5,0.49635201692581177,0.4265120029449463,0.45311999320983887,0.7083680033683777,25186304,0.005208333333333333
56,256,2,0.5,16,128,128,525568,1048576,14.5,0.4381120055913925,0.315311998128891,0.37544000148773193,0.5978400111198425,2099712,0.125
57,1024,2,0.75,8,768,768,3153408,4194304,14.5,0.4493440091609955,0.3159040063619613,0.3727359920740127,0.6082239747047424,10501120,0.010416666666666666
58,4096,3,0.5,2,2048,2048,8409088,16777216,14.5,0.46379201114177704,0.3423839956521988,0.3814560025930404,0.6378720104694366,33595392,0.0009765625
59,256,3,0.5,8,128,128,525568,1048576,14.5,0.4959999918937683,0.31727999448776245,0.37596800923347473,0.6393759846687317,2099712,0.0625
60,256,2,0.75,16,192,192,788352,1048576,14.5,0.43376000225543976,0.31591999530792236,0.3763520121574402,0.6137920022010803,2625280,0.08333333333333333
61,256,2,0.5,2,128,128,525568,1048576,14.5,0.5034720003604889,0.3172639906406402,0.37430399656295776,0.6080479919910431,2099712,0.015625
62,1024,1,0.0,8,1024,0,0,4194304,14.5,0.19585599750280375,0.31497600674629206,0.3736319988965988,0.5938719809055328,4194304,0.0078125
63,4096,4,0.25,16,3072,1024,4204544,16777216,14.5,0.5243040025234222,0.4261920005083084,0.0416160002350807,0.6813279986381531,25186304,0.005208333333333333
64,256,3,0.5,2,128,128,525568,1048576,14.5,0.5033279955387115,0.3154720067977905,0.37151999771595,0.5974079966545105,2099712,0.015625
65,4096,3,0.5,16,2048,2048,8409088,16777216,14.5,0.4109600037336349,0.36568000912666315,0.3810880035161972,0.6090399920940399,33595392,0.0078125
66,256,2,0.5,8,128,128,525568,1048576,14.5,0.4626559913158417,0.3166719973087311,0.3707680106163025,0.6001600027084351,2099712,0.0625
67,4096,2,0.75,2,3072,3072,12613632,16777216,14.5,0.3348959982395172,0.32267200946807856,0.3567360043525696,0.6350559890270233,42004480,0.0006510416666666666
68,1024,3,0.5,8,512,512,2102272,4194304,14.5,0.46432000398635864,0.31828799843788147,0.3766079992055893,0.6198879778385162,8398848,0.015625
69,256,2,0.75,8,192,192,788352,1048576,14.5,0.4644639939069748,0.3174239993095398,0.37464000284671783,0.6263200044631958,2625280,0.041666666666666664
70,4096,4,0.75,16,1024,3072,12613632,16777216,14.5,0.41648000478744507,0.3276640027761459,0.06017599999904625,0.6087839901447296,42004480,0.015625
71,4096,2,0.25,2,3072,1024,4204544,16777216,14.5,0.5170080065727234,0.4044479876756668,0.4253599941730499,0.6713279783725739,25186304,0.0006510416666666666
72,4096,2,0.5,16,2048,2048,8409088,16777216,14.5,0.376800000667572,0.37100800871849055,0.38047999143600464,0.645904004573822,33595392,0.0078125
73,4096,4,0.25,2,3072,1024,4204544,16777216,14.5,0.5513280034065247,0.4060799926519394,0.0415839999914169,0.6538400053977966,25186304,0.0006510416666666666
74,256,4,0.75,2,64,192,788352,1048576,14.5,0.5083359777927399,0.3138879984617233,0.054175999015569645,0.5851200222969055,2625280,0.03125
75,256,3,0.25,2,192,64,262784,1048576,14.5,0.5132800042629242,0.323632001876831,0.3827199935913086,0.6384319961071014,1574144,0.010416666666666666
76,4096,2,0.5,2,2048,2048,8409088,16777216,14.5,0.4029120057821274,0.33766400814056396,0.3774239867925644,0.6337440013885498,33595392,0.0009765625
77,4096,4,0.25,8,3072,1024,4204544,16777216,14.5,0.5247359871864319,0.4094880074262619,0.0415359996259212,0.6552000045776367,25186304,0.0026041666666666665
78,4096,3,0.75,8,1536,3072,12613632,16777216,14.5,0.40243199467658997,0.32326400279998774,0.35959999263286585,0.6302399933338165,42004480,0.005208333333333333
79,256,2,0.25,16,192,64,262784,1048576,14.5,0.4549439996480942,0.3164800107479095,0.3739839941263199,0.6132799983024597,1574144,0.08333333333333333
80,256,3,0.5,16,128,128,525568,1048576,14.5,0.4519520103931427,0.3111839890480041,0.3770719915628433,0.612064003944397,2099712,0.125
81,256,4,0.75,16,64,192,788352,1048576,14.5,0.4599040001630783,0.3192960023880005,0.05612800084054465,0.5983839929103851,2625280,0.25
82,1024,4,0.75,16,256,768,3153408,4194304,14.5,0.4371680021286011,0.3189439922571182,0.0536480005830526,0.5874079763889313,10501120,0.0625
83,256,2,0.75,2,192,192,788352,1048576,14.5,0.5002720057964325,0.3203520029783249,0.3806559890508652,0.629472017288208,2625280,0.010416666666666666
