sample_id,layer,modality,stock_cosine,stock_relative_l2
astronaut,47,visual,0.9999990463256836,0.0013451572740450501
astronaut,47,visual,0.9999966025352478,0.0026167924515902996
astronaut,47,visual,0.9999987483024597,0.0016260717529803514
astronaut,47,visual,0.9999982714653015,0.0018762345425784588
astronaut,47,visual,0.9999985098838806,0.0016900129849091172
astronaut,47,visual,0.9999989867210388,0.0014707493828609586
astronaut,47,visual,0.9999977946281433,0.002058841986581683
astronaut,47,visual,0.9999985694885254,0.0017031709430739284
astronaut,47,visual,0.9999982118606567,0.0019161280943080783
astronaut,47,visual,0.9999993443489075,0.0011934754438698292
astronaut,47,visual,0.9999986290931702,0.00183960166759789
astronaut,47,visual,0.9999990463256836,0.0014036244247108698
astronaut,47,visual,0.9999987483024597,0.0016682841815054417
astronaut,47,visual,0.9999991655349731,0.0012968971859663725
astronaut,47,visual,0.9999973177909851,0.0024307211861014366
astronaut,47,visual,0.9999969005584717,0.0025018360465765
astronaut,47,visual,0.9999992251396179,0.0012448123889043927
astronaut,47,visual,0.9999990463256836,0.0014598701382055879
astronaut,47,visual,0.999998152256012,0.001952356076799333
astronaut,47,visual,0.999998927116394,0.0013605287531390786
astronaut,47,visual,0.999998152256012,0.0018645408563315868
astronaut,47,visual,0.9999974966049194,0.002308446215465665
astronaut,47,visual,0.9999993443489075,0.0011364497477188706
astronaut,47,visual,0.9999974966049194,0.0022843098267912865
astronaut,47,visual,0.9999982714653015,0.0018621294293552637
astronaut,47,visual,0.9999986886978149,0.001739427214488387
astronaut,47,visual,0.9999974370002747,0.0022820192389190197
astronaut,47,visual,0.9999987483024597,0.0016376052517443895
astronaut,47,visual,0.999998927116394,0.0015853728400543332
astronaut,47,visual,0.9999987483024597,0.001646649558097124
astronaut,47,visual,0.9999982118606567,0.0018960644956678152
astronaut,47,visual,0.9999986886978149,0.0016677766107022762
astronaut,47,visual,0.9999989867210388,0.0014935770304873586
astronaut,47,text,0.9999988079071045,0.0015546252252534032
camera,4,text,0.999995768070221,0.002885963534936309
camera,4,visual,0.9999966621398926,0.0025616867933422327
camera,4,visual,0.999996542930603,0.002621669787913561
camera,4,visual,0.9999963045120239,0.002729228464886546
camera,4,visual,0.9999960064888,0.0028012553229928017
camera,4,visual,0.9999964833259583,0.0026663262397050858
camera,4,visual,0.9999960660934448,0.002780661452561617
camera,4,visual,0.9999963045120239,0.0027019816916435957
camera,4,visual,0.9999962449073792,0.0026930365711450577
camera,4,visual,0.9999961256980896,0.0027820239774882793
camera,4,visual,0.9999964237213135,0.002675269963219762
camera,4,visual,0.9999960660934448,0.0028500657062977552
camera,4,visual,0.9999961853027344,0.002762935124337673
camera,4,visual,0.9999967813491821,0.0025385250337421894
camera,4,visual,0.999995768070221,0.002920725615695119
camera,4,visual,0.9999967217445374,0.002614674624055624
camera,4,visual,0.9999955296516418,0.0030290973372757435
camera,4,visual,0.9999964833259583,0.0026938687078654766
camera,4,visual,0.9999961853027344,0.002778591588139534
camera,4,visual,0.9999963045120239,0.0027114287950098515
camera,4,visual,0.9999961853027344,0.002756576519459486
camera,4,visual,0.999996542930603,0.0026131656486541033
camera,4,visual,0.9999963045120239,0.002770744264125824
camera,4,visual,0.999996542930603,0.002632156480103731
camera,4,visual,0.9999966621398926,0.0026245303452014923
camera,4,visual,0.9999966621398926,0.0026068096049129963
camera,4,visual,0.9999969005584717,0.002523571252822876
camera,4,visual,0.9999967813491821,0.0025583028327673674
camera,4,visual,0.9999966621398926,0.002599924337118864
camera,4,visual,0.9999961853027344,0.002762985648587346
camera,4,visual,0.9999966025352478,0.002608276205137372
camera,4,visual,0.999996542930603,0.0026322449557483196
camera,4,visual,0.9999962449073792,0.002761323004961014
camera,4,visual,0.9999960660934448,0.0027922510635107756
camera,4,visual,0.9999959468841553,0.002846044721081853
camera,4,visual,0.9999960064888,0.002847084077075124
camera,4,visual,0.9999961256980896,0.0027841811534017324
camera,4,visual,0.9999962449073792,0.0027451214846223593
camera,4,text,0.9999964237213135,0.0026956647634506226
camera,4,text,0.9999962449073792,0.002770904218778014
camera,24,visual,0.9999959468841553,0.002856515347957611
camera,24,visual,0.9999960064888,0.002849823096767068
camera,24,visual,0.9999963045120239,0.0027036091778427362
camera,24,visual,0.9999964237213135,0.0026457461062818766
camera,24,visual,0.9999959468841553,0.0028921389020979404
camera,24,visual,0.9999958872795105,0.002877611666917801
camera,24,visual,0.9999956488609314,0.0029447469860315323
camera,24,visual,0.9999962449073792,0.002720325253903866
camera,24,visual,0.9999963045120239,0.0027294352184981108
camera,24,visual,0.9999959468841553,0.002890152856707573
camera,24,visual,0.9999964833259583,0.002686441410332918
camera,24,visual,0.9999969005584717,0.002470028353855014
camera,24,visual,0.9999958872795105,0.0028882480692118406
